date,age,location,realized7
2023-04-11,00-04,DE,NA
2023-04-11,05-14,DE,NA
2023-04-11,15-34,DE,NA
2023-04-11,35-59,DE,NA
2023-04-11,60-79,DE,NA
2023-04-11,80+,DE,NA
2023-04-11,alle,DE,NA
2023-04-10,00-04,DE,NA
2023-04-10,05-14,DE,NA
2023-04-10,15-34,DE,NA
2023-04-10,35-59,DE,NA
2023-04-10,60-79,DE,NA
2023-04-10,80+,DE,NA
2023-04-10,alle,DE,NA
2023-04-09,00-04,DE,NA
2023-04-09,05-14,DE,NA
2023-04-09,15-34,DE,NA
2023-04-09,35-59,DE,NA
2023-04-09,60-79,DE,NA
2023-04-09,80+,DE,NA
2023-04-09,alle,DE,NA
2023-04-08,00-04,DE,NA
2023-04-08,05-14,DE,NA
2023-04-08,15-34,DE,NA
2023-04-08,35-59,DE,NA
2023-04-08,60-79,DE,NA
2023-04-08,80+,DE,NA
2023-04-08,alle,DE,NA
2023-04-07,00-04,DE,NA
2023-04-07,05-14,DE,NA
2023-04-07,15-34,DE,NA
2023-04-07,35-59,DE,NA
2023-04-07,60-79,DE,NA
2023-04-07,80+,DE,NA
2023-04-07,alle,DE,NA
2023-04-06,00-04,DE,NA
2023-04-06,05-14,DE,NA
2023-04-06,15-34,DE,NA
2023-04-06,35-59,DE,NA
2023-04-06,60-79,DE,NA
2023-04-06,80+,DE,NA
2023-04-06,alle,DE,NA
2023-04-05,00-04,DE,NA
2023-04-05,05-14,DE,NA
2023-04-05,15-34,DE,NA
2023-04-05,35-59,DE,NA
2023-04-05,60-79,DE,NA
2023-04-05,80+,DE,NA
2023-04-05,alle,DE,NA
2023-04-04,00-04,DE,NA
2023-04-04,05-14,DE,NA
2023-04-04,15-34,DE,NA
2023-04-04,35-59,DE,NA
2023-04-04,60-79,DE,NA
2023-04-04,80+,DE,NA
2023-04-04,alle,DE,NA
2023-04-03,00-04,DE,NA
2023-04-03,05-14,DE,NA
2023-04-03,15-34,DE,NA
2023-04-03,35-59,DE,NA
2023-04-03,60-79,DE,NA
2023-04-03,80+,DE,NA
2023-04-03,alle,DE,NA
2023-04-02,00-04,DE,NA
2023-04-02,05-14,DE,NA
2023-04-02,15-34,DE,NA
2023-04-02,35-59,DE,NA
2023-04-02,60-79,DE,NA
2023-04-02,80+,DE,NA
2023-04-02,alle,DE,NA
2023-04-01,00-04,DE,NA
2023-04-01,05-14,DE,NA
2023-04-01,15-34,DE,NA
2023-04-01,35-59,DE,NA
2023-04-01,60-79,DE,NA
2023-04-01,80+,DE,NA
2023-04-01,alle,DE,NA
2023-03-31,00-04,DE,NA
2023-03-31,05-14,DE,NA
2023-03-31,15-34,DE,NA
2023-03-31,35-59,DE,NA
2023-03-31,60-79,DE,NA
2023-03-31,80+,DE,NA
2023-03-31,alle,DE,NA
2023-03-30,00-04,DE,NA
2023-03-30,05-14,DE,NA
2023-03-30,15-34,DE,NA
2023-03-30,35-59,DE,NA
2023-03-30,60-79,DE,NA
2023-03-30,80+,DE,NA
2023-03-30,alle,DE,NA
2023-03-29,00-04,DE,NA
2023-03-29,05-14,DE,NA
2023-03-29,15-34,DE,NA
2023-03-29,35-59,DE,NA
2023-03-29,60-79,DE,NA
2023-03-29,80+,DE,NA
2023-03-29,alle,DE,NA
2023-03-28,00-04,DE,NA
2023-03-28,05-14,DE,NA
2023-03-28,15-34,DE,NA
2023-03-28,35-59,DE,NA
2023-03-28,60-79,DE,NA
2023-03-28,80+,DE,NA
2023-03-28,alle,DE,NA
2023-03-27,00-04,DE,NA
2023-03-27,05-14,DE,NA
2023-03-27,15-34,DE,NA
2023-03-27,35-59,DE,NA
2023-03-27,60-79,DE,NA
2023-03-27,80+,DE,NA
2023-03-27,alle,DE,NA
2023-03-26,00-04,DE,NA
2023-03-26,05-14,DE,NA
2023-03-26,15-34,DE,NA
2023-03-26,35-59,DE,NA
2023-03-26,60-79,DE,NA
2023-03-26,80+,DE,NA
2023-03-26,alle,DE,NA
2023-03-25,00-04,DE,NA
2023-03-25,05-14,DE,NA
2023-03-25,15-34,DE,NA
2023-03-25,35-59,DE,NA
2023-03-25,60-79,DE,NA
2023-03-25,80+,DE,NA
2023-03-25,alle,DE,NA
2023-03-24,00-04,DE,NA
2023-03-24,05-14,DE,NA
2023-03-24,15-34,DE,NA
2023-03-24,35-59,DE,NA
2023-03-24,60-79,DE,NA
2023-03-24,80+,DE,NA
2023-03-24,alle,DE,NA
2023-03-23,00-04,DE,NA
2023-03-23,05-14,DE,NA
2023-03-23,15-34,DE,NA
2023-03-23,35-59,DE,NA
2023-03-23,60-79,DE,NA
2023-03-23,80+,DE,NA
2023-03-23,alle,DE,NA
2023-03-22,00-04,DE,NA
2023-03-22,05-14,DE,NA
2023-03-22,15-34,DE,NA
2023-03-22,35-59,DE,NA
2023-03-22,60-79,DE,NA
2023-03-22,80+,DE,NA
2023-03-22,alle,DE,NA
2023-03-21,00-04,DE,NA
2023-03-21,05-14,DE,NA
2023-03-21,15-34,DE,NA
2023-03-21,35-59,DE,NA
2023-03-21,60-79,DE,NA
2023-03-21,80+,DE,NA
2023-03-21,alle,DE,NA
2023-03-20,00-04,DE,NA
2023-03-20,05-14,DE,NA
2023-03-20,15-34,DE,NA
2023-03-20,35-59,DE,NA
2023-03-20,60-79,DE,NA
2023-03-20,80+,DE,NA
2023-03-20,alle,DE,NA
2023-03-19,00-04,DE,NA
2023-03-19,05-14,DE,NA
2023-03-19,15-34,DE,NA
2023-03-19,35-59,DE,NA
2023-03-19,60-79,DE,NA
2023-03-19,80+,DE,NA
2023-03-19,alle,DE,NA
2023-03-18,00-04,DE,NA
2023-03-18,05-14,DE,NA
2023-03-18,15-34,DE,NA
2023-03-18,35-59,DE,NA
2023-03-18,60-79,DE,NA
2023-03-18,80+,DE,NA
2023-03-18,alle,DE,NA
2023-03-17,00-04,DE,NA
2023-03-17,05-14,DE,NA
2023-03-17,15-34,DE,NA
2023-03-17,35-59,DE,NA
2023-03-17,60-79,DE,NA
2023-03-17,80+,DE,NA
2023-03-17,alle,DE,NA
2023-03-16,00-04,DE,NA
2023-03-16,05-14,DE,NA
2023-03-16,15-34,DE,NA
2023-03-16,35-59,DE,NA
2023-03-16,60-79,DE,NA
2023-03-16,80+,DE,NA
2023-03-16,alle,DE,NA
2023-03-15,00-04,DE,NA
2023-03-15,05-14,DE,NA
2023-03-15,15-34,DE,NA
2023-03-15,35-59,DE,NA
2023-03-15,60-79,DE,NA
2023-03-15,80+,DE,NA
2023-03-15,alle,DE,NA
2023-03-14,00-04,DE,NA
2023-03-14,05-14,DE,NA
2023-03-14,15-34,DE,NA
2023-03-14,35-59,DE,NA
2023-03-14,60-79,DE,NA
2023-03-14,80+,DE,NA
