"";"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"1";"2021-11-25";"0-60";3;7;3;4;6;8;11;12;14;17;34;2734,1;15;25;18;20;23;27;33;36;39;43,4;50,1;53,8;0,430430944153744;0,645541736885322;0,562142215911756;0,476345223957239;0,36510611922256;0,223101391121991;0,160819472610776;0,00123185014632603;3,57068262584153e-22;1,83118454449192e-60;0
"2";"2021-11-25";"60+";0;0;0;0;0;0;0;0;0;0;0;0;19;22,9;20;21;22;24;26;27;29;31;35,8;38,4;0,505775117027739;0,694047806170888;0,616447137211387;0,53716617333214;0,433039907679025;0,235245807859821;0,000908052485237029;5,06013736050632e-16;3,12374840408266e-37;0;0
"3";"2021-11-25";"alle";3;7;0;0;5;7;10;12;13;16;28;1089,3;34;47,9;34;34;43;50;58;61;66,1;73,6;85;91,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"2021-11-24";"0-60";7;12,1;8;9;11;13;16;18;19;22;35;1809,7;13;19,3;14;16;18;20;24;26;28;31;35,8;38,4;0,578087958928274;0,745826938723035;0,682494617242156;0,611699837121911;0,519426838955503;0,375370966763133;0,312099559712497;0,00866663737569469;3,15538470869275e-21;2,18839473284345e-58;0
"5";"2021-11-24";"60+";6;8,5;6;7;8;9;11;11;12;14;39;20509,7;23;27,4;24;25;26;28;31;32;34;37;42,7;45,8;0,708611121122538;0,827615049341659;0,781185203052833;0,728125613530164;0,647615198534479;0,471812537388734;0,00875381216454827;3,60944430255967e-15;4,1792080108313e-36;0;0
"6";"2021-11-24";"alle";13;20,6;0;0;17;21;26;28;31;37;693,3;267922,8;36;46,7;36;36;43;48;54;57;60;66,8;77,1;82,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"2021-11-23";"0-60";0;0;0;0;0;0;0;0;0;0;0;0;8;9,4;8;8;9;10;11;12;12;13;15;16,1;0,787102536453433;0,897993928943398;0,860459376197295;0,815064956189582;0,741773791048792;0,609664616629855;0,535771123421406;0,0203761213171399;3,97986783001159e-20;7,91907554112181e-57;0
"8";"2021-11-23";"60+";4;4,6;4;4;4;5;5;6;6;7;33,1;14252,8;24;26,6;24;25;26;27;30;30;31;34;39,3;42,1;0,878816087734091;0,943065920916936;0,919873577504282;0,890597648575434;0,839179042666108;0,68801125486478;0,0133657140079454;2,0695854241457e-14;4,67658601322565e-35;0;0
"9";"2021-11-23";"alle";4;4,6;0;0;4;4;5;5;6;7;10;2422;32;36;32;32;34;37;40;41;42;46,7;54;57,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"2021-11-22";"0-60";0;0;0;0;0;0;0;0;0;0;0;0;10;11,6;10;10;11;12;13;14;15;16;18,5;19,8;0,439100956184105;0,714006251361819;0,609103295903127;0,498200373621542;0,352465876479326;0,163110571196347;0,0994831659629995;1,86247751010932e-05;8,34741099606974e-25;1,17520343316743e-63;0
"11";"2021-11-22";"60+";0;0;0;0;0;0;0;0;0;0;0;0;23;25,1;23;24;24;26;28;28;29;32;37;39,6;0,653939467452933;0,838562014703869;0,769215992775431;0,687444158690164;0,547782346767628;0,243096013443741;7,04152893387805e-05;7,89372355659027e-19;1,00438780314577e-39;0;0
"12";"2021-11-22";"alle";0;0;0;0;0;0;0;0;0;0;0;0;33;36,7;33;33;35;37;40;41;43;47;54,3;58,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"13";"2021-11-21";"0-60";1;1,3;1;1;1;1;2;2;2;3;4;1076;10;11,6;10;10;11;12;13;14;15;16;18,5;19,8;0,779614356215922;0,888368444986695;0,851237411034356;0,804200602907527;0,730447157531375;0,595949732230041;0,510520393583422;0,00209880064568974;3,55720502065678e-21;2,43253079602936e-59;0
"14";"2021-11-21";"60+";2;2,3;2;2;2;2;3;3;3;4;27;19372,8;23;25,1;23;24;24;26;28;28;29;32;37;39,6;0,88123574475185;0,942893595359208;0,920306081137847;0,891443871563054;0,83796394127346;0,670435157338461;0,00146290482583324;5,6509804592164e-16;2,71684755521552e-36;0;0
"15";"2021-11-21";"alle";3;3,6;0;0;3;3;4;5;5;6;594,1;349837,2;33;36,7;33;33;35;37;40;41;43;47;54,3;58,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"16";"2021-11-20";"0-60";1;1,2;1;1;1;1;2;2;2;2;5;2114,4;11;12,5;11;11;12;13;14;15;15;16;18,5;19,8;0,808337923900801;0,904763841502742;0,869837172395325;0,828064040197785;0,76098731180157;0,635505249330241;0,550450456286284;0,00168443440345315;2,70826039757478e-21;6,40068527962449e-60;0
"17";"2021-11-20";"60+";2;2,2;2;2;2;2;3;3;3;4;37;27336,9;22;23,9;22;22;23;24;26;27;28;30;34,7;37,2;0,893877689230272;0,948581640155031;0,927903855079018;0,90219457248401;0,853158479515635;0,690454633027727;0,00110825187287098;7,24659257056838e-16;1,56046798113288e-36;0;0
"18";"2021-11-20";"alle";3;3,5;0;0;3;3;4;4;5;6;1285,6;529989;33;36,4;33;33;35;37;40;41;42;46;53,1;57;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"19";"2021-11-19";"0-60";3;3,4;3;3;3;3;4;4;5;5;9;3517,6;13;14,4;13;13;14;15;16;17;17;18,9;21,9;23,4;0,877043382715014;0,941062365952642;0,919193990039276;0,891492035906808;0,84294258385303;0,742157569505289;0,669249360498297;0,00524757656443245;2,67842673104663e-20;3,94831156417705e-58;0
"20";"2021-11-19";"60+";5;5,4;5;5;5;5;6;6;7;8;123,6;64908,9;23;24,8;23;23;24;25;27;28;29;31;35,8;38,4;0,929238549757339;0,967460748344953;0,954410293122968;0,935235788722787;0,899749200066897;0,760175728811726;0,00215360463546243;8,35975561592962e-15;1,78842971313483e-35;0;0
"21";"2021-11-19";"alle";8;8,8;0;0;8;9;10;10;11;13;2200,8;1058487,1;36;39,3;36;36;38;40;43;44;45;49;56,6;60,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"22";"2021-11-18";"0-60";1;1,2;1;1;1;1;2;2;2;2;5;1430,2;11;12,1;11;11;11;12;14;14;15;16;18,5;19,8;0,825284700687422;0,909086045735107;0,878101416106277;0,841365693792627;0,78070261499906;0,661123991223733;0,577147598687575;0,00245776072665869;7,87748448893535e-22;4,54106163808907e-60;0
"23";"2021-11-18";"60+";4;4,5;4;4;4;4;5;6;6;7;107,5;30521;20;21,5;20;20;21;22;24;24;25;27;31,2;33,4;0,891157629733397;0,945676011011123;0,926543777585665;0,898813746117227;0,848076082079189;0,659071737782722;0,00164053310791973;7,05170093536816e-16;4,35526874557181e-37;0;0
"24";"2021-11-18";"alle";5;5,7;0;0;5;6;7;7;8;9;1354,2;439164;31;33,6;31;31;32;34;36;37;39;42;48,5;52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"25";"2021-11-17";"0-60";2;2,3;2;2;2;2;3;3;3;4;6;749,1;13;14,1;13;13;13;14;16;16;17;18;20,8;22,3;0,874621146423811;0,936010193868338;0,913082638647082;0,885474210748661;0,839808996154642;0,746897881653275;0,676746323623982;0,0148196666187061;3,89221257767721e-21;3,32294289868835e-58;0
"26";"2021-11-17";"60+";7;7,6;7;7;7;8;9;9;9;10;37,2;17083,2;21;22,3;21;21;22;23;24;25;26;28;32,3;34,7;0,917969087992649;0,960785760612839;0,944824851212761;0,923476057636584;0,885361391017276;0,758791274170291;0,0119527755183365;3,41394535498282e-15;4,6359448669142e-36;0;0
"27";"2021-11-17";"alle";9;9,9;0;0;9;10;11;11;12;13;445,4;258778,8;34;36,4;34;34;35;37;39;40;41;45;52;55,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";"2021-11-16";"0-60";2;2,1;2;2;2;2;2;3;3;3;5;1053,1;14;15;14;14;14;15;16;17;17;18,9;21,9;23,4;0,938652843567748;0,973733019419972;0,962035338446462;0,946175746590048;0,917389884406312;0,850317818484848;0,793219868093344;0,0261940026477242;5,32693865315165e-20;7,29588341245044e-57;0
"29";"2021-11-16";"60+";3;3,1;3;3;3;3;3;4;4;4;24;9358;22;23;22;22;22;23;25;25;26;28;32,3;34,7;0,958414856964218;0,982982169185539;0,974431627400735;0,962705339736362;0,938014445600799;0,839690423238612;0,01520780298831;1,8235216153879e-14;4,62472024027481e-35;0;0
"30";"2021-11-16";"alle";5;5,3;0;0;5;5;6;6;6;7;426,4;303370,8;36;38;36;36;37;38;41;41;42;46;53,1;57;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"31";"2021-11-15";"0-60";0;0;0;0;0;0;0;0;0;0;0;0;13;13,9;13;13;13;14;15;16;16;17;19,6;21,1;0,78316343145996;0,911203169616789;0,868368342577521;0,80991508311196;0,710425527448694;0,505412280879476;0,37555434677375;4,69222844653498e-05;1,25197879213474e-24;9,10326215141121e-64;0
"32";"2021-11-15";"60+";0;0;0;0;0;0;0;0;0;0;0;0;22;23;22;22;22;23;25;25;26;28;32,3;34,7;0,84346074211378;0,938609918850026;0,906392310426749;0,859348277964195;0,767073878440283;0,45508346431745;9,43242709390883e-05;1,07024487538127e-18;1,77579185116805e-39;0;0
