"";"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"1";"2021-11-27";"0-60";2;83,6;35;48;65;92;136;149;168,1;197;256;328;42;209,5;139;163;189;227;285;303;326;361;417;447,2;0,023915146017236;0,0536169047481862;0,0399770750362944;0,0302854319002849;0,021707795446388;0,0147949789696672;0,0134273871838122;0,0118593961784619;0,0101731251552763;0,0078581771854156;0,00606063575855714
"2";"2021-11-27";"60+";5;87,7;45;57;71;93;122;132;143;161;191;227;93;277,9;213;235;259;291;332;344;361;384;426;456,8;0,0570064241198095;0,106102617521263;0,0853043712400675;0,0693038067683684;0,0540317315959317;0,0411166482507474;0,0381167835556414;0,035004906523502;0,0312189091103037;0,0263190240388725;0,0222155093254459
"3";"2021-11-27";"alle";7;171,3;86;110;141;189;258;282;312;354;431;540,1;135;487,4;365;409;456;524;614;644;682;735;836;896,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"2021-11-26";"0-60";1;11,1;4;6;9;12;17;18;20;23;28;36;54;153,6;119;132;145;162;184;190;199;211,1;235;252;0,0899673917926832;0,159206422835651;0,130968511661906;0,106562638074323;0,0833565732333427;0,0628429021505139;0,0580361532627439;0,0531181090842749;0,0467345264748577;0,0371173720406106;0,0297161134017021
"5";"2021-11-26";"60+";6;33,2;19;24;28;35;43;45;48;52;59;67;111;225,5;191;204;216;233;252;258;265;274;291;309;0,180602564188253;0,266010854849554;0,232846373384422;0,204280161922908;0,173800550518225;0,144370769877809;0,137271140921333;0,129651478862552;0,119928718598751;0,105532148595859;0,0931966073996962
"6";"2021-11-26";"alle";7;44,3;26;32;38;47;59;62;67;73;84;98;165;379,1;323;345;367;397;434;444;457;477;511;548;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"2021-11-25";"0-60";5;21,3;12;15;18;22;28;30;31;34;40;47;60;153,5;122;133;145;161;181;187;195;205;227;243,4;0,235060636214557;0,330046559614873;0,293243184416361;0,259282895614243;0,222115701789031;0,186532244694702;0,17782434471746;0,167257038623422;0,154216568036608;0,132188990068285;0,11133640845152
"8";"2021-11-25";"60+";19;49,8;36;41;45;51;58;60;62;66;72;77;130;225,8;197;208;218;232;248;252;258;266;279;293;0,381546519122362;0,476429398355214;0,44027320032263;0,407533857602264;0,371007765264816;0,333762153786683;0,32501364020603;0,313127642363808;0,298708554153655;0,276769075615614;0,257876548063335
"9";"2021-11-25";"alle";24;71,1;52;59;65;74;85;88;92;98;108;119;190;379,2;330;349;369;395;427;435;446;462;494;529;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"2021-11-24";"0-60";20;66,8;46;53;60;69;81;84;88;94;104;114;63;142,8;115;125;136;149;166;171;178;188;206;220,9;0,299342788108143;0,399247840197142;0,361612930871154;0,326613609496099;0,289583354780897;0,251956617309083;0,241906454371638;0,230588372726996;0,217716922852853;0,198067169147118;0,180999834786491
"11";"2021-11-24";"60+";19;41,1;31;34;38;42;47;48;50;52;56;59;145;216,8;194;203;211;222;234;238;243;249;260;271;0,461971371070207;0,550843129867628;0,518865963007184;0,488592053069105;0,452938507171737;0,415880553588445;0,406198436724288;0,395953336496418;0,383462143860552;0,361302226988634;0,341768935075133
"12";"2021-11-24";"alle";39;107,9;82;90,9;100;112;126;131;136;143;154;165;208;359,6;319;335;352;373;399;406;415;428;452;482;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"13";"2021-11-23";"0-60";7;14,1;9;11;12;14;17;18;18;19;21;23;56;92,4;78;83;89;96;105;107;111;116;128;137,3;0,495092595129011;0,603956334176974;0,564426303333675;0,52829972824366;0,485648923085719;0,440037241885083;0,428668564952409;0,414089250753891;0,396327146764071;0,37017921337303;0,348980428981712
"14";"2021-11-23";"60+";25;38,7;31;34;36;39;43;44;45;46;49;52;153;207,4;189;196;203;211;222;225;229;234;244;254;0,645874640861389;0,731321730426358;0,70096535555558;0,671331120759556;0,638319061744169;0,600588275215292;0,590902996249329;0,578861392337741;0,564440102437877;0,541250422739954;0,521289794377534
"15";"2021-11-23";"alle";32;52,8;43;46;49;54;59;60;62;64;67;70;209;299,8;274;285;295;309;326;331;337;345;363;384;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"16";"2021-11-22";"0-60";5;8,9;6;6;8;9;11;11;12;13;14;16;54;84;72;76;81;87;95;98;101;106;117;125,5;0,562116676312178;0,669852869325576;0,630452904898986;0,592754103163156;0,546949757517371;0,498632460121732;0,486329179504651;0,471307137193561;0,450059565466319;0,41318441659449;0,381079918268932
