"";"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"1";"2021-12-02";"0-60";13;73,5;56;62;67;73;80;81;83;86;90;93;297;646,5;597;614;630;647;665;669;674,1;681;691;700;0,176790677776721;0,201366113958074;0,193042581240611;0,185166148945437;0,176700233025954;0,168576387565891;0,166503653093782;0,16405383064576;0,161214891233885;0,156911457196086;0,153442881297041
"2";"2021-12-02";"60+";50;255,1;217;229;241;255;270;273;278;283;292;299;719;1445,5;1363;1392;1418;1446;1477;1485;1494;1505;1523;1538;0,195998707537962;0,219522385558615;0,211318523118013;0,204125446192117;0,195970473543128;0,188045984298453;0,186136277465958;0,183906462751113;0,181054279422119;0,177014865238777;0,173685943222307
"3";"2021-12-02";"alle";63;328,6;281;297;311;328;346;351;356;363;374;382;1016;2092;1979;2019;2053;2094;2135;2146;2158;2173;2198;2220;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"2021-12-01";"0-60";42;127,7;108;114;121;128;135;137;139;142;146;150;374;701,8;656;672;686;702;719;723;728;734;743;751;0,328873151183777;0,358992272857951;0,348110153299378;0,33903281030711;0,328703856854266;0,318642984896053;0,316018496129178;0,312956096683006;0,309249739384789;0,303945664384915;0,29930037967391
"5";"2021-12-01";"60+";96;254,4;225;235;244;254;265;268;271;275;282;287;885;1480,1;1415;1437;1458;1482;1506;1512;1519;1528;1541;1553;0,377368755665912;0,40537167702777;0,396003119457055;0,387023063117179;0,377289478599641;0,367668451347019;0,365205305484671;0,36237127519494;0,358852386986648;0,353905162200944;0,349372894722432
"6";"2021-12-01";"alle";138;382,1;341;355;368;382;397;401;405;411;420;427;1259;2182;2091;2121;2150;2184;2218;2227;2236;2250;2268;2286;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"2021-11-30";"0-60";54;101,3;87;92;96;101;106;108;109;111;114;116;435;707,2;668;681;694;707;722;725;729;735;742;749;0,533151868909317;0,563340729656794;0,552803881612259;0,543521700404503;0,533081951091323;0,522508321574427;0,519968606049719;0,516673316111694;0,512749689132279;0,50696117671495;0,501809608509947
"8";"2021-11-30";"60+";116;195,5;177;183;189;195;202;204;206;209;213;216;1044;1541,8;1486;1505;1522;1543;1564;1569;1575;1583;1595;1606;0,593491649216082;0,620240543439071;0,611001621735089;0,602715979254253;0,593427408244485;0,583964860102895;0,581673774414114;0,578786860495325;0,575351416820104;0,569814937937869;0,565741689085826
"9";"2021-11-30";"alle";170;296,7;272;280;288;297;306;308;311;315;320;324;1479;2249;2172;2197;2221;2251;2280;2287;2295;2306;2321;2334;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"2021-11-29";"0-60";24;51,4;41;44;48;51;55;56;57;59;61;63;456;694;658;670;681;694;707;710;714;719;726;732;0,467058494010752;0,500210763079472;0,488818175215686;0,478438183125819;0,466667107301305;0,455262194540817;0,452412783163961;0,4491094555335;0,444540210534587;0,437832366326556;0,432195494476073
"11";"2021-11-29";"60+";68;125,5;110;115;120;125;131;133;135;137;140;143;1148;1599,1;1546;1564;1581;1600;1620;1625;1630;1637;1648;1658;0,541662457201367;0,571285043739782;0,560854496897179;0,551964534115724;0,541744922713359;0,530757212267059;0,528220421159145;0,525174578940286;0,521223945157112;0,514942532615558;0,509732919502517
"12";"2021-11-29";"alle";92;176,9;157;164;170;177;184;186;188;191;196;199;1604;2293;2223;2246;2268;2295;2321;2328;2335;2344;2359;2372;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"13";"2021-11-28";"0-60";35;74,7;62;66;70;75;79;81;82;84;86;89;486;709,6;675;687;698;710;722;725;729;734;741;747;0,46853410113844;0,499809095946603;0,489485933455724;0,47919632785218;0,46840981755595;0,457391278620162;0,454514972924626;0,451295608285228;0,447001655738104;0,440756297197222;0,435308662680402
"14";"2021-11-28";"60+";80;146,3;129;135;140;146;152;154;156;158;162;165;1219;1642,5;1593;1610;1625;1643;1662;1667;1672;1679;1689;1699;0,54692259155235;0,575375961353084;0,565754263521404;0,556845981432489;0,54671712839231;0,536678433102871;0,534189937442084;0,531160556732283;0,527615678029683;0,521986522578445;0,517186538028678
"15";"2021-11-28";"alle";115;221;198;206;213;221;229;232;234;237;242;246;1705;2352,1;2286;2308;2329;2354;2379;2385;2392;2401;2415;2428;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
