date,nowcast7_est,state
2021-12-07,394.9,DE-BB
2021-12-06,389.1,DE-BB
2021-12-05,355.1,DE-BB
2021-12-04,324.2,DE-BB
2021-12-03,290.5,DE-BB
2021-12-02,282.4,DE-BB
2021-12-01,267.7,DE-BB
2021-11-30,289.5,DE-BB
2021-11-29,278.1,DE-BB
2021-11-28,293.2,DE-BB
2021-11-27,302.7,DE-BB
2021-11-26,276.3,DE-BB
2021-11-25,270,DE-BB
2021-11-24,286.5,DE-BB
2021-11-23,264.5,DE-BB
2021-11-22,259.9,DE-BB
2021-11-21,244.5,DE-BB
2021-11-20,231.2,DE-BB
2021-11-19,233.8,DE-BB
2021-11-18,218.7,DE-BB
2021-11-17,191.5,DE-BB
2021-11-16,184.2,DE-BB
2021-11-15,182.6,DE-BB
2021-11-14,190.5,DE-BB
2021-11-13,199.4,DE-BB
2021-11-12,199.9,DE-BB
2021-11-11,199.4,DE-BB
2021-11-10,189.9,DE-BB
2021-11-09,184.6,DE-BB
2021-11-08,178.3,DE-BB
2021-11-07,176.2,DE-BB
2021-11-06,164.7,DE-BB
2021-11-05,154.4,DE-BB
2021-11-04,144,DE-BB
2021-11-03,145.8,DE-BB
2021-11-02,140.6,DE-BB
2021-11-01,136.5,DE-BB
2021-10-31,126.4,DE-BB
2021-10-30,124.2,DE-BB
2021-10-29,118.1,DE-BB
2021-10-28,119,DE-BB
2021-10-27,118,DE-BB
2021-10-26,116,DE-BB
2021-10-25,111,DE-BB
2021-10-24,115,DE-BB
2021-10-23,112,DE-BB
2021-10-22,110,DE-BB
2021-10-21,95,DE-BB
2021-10-20,83,DE-BB
2021-10-19,73,DE-BB
2021-10-18,66,DE-BB
2021-10-17,60,DE-BB
2021-10-16,55,DE-BB
2021-10-15,52,DE-BB
2021-10-14,50,DE-BB
2021-10-13,47,DE-BB
2021-10-12,44,DE-BB
2021-10-11,37,DE-BB
2021-10-10,38,DE-BB
2021-10-09,39,DE-BB
2021-10-08,38,DE-BB
2021-10-07,39,DE-BB
2021-10-06,41,DE-BB
2021-10-05,36,DE-BB
2021-10-04,37,DE-BB
2021-10-03,35,DE-BB
2021-10-02,37,DE-BB
2021-10-01,34,DE-BB
2021-09-30,43,DE-BB
2021-09-29,41,DE-BB
2021-09-28,43,DE-BB
2021-09-27,43,DE-BB
2021-09-26,47,DE-BB
2021-09-25,46,DE-BB
2021-09-24,44,DE-BB
2021-09-23,37,DE-BB
2021-09-22,39,DE-BB
2021-09-21,37,DE-BB
2021-09-20,38,DE-BB
2021-09-19,36,DE-BB
2021-09-18,34,DE-BB
2021-09-17,35,DE-BB
2021-09-16,35,DE-BB
2021-09-15,37,DE-BB
2021-09-14,35,DE-BB
2021-09-13,38,DE-BB
2021-09-12,38,DE-BB
2021-09-11,40,DE-BB
2021-09-10,43,DE-BB
2021-09-09,40,DE-BB
