"";"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"1";"2021-12-11";"0-60";4;11,1;6;8;9;11;13;14;15;15;17;18;40;67,4;56;60;63;68;72;73;75;77;80;82;0,359586136267479;0,447128011118976;0,416591318465667;0,388495603330224;0,357392817667986;0,326788822668171;0,318593106994763;0,310032725267788;0,29891144976667;0,282920914932939;0,268910449037299
"2";"2021-12-11";"60+";2;4,2;2;2;3;4;5;6;6;6;7;8;53;73,2;64;67;70;73;77;78;79;81;83;85;0,47143912313193;0,553294603076527;0,523858773046502;0,49857328392809;0,46803691937435;0,437671805503937;0,430261679665415;0,421994286132992;0,411320645466903;0,393775160843559;0,377507793253
"3";"2021-12-11";"alle";6;15,4;9;11;13;15;18;19;19;20;22;24;93;140,6;125;130;135;141;148;150;152;154;158;163;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"2021-12-10";"0-60";5;9,7;6;7;8;10;11;12;12;13;14;15;43;65,3;56;59;62;65;69;70;72;73;76;78;0,517781225386485;0,595128613121051;0,568508724286703;0,543683103293226;0,515781945029955;0,487008228612524;0,479923187031729;0,471332939359947;0,460849588393319;0,444009004116283;0,428344661140662
"5";"2021-12-10";"60+";7;11,5;8;9;10;11;13;13;14;15;16;17;64;84,9;76;79;82;85;89;90;91;93;95;97;0,609850295233934;0,679243666621578;0,65519927777067;0,632426495067437;0,606683377417563;0,579377509062786;0,572292782157984;0,564590891164888;0,553359835691027;0,538114172094955;0,524872677744608
"6";"2021-12-10";"alle";12;21,1;15;17;19;21;24;24;25;26;27;29;107;150,2;136;141;145;151;157;158;160;162;166;170;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"2021-12-09";"0-60";7;13,1;9;10;11;13;15;15;16;17;18;19;55;76,2;67;70;73;76;80;81;82;84;86;89;0,534281654387216;0,609468088564644;0,582798195022681;0,558635986360396;0,532127917620956;0,503703529693012;0,496105986110356;0,487845306732711;0,47724169018023;0,462076315586763;0,447278140410533
"8";"2021-12-09";"60+";4;6,5;4;5;5;6;8;8;8;9;10;10;62;79,2;71;74;76;79;83;84;85;86;88;90;0,619873043528951;0,684457735099215;0,661358191442967;0,640071091240242;0,616348479313636;0,59026235671454;0,583567433898007;0,575763732327479;0,565383608471808;0,550115271927321;0,535740939685475
"9";"2021-12-09";"alle";11;19,6;14;16;17;20;22;23;23;24;26;27;117;155,4;142;147;151;156;162;163;165;167;170;173;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"2021-12-08";"0-60";6;8,8;6;7;8;9;10;10;11;11;12;13;56;72,9;65;67;70;73;76;77;78;80;82;83;0,68181186626409;0,740139539996171;0,720791127129846;0,702371594402804;0,680442739905874;0,657636213461838;0,651508495213264;0,644651113628408;0,636022564142739;0,622297978456153;0,610362651184211
