"";"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"1";"2021-12-13";"0-60";3;12,9;6;8;10;13;17;18;19;21;24;27;46;109,1;86;94;102;111;122;125;128;133;141;148;0,232192980288848;0,358378808934875;0,312840781535296;0,272376713168092;0,229222291191516;0,188844541265498;0,17977946800719;0,169393550690633;0,155338506298131;0,13785739867502;0,12260732106784
"2";"2021-12-13";"60+";3;13,3;6;8;10;13;17;18;19;21;24;27;101;223;185;197;209;225;243;248;254;262;274;285;0,225443793219121;0,348069944192598;0,305580744805788;0,266210582059553;0,224223685108745;0,186397876043551;0,177186873293516;0,166591937318847;0,154735373156297;0,137064693801038;0,122115403396727
"3";"2021-12-13";"alle";6;26,2;15;18;22;26;33;35;37;40;46;50;147;332,1;277;295;314;336;363;370;379;391;409;426;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"2021-12-12";"0-60";0;0;0;0;0;0;0;0;0;0;0;0;48;104,2;84;91;98;106;115;117;120;124;131;137;0,197423671805691;0,305450869880149;0,265570605432468;0,230919494503774;0,194979839675928;0,162042373408935;0,154401172147046;0,145248447131133;0,133956217712795;0,119780704479975;0,109609290653343
"5";"2021-12-12";"60+";3;15,3;7;9;12;15;19;20;22;24;27;30;105;220,9;185;197;208;223;239;244;249;256;267;278;0,196681760755072;0,303556759593381;0,264659885711236;0,230630425063465;0,196251174576957;0,164244837525466;0,156277345780992;0,147912969707216;0,13791621944395;0,123043497259632;0,110585739921357
"6";"2021-12-12";"alle";3;15,3;7;9;12;15;19;20;22;24;27;30;153;325,2;275;292;308;329;352;359;366;376;392;406;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"2021-12-11";"0-60";5;14,2;8;10;12;14;17;18;19;20;22;24;53;112,7;92;99;106;114;124;127;130;134;140;146;0,353319528859962;0,459681920638162;0,420624217608953;0,387491331158215;0,349599063598901;0,313742599766774;0,304649897380752;0,294039208975946;0,281007200923639;0,262578200457315;0,24749978002259
"8";"2021-12-11";"60+";5;14;8;10;12;14;17;17;18;19;21;23;112;222,8;189;200;211;224;240;244;248;255;264;274;0,35639087419117;0,459824123866941;0,423286463618987;0,390214922263243;0,354951536106321;0,32066550027157;0,311990960062841;0,302025610094015;0,290092933948671;0,271609053284859;0,257833998049612
"9";"2021-12-11";"alle";10;28,2;19;22;25;28;33;34;35;37;40;43;165;335,6;287;304;319;339;361;367;374;384;399;412;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"2021-12-10";"0-60";10;30,3;20;23;26;31;35;37;38;40;43;46;56;109,8;91;97;103;111;120;122;125;129;135;140;0,32992995507666;0,424999740217176;0,391205240051987;0,360064568439507;0,327065649475011;0,292495916236642;0,283919403348774;0,274872940021776;0,263649048116954;0,246762924055062;0,232031424729253
"11";"2021-12-10";"60+";18;53,8;38;43;48;54;61;63;65;68;73;79;133;245,5;212;223;234;247;262;266;271;277;286;295;0,334774324276305;0,427745953889147;0,394776455727793;0,365850486743764;0,333713699863122;0,302022115881235;0,294221931419107;0,284878701526805;0,273457246718718;0,256714923204733;0,24278535677332
"12";"2021-12-10";"alle";28;84,1;62;69;76;85;95;98;102;106;113;120;189;355,4;309;325;340;359;380;386;392;401;415;427;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"13";"2021-12-09";"0-60";10;23,1;16;18;20;23;27;27;29;30;32;34;59;98,4;84;89;94;99;106;108;109;112;116;120;0,43321458828775;0,528574798195854;0,494249304244197;0,463081848331817;0,429712708218114;0,39521338523442;0,386013520648066;0,375422908055134;0,361641440442245;0,343791676864502;0,326719756050085
"14";"2021-12-09";"60+";17;38,8;28;31;35;39;44;45;46;48;51;54;136;222,5;197;205;214;224;235;238;241;246;253;260;0,438511571488925;0,529411811996601;0,498016440502478;0,469480313534589;0,437056301218968;0,404017181395135;0,396249533856537;0,387180526661917;0,375157421923516;0,356584102771918;0,340977033596673
"15";"2021-12-09";"alle";27;61,9;47;52;56;62;69;71;73;76;80;84;195;321;287;299;310;324;338;342;348;354;364;373;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"16";"2021-12-08";"0-60";8;14;10;11;12;14;16;16;17;18;19;20;60;90,1;79;83;86;91;96;97;99;101;104;107;0,569832700197921;0,650475172105031;0,623114407804849;0,59666409993043;0,56690063658338;0,534544246922101;0,526747323772255;0,51611656392618;0,505410270531203;0,488573906376012;0,471775945069771
"17";"2021-12-08";"60+";27;47,1;37;40;43;47;51;52;54;55;58;60;149;224;201;209;216;225;235;237;240;244;250;255;0,573842780516304;0,649957745006609;0,62552748630708;0,601357942187143;0,572630571828257;0,543259524983679;0,53605400569009;0,527253868950351;0,515856848052342;0,49921202261506;0,48465397818707
"18";"2021-12-08";"alle";35;61,1;50;53;57;61;66;67;69;71;74;77;209;314,1;286;296;305;316;328;332;335;341;349;355;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"19";"2021-12-07";"0-60";10;14,6;11;12;13;15;16;17;17;18;19;20;62;88,3;78;82;85;89;94;95;96;98;101;104;0,684163105471101;0,749098399551784;0,726905031084206;0,705656294841536;0,68060597440793;0,65370166517683;0,646286567994377;0,638579692596679;0,627610383632297;0,612245635792992;0,598170678780352
"20";"2021-12-07";"60+";28;40,8;34;36;38;41;44;45;46;47;49;50;151;212,5;194;200;206;213;222;223,2;226;229;234;238;0,685525664722644;0,747822599765204;0,727128066061713;0,707712923577735;0,684620535416824;0,659610662226188;0,652846953599631;0,645339082801857;0,635779306069824;0,620992183176505;0,608419543801938
"21";"2021-12-07";"alle";38;55,5;47;50;52;56;59;60;61;63;65;67;213;300,7;277;285;293;303;313;316;319;323;330;335;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
