"";"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"1";"2021-12-15";"0-60";9;49,5;33;38;43;50;57;59;61;64;68;73;112;258,3;221;234;245;260;275;280;284;290;300;310;0,18192775710016;0,238458649479988;0,218325793629095;0,200773652276765;0,181245064926912;0,16362700018707;0,159300239029836;0,154022643429575;0,148096776537192;0,138906705897885;0,131735954210218
"2";"2021-12-15";"60+";10;45,7;31;36;40;46;52;53;55;58;61;65;184;345,5;308;321;333;347;362;366;371;378;387;396;0,218831538122786;0,276088277865624;0,255481936779975;0,237657863215715;0,218139697940029;0,199790148360241;0,195106804471571;0,189964158043944;0,183707669622126;0,174221275889659;0,165961273643603
"3";"2021-12-15";"alle";19;95,2;70;78;85;95;107;110;113;118;126;133;296;603,8;539;561;581;606;634;642;650;661;677;695;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"2021-12-14";"0-60";18;44;33;36;40;44;48;50;51;53;56;58;140;257,1;228;237;247;258;270;273;277;282;289;296;0,409494434414271;0,480423164472888;0,455533526705301;0,433667898336636;0,408691989400385;0,383929415227541;0,37753552047308;0,370930669668245;0,362104142365851;0,349465697080736;0,338728832396535
"5";"2021-12-14";"60+";26;55,1;43;47;51;55;60;61;63;65;68;70;216;351,8;320;331;341;353;366;369;373;379;386;393;0,471610926428596;0,538023280154296;0,515422733848732;0,49437645980474;0,470558693608548;0,44756943242556;0,441878970088143;0,434497600343151;0,425924607796839;0,413044874063589;0,403031086302531
"6";"2021-12-14";"alle";44;99,1;80;86;92;99;107;109;111;115;119;123;356;608,9;558;575;591;611;633;639;645;653;666;679;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"2021-12-13";"0-60";5;14,3;8;10;12;14;17;17;18;19;21;22;149;244,7;220;228;236;246;256;258;261;266;272;278;0,350276114472801;0,431406140674108;0,40264152906812;0,377797418685095;0,349409374811571;0,321585399406235;0,314631726642518;0,306635501026531;0,296477824690773;0,281423486798981;0,269251968118104
"8";"2021-12-13";"60+";10;23,4;16;18;21;23;26;27;28;29;31;33;237;350,2;323;332;341;351;363;365;369;373;379;385;0,427693182481509;0,504560947269391;0,478681744943268;0,454077635873664;0,426575772727845;0,399039441391147;0,392383540613634;0,383687480746017;0,374196528178704;0,358501437916482;0,345061859388742
"9";"2021-12-13";"alle";15;37,7;27;31;34;38;42;43;45;46;49;51;386;594,9;552;566;581;597;615;620;625;632;643;651;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"2021-12-12";"0-60";15;43,6;32;35;39;44;49;50;51;53;56;59;157;246,6;223;231;238;247;257;259;262;266;272;277;0,343937331807142;0,411528368669632;0,388283221465858;0,366773331475831;0,343224920286971;0,320048552647495;0,314118082769602;0,307432212862579;0,299702800191558;0,28698395295257;0,275128200685582
"11";"2021-12-12";"60+";23;53,5;41;45;49;54;59;60;62;64;66;69;252;356,8;331;340;348;358;368;371;374;378;384;389;0,429620626206433;0,494561836905213;0,472172762180004;0,451909223025536;0,428390918729818;0,404815614685265;0,399632103415358;0,392884927340889;0,383909188189865;0,370724085331155;0,359223966614453
"12";"2021-12-12";"alle";38;97,1;78;84;90;97;106;108;110;113;119;123;409;603,4;564;577;590;605;622;626;631;638;648;656;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"13";"2021-12-11";"0-60";19;38,3;30;32;35;38;42;43;44;45;48;50;168;236,3;217;224;230;237;244;246;249;252;256;260;0,495575171350708;0,557535248726197;0,536127226572056;0,516967724474715;0,494940984927158;0,472081696172155;0,466077006130688;0,459361686165971;0,45088256135458;0,438970274062626;0,428698008429188
"14";"2021-12-11";"60+";27;46,7;38;41;43;47;50;51;52;54;56;58;267;350,7;330;336;343;351;360;362;365;368;373;377;0,577931485098024;0,633220016433658;0,613884006103819;0,596532058074526;0,576128890208889;0,556166059808779;0,550562302659015;0,544506826025006;0,536764756072083;0,52532751868819;0,515167621106471
"15";"2021-12-11";"alle";46;85,1;71;76;80;85;91;92;94;96;100;103;435;587;555;566;576;589;601;605;609;614;621;627;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"16";"2021-12-10";"0-60";21;33,7;27;29;31;34;36;37;38;39;41;42;171;224,3;209;214;219;224;231;233;234;237;240;244;0,623542568022643;0,67678370850035;0,659276038643493;0,641765967158351;0,622783116467463;0,602428691163231;0,597362634406822;0,591799724290653;0,58416635230278;0,571653030106937;0,562246471922609
"17";"2021-12-10";"60+";44;63,6;55;58;60;64;67;68;69;71;73;74;296;369,9;350;357;363;371;379;381;383;386;390;394;0,691404209399884;0,736582562109474;0,721221945383958;0,706729003636973;0,690227503300166;0,672995210131671;0,668273843776032;0,66304937041104;0,656518954886625;0,646287421337975;0,638014362310283
"18";"2021-12-10";"alle";65;97,3;85;89;93;97;102;103;105;107;109;112;467;594,2;567;576;585;596;607;610;613;617;623;629;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"19";"2021-12-09";"0-60";25;35;29;31;33;35;37;38;39;40;41;42;175;219;205;210;214;219;225;226;228;230;233;236;0,71450941715647;0,757347336123046;0,743171638506133;0,729325080245297;0,713947084688005;0,697353677442517;0,69331677079269;0,688228573768305;0,68197531705634;0,672412839147602;0,664435989654167
"20";"2021-12-09";"60+";44;57,4;50;53;55;57;60;61;62;63;65;66;280;338;321;327;332;339;345;347;349;352;355;359;0,766793455558949;0,80190494268507;0,79015747104563;0,779000183757683;0,765611004992081;0,752168252060593;0,748680534894459;0,744342084864093;0,73872077883998;0,730279852158277;0,722941483998254
"21";"2021-12-09";"alle";69;92,4;83;86;89;92;96;97;98;100;102;104;455;557;534;541;549;558;568;570;573;577;582;586;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"22";"2021-12-08";"0-60";37;48,2;42;44;46;48;51;51;52;53;55;56;185;222,7;210;214;218;223;228;229;231;233;235;238;0,766906830213231;0,802469839829783;0,790432680589006;0,779293639953367;0,766190297050758;0,752082987050417;0,748398578711316;0,744404335151732;0,738825692999818;0,730568829573449;0,723017071982256
"23";"2021-12-08";"60+";42;52;46;48;50;52;54;55;56;57;58;59;282;331,3;316;321;326;332;338;339;341;344;347;350;0,807512104350444;0,83698812824944;0,827193150956807;0,817751583087242;0,80651085994286;0,794389091356647;0,791391770102287;0,787727556981096;0,783076695924841;0,776481925327699;0,769287938610765
"24";"2021-12-08";"alle";79;100,3;91;94;97;100;104;105;106;107;109;111;467;553,9;533;540;547;555;563;566;568;571;576;580;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"25";"2021-12-07";"0-60";27;31,6;28;29;30;31;33;33;34;35;36;37;179;208;197;201;204;208;213;214;215;216;219;222;0,855379762751236;0,881028912923267;0,872690067071797;0,864589611877655;0,854853295857975;0,844214089850819;0,84181086060137;0,838504067463971;0,83468114033621;0,828654688755662;0,822682190413352
"26";"2021-12-07";"60+";47;53,5;49;50;52;53;55;56;56;57;58;59;292;335,8;322;326;331;336;342;343;345;347;351;353;0,878746587024747;0,900400745601153;0,893038763845016;0,886238153599955;0,877961424977177;0,868821498444027;0,866642702529157;0,863780162813199;0,860464561946628;0,855278329242969;0,850247203985582
"27";"2021-12-07";"alle";74;85,1;79;81;83;85;88;88;89;90;91;93;471;543,8;525;531;538;545;552;554;557;559;564;568;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";"2021-12-06";"0-60";13;16,1;13;14;15;16;17;18;18;19;19;20;181;206,9;197;200;203;207;211;212;213;215;217;220;0,806036180358945;0,843792558219784;0,831010464521133;0,819017524458987;0,804993665211291;0,789553041162257;0,78586602235524;0,781435175300982;0,775049968117945;0,766140750197173;0,756677385013764
"29";"2021-12-06";"60+";25;30,1;26;27;28;30;32;32;33;33;34;35;279;318,1;305;309;314;319;324;325;327;329;332;335;0,83151902944193;0,864019721441749;0,853185821424525;0,84258302285921;0,829906028678309;0,816772027151309;0,813130496961712;0,8089065430359;0,803236310232019;0,794807823957985;0,787301493838716
"30";"2021-12-06";"alle";38;46,2;41;43;44;46;48;49;50;50;52;53;460;525,1;507;513;519;526;533;535;537;540;544;548;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"31";"2021-12-05";"0-60";26;33,3;29;30;31;33;35;36;36;37;39;40;182;205,8;196;199;202;206;210;211;212;213;216;218;0,779637042984845;0,81684006671306;0,804475439209883;0,792384369735775;0,778626577834369;0,763500639039825;0,759540483594029;0,755028011945929;0,74902331942266;0,740493468938619;0,732652975766056
"32";"2021-12-05";"60+";38;47,4;42;44;45;47;50;50;51;52;53;55;282;318,3;306;310;314;319;324;325;327;329;332;334;0,802109908639927;0,835760769273768;0,824177231592594;0,813103253684171;0,800410777319695;0,786572104045128;0,783144303447262;0,778621310435271;0,773443598563115;0,765642764464878;0,758361629043683
"33";"2021-12-05";"alle";64;80,7;73;75;78;81;84;85;86;87;89;91;464;524,2;507;513;519;525;532;534;536;538;542;546;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"34";"2021-12-04";"0-60";22;26,3;23;24;25;26;28;28;29;29;30;31;170;187,7;180;182;185;188;191;192;193;194;196;198;0,836496275309306;0,864837320908533;0,855389944617864;0,846254352103299;0,835472134565566;0,823923799762113;0,82085415729412;0,817221286912178;0,812692768093399;0,805524560502101;0,799751618121556
"35";"2021-12-04";"60+";56;66;60;62;64;66;68;69;70;71;72;73;275;305,1;294;298;301;306;310;311;313;314;317;319;0,848915962259512;0,875450726247395;0,866231605747058;0,857646972342402;0,847276100656418;0,836194479531828;0,833570621756712;0,83024858318103;0,826146943642248;0,81897120251448;0,813120719578925
"36";"2021-12-04";"alle";78;92,3;85;87;90;92;95;96;97;98;100;101;445;492,8;478;483;488;494;499;501;503;505;508;512;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"37";"2021-12-03";"0-60";25;28,5;25;26;27;28;30;30;31;31;32;33;190;205,9;198;201;203;206;209;210;211;212;214;216;0,87850633006142;0,900823350796457;0,893061677402384;0,886111240653968;0,877645910983287;0,868498714542799;0,866169372624093;0,863229306728759;0,859645330489972;0,854210565678318;0,848775705183641
"38";"2021-12-03";"60+";28;31,7;28;29;30;32;33;33;34;34;35;36;251;273,5;264;267;270;274;278;279;280;281;284;286;0,884004680487137;0,904981384623739;0,897907856630438;0,890930904118231;0,882659955425819;0,873671882149817;0,871382788709416;0,868678426735752;0,865194590024992;0,859737503888768;0,855024574258144
"39";"2021-12-03";"alle";53;60,1;55;57;58;60;62;63;63;64;65;66;441;479,4;466;471;475;480;485;487;488;490;493;496;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"40";"2021-12-02";"0-60";35;38,6;35;36;37;38;40;40;41;41;42;43;194;207,7;201;203;205;208;211;211;212;213;215;217;0,906581601430116;0,924309614333478;0,918271033389369;0,912584278878974;0,905947994401672;0,8987320488725;0,896737340978651;0,89447725561797;0,891482914123484;0,886874120554397;0,88289302646355
"41";"2021-12-02";"60+";46;50,7;47;48;49;51;52;53;53;54;55;56;268;289,3;280;283;286;290;293;294;295;297;299;301;0,907736301823534;0,925137138655437;0,91926777785292;0,913482551758897;0,906711030420802;0,899568595853123;0,89769356758607;0,895398745719148;0,892519168290068;0,887739550275641;0,882988988223263
"42";"2021-12-02";"alle";81;89,3;84;86;87;89;91;92;93;94;95;96;462;497,1;485;489;493;498;503;504;505;507;510;513;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"43";"2021-12-01";"0-60";31;33,6;31;32;32;33;35;35;35;36;37;37;201;212,5;206;208;210;213;215;216;217;218;219;221;0,921926606257957;0,937174963023299;0,931921244085313;0,927159811356756;0,921293601601726;0,914954635654806;0,913336206357966;0,911427181691552;0,908847456369443;0,90485999889684;0,901511856967273
"44";"2021-12-01";"60+";52;56,5;53;54;55;56;58;58;59;60;61;61;276;295;286;289;292;295;299;300;301;302;304;306;0,920079632240909;0,93559760539271;0,930409535156743;0,925282191547088;0,919119086292664;0,912569258739902;0,910898823142511;0,908996435028729;0,906261338229021;0,902358891609066;0,898370258373803
"45";"2021-12-01";"alle";83;90,1;85;87;88;90;92;93;93;94;95;96;477;507,5;496;500;504;508;513;514;515;517;520;522;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"46";"2021-11-30";"0-60";29;30,5;29;29;30;30;31;31;32;32;33;33;199;208,6;203;205;207;209;211;212;212;213;215;216;0,951659599642528;0,961753173745881;0,958500107869035;0,955275548022708;0,951217648156281;0,946850478658815;0,945684902126795;0,944389658425183;0,942600189439565;0,939918838154208;0,937398460802877
"47";"2021-11-30";"60+";34;35,8;34;34;35;36;37;37;37;38;38;39;282;298,5;290;293;296;299;302;303;304;305;307;309;0,948403875699251;0,959402298265576;0,955754591953727;0,952132543881745;0,947755850913892;0,942830323259283;0,941552092565438;0,940200735748808;0,938278646947022;0,935094062854043;0,932505307355242
"48";"2021-11-30";"alle";63;66,3;63;64;65;66;68;68;68;69;70;71;481;507,2;497;500;503;508;512;513;514;516;519;521;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"49";"2021-11-29";"0-60";14;15;14;14;14;15;16;16;16;16;17;17;204;212,7;207;209;211;213;215;216;216;217;219;220;0,932118391882109;0,947244137544612;0,942501218704276;0,937417815818975;0,931196600793443;0,924566700891458;0,922800941028391;0,920567867401028;0,917816194241274;0,913425146778087;0,909583578336473
"50";"2021-11-29";"60+";28;30,3;28;28;29;30;31;32;32;32;33;34;291;306,6;299;301;304;307;310;311;312;313;315;317;0,924516334884949;0,941987704517336;0,936278652773861;0,930329271078407;0,92329840634595;0,915549421039905;0,913475320276454;0,910999243139183;0,907834464513565;0,903029553439776;0,89825346588273
"51";"2021-11-29";"alle";42;45,3;42;43;44;45;47;47;47;48;49;50;495;519,3;509;513;516;520;524;525;526;528;531;533;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"52";"2021-11-28";"0-60";14;15,2;14;14;14;15;16;16;16;17;17;18;198;205,8;201;202;204;206;208;209;209;210;211;213;0,920958982304444;0,937761555514299;0,932088551931679;0,92663403619272;0,919961044802738;0,91264038983539;0,910613416158204;0,908344653499852;0,905449344130523;0,90082971514093;0,896737064427944
"53";"2021-11-28";"60+";31;34,1;31;32;33;34;35;36;36;37;38;38;289;303,2;296;298;301;303;306;307;308;310;311;313;0,908627993257872;0,928770766192839;0,921819679964877;0,915173420676369;0,907285297402532;0,898345060077577;0,895998805171703;0,893233343879609;0,889754650034485;0,88382627982315;0,878342771539638
"54";"2021-11-28";"alle";45;49,3;46;47;48;49;51;51;52;52;53;54;487;509,1;500;503;506;509;513;514;516;517;520;522;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"55";"2021-11-27";"0-60";42;44,6;42;43;43;44;46;46;46;47;48;48;215;222,4;218;219;221;222;225;225;226;227;228;229;0,942552098933301;0,954866181936805;0,9508851249882;0,946815947479715;0,941673988566846;0,936117015302411;0,934659515892252;0,932996426782624;0,930768039941625;0,927468095259701;0,924097974100989
"56";"2021-11-27";"60+";32;34,4;32;33;33;34;35;36;36;37;37;38;295;307,5;301;303;305;308;311;311;312;314;315;317;0,930756904161743;0,946187089467921;0,941178710673254;0,935899399081894;0,929486644067093;0,922540162340705;0,920745386221083;0,918495276913479;0,915374345801756;0,910905145280938;0,906578515985693
"57";"2021-11-27";"alle";74;78,9;75;76;77;79;81;81;82;82;83;84;510;529,9;521;524;527;530;534;535;536;538;540;542;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"58";"2021-11-26";"0-60";29;30,3;29;29;29;30;31;31;31;32;32;33;200;205,3;201;202,9;204;205;207;208;208;209;210;211;0,95823200233306;0,967664514550317;0,964537086062535;0,961433519686985;0,957510378885104;0,953304339269562;0,952112629785058;0,950652421805008;0,948973265213425;0,946368448027035;0,943977953997861
"59";"2021-11-26";"60+";45;47,5;45;46;46;47;49;49;49;50;51;51;312;323,5;317;319;321;324;326;327;328;329;331;333;0,94747491579732;0,96000855665936;0,95574126735891;0,951599355741149;0,946526520503229;0,940736900553016;0,939157926132867;0,9373888425904;0,935049839581339;0,931115160200948;0,927920839023609
"60";"2021-11-26";"alle";74;77,8;75;75;76;78;79;79;80;81;82;82;512;528,8;521;523;526;529;533;534;535;536;539;541;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"61";"2021-11-25";"0-60";42;43,4;42;42;43;43;44;44;45;45;46;46;207;211,5;208;209;210;211;213;214;214;215;216;217;0,968663137075106;0,976278587271578;0,973752411903773;0,971203700043829;0,968255180159522;0,964803706106333;0,963864538808091;0,962784731903521;0,961274408676324;0,959054580910075;0,956824071752629
"62";"2021-11-25";"60+";54;56,3;54;54;55;56;57;58;58;58;59;60;321;331,1;325;327;329;331;334;335;336;337;338;340;0,95900148192147;0,969375499822614;0,965894254269658;0,962498335899061;0,958352601082588;0,953662389780297;0,95228183208291;0,950862031201457;0,948648168394231;0,945472870443629;0,942566554776604
"63";"2021-11-25";"alle";96;99,7;96;97;98;100;101;101;102;102;103;104;528;542,6;535;537;540;543;546;547;548;550;552;554;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
