"";"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"1";"2021-12-20";"00-04";1;5,1;2;3;4;5;6;7;7;8;9;10;87;149;134;139;144;150;155;157;159;161;164;167;0,195795522351138;0,220686608059975;0,211422125516509;0,203468952128601;0,194984077854775;0,186201417613643;0,183954274156029;0,181501070490535;0,178398836515215;0,174219416425471;0,169998921019472
"2";"2021-12-20";"05-14";5;22,1;14;17;19;22;25;26;27;28;30;31;92;177,5;159;165;171;178;185;186;188;191;195;198;0,22596054810022;0,252816533366419;0,243128334818842;0,234387154466214;0,22509788827698;0,215915177379361;0,213631156178886;0,211174268583134;0,207999843224106;0,203157824255432;0,199108651360063
"3";"2021-12-20";"15-34";6;35,8;25;29;32;36;40;41;42;43;46;48;364;765,8;720;736;750;767;783;788;792;798;808;816;0,167766383753471;0,184036322469692;0,178198715901015;0,173145782698358;0,167617078125904;0,162233457308526;0,160907772478651;0,159416653883326;0,157432272586363;0,15452819809695;0,152390034576367
"4";"2021-12-20";"35-59";14;109,8;89;96;102;110;117;119;121;124;128;132;788;2057,9;1956;1991;2022;2058;2095;2104;2115;2129;2150;2170;0,12754640056028;0,140310186091256;0,135783978810771;0,131871327414881;0,127522687351553;0,123234349285163;0,122206511555555;0,121039255141694;0,119497641799942;0,117219359423766;0,115254925221151
"5";"2021-12-20";"60-79";22;151,8;127;135;143;152;161;163;166;169;174;179;1377;3009,7;2896;2934;2969;3011;3051;3062;3074;3090;3112;3133;0,144925480206147;0,158038180284808;0,153347376156372;0,149318904803771;0,144946648319745;0,1405753063865;0,139529947972446;0,138327824909331;0,136674426774242;0,134465129916298;0,132362050203345
"6";"2021-12-20";"80+";23;146,9;123;131;138,8;147;156;158;161;164;170;174;1221;2405,2;2315;2347;2375;2406,5;2439;2447;2456;2468;2487;2502;0,156586283239616;0,169822765227528;0,165216664975924;0,161160876044544;0,156599163649968;0,152074606892346;0,150957078350098;0,149662468507714;0,148054826109885;0,145550427245049;0,143563441394519
"7";"2021-12-20";"alle";71;471,4;420;437;453;472;491;496;502;509;520;530;3929;8565,1;8302;8391;8473;8568;8668;8691;8721;8756;8812;8862;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";"2021-12-19";"00-04";5;19;12;14;16;19;22;22;23;24;26;27;101;164,2;149;155;159;165;171;172;174;176;179;182;0,263455604942828;0,285888702295245;0,277589310900238;0,270195737039868;0,261790740118223;0,253553472667942;0,251564250383407;0,249200415116803;0,246067319129055;0,241786324794438;0,237768220471724
"9";"2021-12-19";"05-14";7;24,8;17;19;22;25;28;29;29;31;32;34;91;160,9;145;150;155;161;167;169;171;173;176;179;0,281729004955449;0,304846626318165;0,296275806657202;0,288723047208947;0,280559307408692;0,272260085193452;0,270202654849755;0,267782269419836;0,264785083405756;0,260352421242338;0,25655522316095
"10";"2021-12-19";"15-34";20;99,8;82;88;93;100;106;108;110;113;116;120;384;766,7;723;738;751;767;783;788;792;798;807;815;0,200414354558465;0,215848377185901;0,210563909937221;0,20569891682015;0,200235211521073;0,194879204140228;0,193633413945718;0,192121652305982;0,190303379493436;0,187533418436868;0,185089974869411
