"";"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"1";"2021-12-21";"0-60";6;61,1;38;45;53;62;72;75;79;84;91;98;71;388,9;299;329;358;396;438;450;464;484;514;543;0,0982311103965144;0,142281128648616;0,125851037022435;0,111865999410574;0,0976177794083974;0,0846543729201076;0,0818508247622115;0,0784057772713346;0,074108663579935;0,0681897766415353;0,0635292479900779
"2";"2021-12-21";"60+";11;128,7;85;98;112;129;150;155;162;170;185;198;173;815,1;653;706;760;827;905;926,2;951;984;1038;1089;0,0854704504515637;0,122416607177426;0,10903217272918;0,0972343071599414;0,085204042174627;0,0743557819679059;0,0718077311378889;0,0687348760245338;0,0654483623571123;0,0601223509086373;0,0562771792422469
"3";"2021-12-21";"alle";17;189,8;129;147;166;191;219;228;237;250;270;288;244;1204,1;971;1046;1126;1226;1337;1369;1405;1454,1;1528;1595;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"2021-12-20";"0-60";0;0;0;0;0;0;0;0;0;0;0;0;78;347,4;270;295;321;353;390;399,2;412;429;455;484;0,054583172752503;0,0921678198303658;0,0779820130023787;0,0657644102797963;0,0538194657182562;0,0439487641424297;0,0416530031923083;0,0391952540505728;0,0362091811707879;0,0320767301340223;0,0287106288544755
"5";"2021-12-20";"60+";7;122,7;71;86;101;124;151;159;169;183;205;228;203;745,3;611;654;699;755;822;839;859;889;932;980;0,0570264798647013;0,0932381111479266;0,0799927561511787;0,0680261973841335;0,0565280664566934;0,046772007332371;0,0444059139934111;0,0420159782883617;0,0388002341367895;0,0345521910545709;0,0311701467789086
"6";"2021-12-20";"alle";7;122,7;71;86;101;124;151;159;169;183;205;228;281;1092,6;900;962;1027;1109;1205;1231,2;1264;1302;1369;1433;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"2021-12-19";"0-60";9;123,4;76;91;105;125;148;155;163;174;192;210;87;364,7;286;312;337;370;408;418;430,1;448;474;503;0,0729359234325231;0,110940242483387;0,0961742214353103;0,0846148879308056;0,0722703325142447;0,0614303718555022;0,0588341680889607;0,055893192307802;0,052421945291585;0,0475223066675861;0,0431724774682886
"8";"2021-12-19";"60+";13;153,7;100;116;133;155;180;188;197;208;230;250;214;655,4;550;586;619;661;710;724;739;760;792;825;0,0845923543977526;0,123925481541931;0,109423092535844;0,0970690542215787;0,0842689942343683;0,0724775197706225;0,069858220773159;0,0668392979165673;0,0629756988461836;0,0576838053645253;0,0532771548304037
"9";"2021-12-19";"alle";22;277,1;184;211;241;280;327;339;355;378;414;452;301;1020;852;907,9;962;1033;1114;1135;1159;1195;1249;1303;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"2021-12-18";"0-60";10;72,4;49;56;64;73;84;87;91;96;103;111;88;260,9;215;231;246;264;285;289,2;296;305;318;330;0,138171186989078;0,188256557053346;0,168910434334905;0,153342912373812;0,136658647518106;0,120641661930051;0,116993365018625;0,112509646300333;0,107062051950384;0,0996882178692383;0,0934733412008346
"11";"2021-12-18";"60+";13;80,3;56;64;72;81;92;95;98;103;111;118;234;564,2;493;517;540;569;600;608;617;631;650;669;0,161825559046337;0,213056486564983;0,194261872949304;0,177680945242262;0,16069645245449;0,144244609407225;0,140362033525744;0,135539277976481;0,129779776213323;0,12180381174486;0,114212847974459
"12";"2021-12-18";"alle";23;152,7;111;124;137;154;174;179;186;196;209;222;322;825,1;722;757;791;833;879;892;907;927;954;984;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"13";"2021-12-17";"0-60";16;65,5;47;53;59;66;74;76;78;82;87;92;91;211,4;180;191;201;213;227;230;235;240;248;255;0,244245536819075;0,30465875615745;0,282677546877932;0,262735696183335;0,241586628917783;0,221120517248433;0,21648795444008;0,210602062449956;0,203194362878775;0,192410642759239;0,183389208372267
"14";"2021-12-17";"60+";42;150,8;119;129;139;152;166;170;175;181;191;200;251;535,6;476;497;516;539;565;571;579;589;606;621;0,278602474321516;0,337580977790215;0,317244555100857;0,298256767698186;0,276743915512991;0,255515100895657;0,250667813095199;0,244471635086611;0,236664031117928;0,225523737236019;0,216012650287023
"15";"2021-12-17";"alle";58;216,3;173;186;200;218;238;243;250;258;271;284;342;746,9;670;695;721;753;787;797;807;821;843;863;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"16";"2021-12-16";"0-60";10;25,2;17;20;22;25;28;29;30;32;34;35;95;176,5;155;162;170;178;187;189;192;196;201;206;0,396188639041027;0,461484405914392;0,437860991850117;0,41662541329162;0,39316455481836;0,37036200522745;0,364909042714952;0,358254663159031;0,350049847620806;0,33728017581456;0,327414156866649
"17";"2021-12-16";"60+";39;88,5;72;77;82;89;96;98;100;102;106;110;257;458,2;416;431;445;461;478;482;488;495;505;514;0,440465781616728;0,501437396821616;0,479500792438867;0,460443302428908;0,43814870231809;0,41694688512148;0,411432937247581;0,405010603963878;0,396911297641427;0,384828904798322;0,374194056773686
"18";"2021-12-16";"alle";49;113,8;94;100;107;114;123;125;127;131;136;140;352;634,7;581;600;619;639;661;667;674;682;695;707;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"19";"2021-12-15";"0-60";20;41,3;32;35;38;42;45;46;47;49;51;54;115;191,6;171;178;185;193;202;204;206;209,1;215;219;0,48381542259075;0,544735987079334;0,523182643438261;0,503640140826396;0,4813061546012;0,458916393156397;0,454030714131189;0,448191739928179;0,440004638636572;0,428125051820954;0,41743774594817
"20";"2021-12-15";"60+";48;90,4;76;81;85;91;96;98;99;102;105;108;278;449,5;413;426;438;452;467;471;475;481;490;497;0,531140087689211;0,585463234259351;0,566145474188175;0,549236321309036;0,529881839699445;0,509888862738241;0,504854521636471;0,499426258422292;0,491953861103439;0,480014923146847;0,47046339981604
"21";"2021-12-15";"alle";68;131,7;112;119;125;132;140;142;144;147;152;156;393;641,1;594;612;627;645;665;670;676;683;694;704;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"22";"2021-12-14";"0-60";13;19,5;15;16;18;20;21;22;22;23;24;25;127;190,9;173;179;185;192;200;202;204;207;211;215;0,666241000740162;0,715981235870831;0,698458711647032;0,682742421863742;0,664517354307871;0,644875863493577;0,639837136590683;0,633732280017038;0,626356632564707;0,615366739596324;0,605098093538474
