"";"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"1";"2021-12-30";"0-60";5;15,4;9;11;13;15;18;19;20;21;23;24;60;109,7;93;98;104;110;117;119;121;124;129;132;0,323927072113279;0,404239114163337;0,37732721532427;0,351568303388119;0,323002054648047;0,295048435087943;0,288367967395813;0,280293111799383;0,270304707286712;0,255634548452145;0,244651967148147
"2";"2021-12-30";"60+";12;37,3;26;29;33;37;42;44;45;48;51;53;88;149,5;130;137;143;150;158;160;163;166;172;176;0,321729427714559;0,401260108041531;0,373352220428364;0,348419950490181;0,321017125150197;0,293903436908393;0,287719766708037;0,279764791845435;0,269474531593616;0,255787684626058;0,245277074447124
"3";"2021-12-30";"alle";17;52,7;38;43;47;53;59;61;63;66;70;74;148;259,3;229;239;248;260;273;277;281;286;294;302;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"2021-12-29";"0-60";18;39,5;29;33;36;40;44;45;46;48;50;53;70;113,1;98;103;108;113;120;121;123;126;130;133;0,455499621256624;0,532463298732561;0,505883319977383;0,48199234040009;0,455142180109143;0,426862207307669;0,419981625691064;0,411596500951404;0,40097371728302;0,386348646653973;0,37245001736387
"5";"2021-12-29";"60+";12;25;18;20;22;25;28;29;30;31;33;34;94;134,4;121;125;129;135;140;142;143;146;149;152;0,479462058800307;0,553841040955274;0,528266986790798;0,505271751906817;0,479136577980738;0,452814130554516;0,445377499351225;0,436900768037016;0,42763249262163;0,412269971083021;0,398630103411815
"6";"2021-12-29";"alle";30;64,5;51;55;59;65;70;72;74;76;80;83;164;247,4;224;232;239;248;258;261;264;267;274;279;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"2021-12-28";"0-60";16;24,2;19;20;22;24;26;27;28;29;30;31;80;107;96;100;103;107;112;113;114;116;118;121;0,661542825804038;0,724626562135896;0,703113105198779;0,683563908948907;0,660580782221124;0,636326552262624;0,630346120253612;0,622581809186194;0,613694706706632;0,599049925393259;0,585783732906487
"8";"2021-12-28";"60+";15;21,7;17;18;20;22;23;24;25;25;27;28;110;142,4;131;134;138;142;147;148;150;152;155;157;0,691836287185054;0,750626917653582;0,730265571991418;0,712141950329128;0,691089794192184;0,669078526776285;0,663292697808569;0,656194562941526;0,647573426640459;0,633631893541875;0,621791587669086
"9";"2021-12-28";"alle";31;45,9;38;41;43;46;49;50;51;52;54;56;190;249,3;232;238;243;250;257;259;261;264;268;272;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"2021-12-27";"0-60";1;1,5;1;1;1;1;2;2;2;2;3;3;75;94,9;86;89;92;95;99;100;101;102;104;106;0,672084882012025;0,744165984059337;0,721201725530316;0,697572172484679;0,671064701264056;0,642166038086346;0,635127014094175;0,62585151984419;0,61467408957914;0,596443505988492;0,580163462418264
