"";"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"1";"2021-12-31";"0-60";2;9,1;4;6;7;9;11;12;13;14;15;16;40;84,3;68;73;78;85;92;93;95;98;103;107;0,219173940923079;0,296990017331905;0,2694699298779;0,24451412314058;0,21826472553272;0,194135380716052;0,188485066574375;0,180978917267287;0,172569529945611;0,16057728060842;0,151425949716034
"2";"2021-12-31";"60+";6;27,2;17;20;23;27;32;33;35;37;40;43;52;119,7;97;104;111;120;130;133;136;140;146;152;0,220622677296463;0,297424366603516;0,269046385592079;0,245383458199842;0,220161017303038;0,195910563712088;0,189980855423962;0,182997552913112;0,174554948423584;0,163254701721774;0,153538570520596
"3";"2021-12-31";"alle";8;36,3;23;27;31;36;42;44;46;48;52;56;92;203,9;170;181;192;205;220;224;229;234;244;251;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"2021-12-30";"0-60";8;22,7;15;17;20;23;26;27;28;30;32;34;48;89,8;74;80;84;90;96;98;100;103;106;110;0,353153953414831;0,440061976337257;0,409456156390938;0,382147877954142;0,352455716039303;0,322452479631455;0,315752027760149;0,307546625028028;0,296779151616622;0,282500693358964;0,270019007568283
"5";"2021-12-30";"60+";12;33;23;26;29;33;37;38;40;42;44;47;64;118,9;100;106;112;119;127;129;131;134;139;143;0,363182888945351;0,449000069612509;0,41984877821349;0,391663971525703;0,362256449886169;0,333498320514042;0,326398743639781;0,317715470237167;0,307631255170125;0,292791184745078;0,28131044479941
"6";"2021-12-30";"alle";20;55,7;41;45;50;56;62;64;66;69;73;77;112;208,7;181;190;199;210;221;225;228;233;240;247;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"2021-12-29";"0-60";12;23,5;17;19;21;23;26;27;28;29;31;32;51;82,2;70;74;78;82;87;88;90;92;95;98;0,511061204376583;0,58541413692974;0,55907647014766;0,536427811057256;0,510922642815945;0,48295500136241;0,475933885965449;0,467903301746193;0,457926735314442;0,444665489026323;0,432366653514715
"8";"2021-12-29";"60+";15;28,6;21;24;26;29;32;32;33;35;36;38;70;110,7;97;101;106;111;117;118;120;122;126;129;0,523908568788324;0,59559857122395;0,570941222890935;0,548672551906937;0,523759064317125;0,497084988403579;0,490628328103594;0,482996701625783;0,472823198642224;0,458418908933358;0,444612340618415
"9";"2021-12-29";"alle";27;52,1;41;45;48;52;57;58;59;61;64;66;121;192,9;172;179;186;193;202;204;207;210;216;220;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"2021-12-28";"0-60";11;17,5;13;14;16;17;19;20;21;21;23;24;50;72,7;63;66;69;73;77;78;79;80;83;85;0,627490645687653;0,689596893568798;0,669282449675467;0,649977014043979;0,626777679275991;0,603036495414298;0,59680552362374;0,589550200508022;0,579940954050004;0,565705743277638;0,55359843533137
"11";"2021-12-28";"60+";11;17,3;13;14;15;17;19;19;20;21;22;23;80;114;102;106;110;114;119;120;122;124;127;129;0,637405222215436;0,697699934455472;0,677511675121891;0,659034865307719;0,63692401465653;0,613834161536249;0,60741239871911;0,600930814515188;0,591688350792918;0,577373059955073;0,565226302462227
"12";"2021-12-28";"alle";22;34,8;28;30;32;35;38;38;39;40;42;44;130;186,7;169;175;181;187;194;196;198;201;205;209;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"13";"2021-12-27";"0-60";0;0;0;0;0;0;0;0;0;0;0;0;60;80,6;72;75;77;81;84;85;86;88;90;92;0,565199656469997;0,65679210560006;0,626456210739829;0,597687354950108;0,564392888554439;0,529036705419165;0,520266086754587;0,509878526537947;0,496587553478028;0,47788765427662;0,459512818273146
"14";"2021-12-27";"60+";3;5,2;3;3;4;5;6;7;7;7;8;9;90;122,3;111;114;118;122;127;128;130;132;135;137;0,571726283038668;0,660224822593658;0,631329700510899;0,603443672658873;0,570833283251957;0,536859194441531;0,527950070516769;0,517157351473815;0,504712986401732;0,484843669420583;0,468296277547134
"15";"2021-12-27";"alle";3;5,2;3;3;4;5;6;7;7;7;8;9;150;202,9;187;192;197;203;210;211;213;216;220;223;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"16";"2021-12-26";"0-60";2;3,6;2;2;3;3;4;5;5;5;6;7;62;83,2;74;77;80;83;87;88;89;90;93;95;0,559159440977101;0,634332681594491;0,609851495230164;0,58609479996506;0,557793598586235;0,529251328298788;0,521752765336161;0,512970017815377;0,502051702174742;0,485361126203221;0,470678694792385
"17";"2021-12-26";"60+";2;3,6;2;2;3;3;4;5;5;5;6;7;94;126,2;115;118;122;126;131;132;134;136;138;141;0,561868216630635;0,636006540675854;0,611687657144477;0,587916246859166;0,560156855877466;0,53267779988929;0,52522207360662;0,51620899211105;0,50588937319155;0,490635187202656;0,475620487964874
"18";"2021-12-26";"alle";4;7,1;4;5;6;7;8;9;9;10;11;11;156;209,4;193;199;204;210;216;218;220;223;227;230;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
