"";"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"1";"2022-01-01";"0-60";2;9,3;4;6;7;9;11;12;12;13;14;16;46;92,2;77;82;87;92;98;100;101;104;107;110;0,216101641270066;0,269410765117122;0,250752300800403;0,234173432934457;0,215585814849867;0,19823434036391;0,194199133024812;0,189623171288786;0,183918858902255;0,174704533377862;0,167916741603062
"2";"2022-01-01";"60+";6;28,5;19;22;25;28;33;34;35;37;39;42;161;285,9;258;267;276;286;298;300;304;308;315;321;0,210554764710855;0,261029121404005;0,243466394616502;0,227414282725455;0,210256444256984;0,194119645856961;0,190071185634929;0,185598928131644;0,180115065218271;0,171538747518856;0,16442764924351
"3";"2022-01-01";"alle";8;37,8;25;29;33;38;43;44;46;48;51;53;207;378,2;342;354;365;379;393;397;401;407;415;423;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"2021-12-31";"0-60";7;20,9;14;16;18;21;24;25;25;27;28;30;52;94,6;81;85;89;95;100;101;103;105;108;111;0,33492575403138;0,391568117175289;0,372521129068124;0,35428418657517;0,33437129426167;0,315506769216263;0,31081992522901;0,305382805044788;0,297966431401379;0,286995470169847;0,278336213513931
"5";"2021-12-31";"60+";10;27,6;19;22;24;27;31;32;33;34;36;38;179;290,1;264;273;281;290;300;303;306;310;315;321;0,362157001346538;0,418081517205086;0,39852594067424;0,380955278879733;0,362254761376157;0,343227680014768;0,338143158434824;0,332325142471591;0,325912308476515;0,315886100360682;0,307266036512653
"6";"2021-12-31";"alle";17;48,5;36;40;44;48;53;55;56;58;61;63;231;384,7;353;363;373;385;398;401;405;410;417;424;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"2021-12-30";"0-60";5;11,9;7;9;10;12;14;14;15;16;17;18;67;102,8;91;95;98;103;107;109;110;112;115;117;0,419792666794513;0,473288884914318;0,455083331139444;0,438607699542232;0,41950840202891;0,40080734403622;0,39591201587661;0,390354486780131;0,383643176471242;0,372790814236985;0,364226695590044
"8";"2021-12-30";"60+";29;61,6;50;54;57;62;66;67;69;71;73;76;202;304,5;280;288;296;305;314;316;319;322;327;332;0,470431667862584;0,520455567956361;0,503245072732608;0,488264554667834;0,470371967051941;0,452712793433455;0,44818599591555;0,442582857434181;0,435942238590581;0,426655188645259;0,418115902022629
"9";"2021-12-30";"alle";34;73,6;60;65;69;74;79;80;82;84;87;90;269;407,2;378;388;397;408;419;422;425;429;435;441;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"2021-12-29";"0-60";13;22,8;17;19;21;23;25;26;26;27;29;30;79;112,4;101;105;108;112;117;118;119;121;124;126;0,569471682550133;0,616328014680776;0,599928785717461;0,585839878742686;0,569786886405004;0,552315792239955;0,548018685173159;0,542603785058634;0,536364153826774;0,527577045542337;0,518576914153316
