"";"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"1";"2022-01-21";"0-60";32;149,2;120;129;138;149;160;163,2;167;172;178;184;250;598,2;539;558;576;598;621;627;634;642;655;667;0,214513683541247;0,249813754407982;0,237705741715441;0,226903618878339;0,214441415111405;0,202927354845787;0,200152088281431;0,196675553966038;0,192446942662562;0,186365674942564;0,18113060812806
"2";"2022-01-21";"60+";19;76,4;59;65;70;77;83;85;87;89;93;97;189;365;331;342;353;365;378;381;385;390;398;404;0,248571736064478;0,286372642069332;0,273474937594357;0,26163216444449;0,248762494263371;0,236046334524448;0,232937878581468;0,229249791512498;0,224677783969854;0,218419635062956;0,212490147959366
"3";"2022-01-21";"alle";51;225,6;187;199;211;226;241;245;250;256;265;273;439;963,2;883;908;933;963;995;1003;1012;1023,1;1042;1059;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"2022-01-20";"0-60";46;141;117;125;132;141;149;152;154;158;163;167;258;504,2;462;476;489;504;520;524;528;534;544;553;0,326131843767804;0,364723343771932;0,351175074675473;0,339538274546958;0,326272677457239;0,313453776505586;0,310211240253635;0,306703639127247;0,301881820862673;0,294871058775978;0,288773135872928
"5";"2022-01-20";"60+";22;57;45;49;53;57;62;63;64;66;69;71;199;326,6;301;309;317;327;336;339;342;345;350;355;0,385762138400948;0,426135448776065;0,411902472472897;0,399401597694461;0,385869036207355;0,372669195003919;0,369299286704222;0,365478568495282;0,360347452155857;0,353133923397557;0,346741607698799
"6";"2022-01-20";"alle";68;198,1;168;179;187;198;209;212;215;219;225;231;457;830,8;773;793;810;831;852;858;864;872;885;896;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"2022-01-19";"0-60";59;128,8;110;116;122;129;135;137;139;142;146;149;267;434,6;404;414;424;435;446;449;452;457;463;470;0,458020676319723;0,495243000573088;0,48229901271407;0,471020483852974;0,4583549994674;0,444892132240568;0,441813969721953;0,437957548256979;0,433123598653263;0,426050947320811;0,420070784222769
"8";"2022-01-19";"60+";37;69,9;58;62;66;70;74;75;76;78;81;83;224;328,5;307;314;321;329;337;339;341;344;349;353;0,529311531839265;0,565137097016929;0,552754163284057;0,541853639327471;0,529713880953215;0,516980840534961;0,513737029958121;0,510179882584042;0,505603266013172;0,498342175358632;0,49204032182823
"9";"2022-01-19";"alle";96;198,7;175;183;190;199;208;210;212;216;221;225;491;763,1;721;735;748;763;779;783;788;794;803;811;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"2022-01-18";"0-60";38;61,9;52;55;58;62;65;66;67;69;71;73;244;349,7;327;335;342;350;358;360;363;365;370;374;0,613901560715337;0,646657206806133;0,635554953183336;0,625330136659462;0,613950944492959;0,602262307564573;0,599367803189159;0,595752392640681;0,591278862347786;0,58468341632944;0,578530209448143
