"";"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"1";"2022-01-28";"0-60";0;0;0;0;0;0;0;0;0;0;0;0;66;119,5;103;108;114;120;127;129;131;134;138;142;0,0451523432761995;0,0699025285276561;0,0602732350955611;0,0525899255192031;0,045000150807273;0,0381744088942263;0,0366344907954475;0,0347146905081296;0,032684738516777;0,0299798201444728;0,0275998851438687
"2";"2022-01-28";"60+";0;0;0;0;0;0;0;0;0;0;0;0;61;113,4;96;102;107;114;121;123;125;128;132;136;0,0577013880902293;0,0864255372706815;0,0754372061550015;0,0664990107347212;0,0574534893948228;0,0493983149353675;0,047607999833914;0,0455221148956247;0,0428724952982798;0,0392727368204446;0,0365037797965058
"3";"2022-01-28";"alle";0;0;0;0;0;0;0;0;0;0;0;0;127;232,9;205;214;223;234;246;249;253;257;264;270;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"2022-01-27";"0-60";4;15,9;9;11;13;16;19;19;20;22;23;25;86;146,4;128;134;140;147;155;157;159;162;167;171;0,252118136902922;0,31967898614495;0,295801330692019;0,274585302253844;0,251454001120616;0,229327390475488;0,224386306052851;0,21839930087118;0,210493068157362;0,19909673031936;0,189477026189071
"5";"2022-01-27";"60+";8;28,3;19;22;24;28;32;33;35;36;39;42;78;135,9;118;124;130;136;144;146;148;151;155;159;0,283052457630522;0,354070034870231;0,328060531475955;0,306084365613874;0,282519760089485;0,259895285804124;0,254281128301944;0,247622358384819;0,239494108878774;0,227882850408964;0,217801304546157
"6";"2022-01-27";"alle";12;44,1;31;35;39;44;50;51;53;56;59;62;164;282,3;253;262;272;284;296;299;303;308;315;322;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"2022-01-26";"0-60";16;32;24;26;29;32;35;36;37;39;41;43;99;151,1;135;140;145;152;158;160;162;165;169;172;0,499958930488739;0,57178180519329;0,547890135478846;0,524936051703867;0,498870553722622;0,472575631266701;0,465831649958079;0,458211216557157;0,448956935353952;0,43439814921298;0,421819229051417
"8";"2022-01-26";"60+";10;19;13;15;17;19;21;22;23;24;25;26;83;123,1;109;114;118;123;129;130;132;134;137;140;0,527143316637891;0,598306331633242;0,573824496200851;0,551581960075518;0,526293077197524;0,500340685259707;0,49359946768009;0,486539913095639;0,476583414866007;0,462106995566084;0,449096447567966
"9";"2022-01-26";"alle";26;51;40;43;47;51;56;57;58;60;62;65;182;274,2;250;258;266;275;285;288;291;294;300;305;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"2022-01-25";"0-60";16;25,7;20;22;23;26;28;29;29;30;32;33;99;137,7;125;129;133;138;143;145;147;149;152;155;0,622458899827858;0,682235019828173;0,661899673677123;0,643093888323262;0,621483010064392;0,597969478288267;0,592399989602873;0,58559330230942;0,577440110869792;0,564412269301516;0,553583533385468
"11";"2022-01-25";"60+";15;23,4;18;20;21;23;25;26;27;28;29;30;84;116,7;105;109;113;117;122;123;124;126;129;131;0,641280944192651;0,698907208933996;0,678574617711098;0,660707105552391;0,640492468894167;0,618859537288175;0,613626044667149;0,607427205097431;0,599038119796355;0,586441001983085;0,574886098062946
"12";"2022-01-25";"alle";31;49,1;41;43;46;49;52;53;55;56;58;60;183;254,4;235;242;248;255;263;265;267;271;275;279;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"13";"2022-01-24";"0-60";6;9,9;7;7;8;10;11;12;12;13;14;15;92;122,3;111;115;118;123;127;128;130;132;135;137;0,607427461145626;0,678555349253451;0,653806906067665;0,630739834381576;0,604878204638354;0,578133165392845;0,570569612820656;0,562388426718859;0,552048294553638;0,536780820913722;0,523163051789732
"14";"2022-01-24";"60+";13;20,8;16;17;19;21;23;24;24;25;26;28;94;121,8;111;115;118;122;126;127;129;130;133;135;0,623695449232813;0,691620111444902;0,668486258618046;0,646764406478614;0,621465516261192;0,595499845676423;0,588641367390497;0,580931336377123;0,570590903435041;0,555356650855157;0,540814937147771
