"";"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"1";"2022-02-20";"0-60";23;109,2;86;94;101;109;118;120;123;126;132;136;536;984,5;922;943,9;962;985;1009;1014;1021;1030;1043;1054;0,210582598533251;0,244968732612232;0,23321635569034;0,222304114232838;0,21078640862696;0,199212856026103;0,196411273445111;0,193191256935434;0,189383007714624;0,183432136476053;0,178401496672242
"2";"2022-02-20";"60+";13;81,2;61;68;74;81;89;91;93;96;101;105;665;1318,6;1236;1264;1289;1319;1351;1359;1369;1382;1400;1416;0,160172826223242;0,190240373593132;0,179438258351076;0,170318057121131;0,16025955341075;0,150619902755238;0,148383773825321;0,145519547994285;0,142000624577447;0,137230308380203;0,132689058622878
"3";"2022-02-20";"alle";36;190,4;154;166;177;190;204;208;212,1;218;226;233;1201;2303,1;2177;2219;2259;2305;2352;2365;2380;2398;2428;2454;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";"2022-02-19";"0-60";48;154;129;138;145;154;163,2;166;169;172;177;182;567;950,2;898;915;931;951;971;976;982;989;1000;1009;0,311777935684492;0,347639754686691;0,335300480039597;0,323740923945441;0,311392342386369;0,299464030800867;0,296667622510926;0,293418590235646;0,289089146742319;0,282990773416368;0,277853048538591
"5";"2022-02-19";"60+";65;253,2;215;228;239;254;268;272;276;282;291;298;750;1379,1;1303;1326;1352;1380;1410;1417;1426;1438;1456;1471;0,256748225264229;0,289901490982282;0,278398491065811;0,267820260165653;0,256530374494318;0,245481901933332;0,243068668401685;0,239901963137598;0,236069491482716;0,230460534684875;0,226285768627729
"6";"2022-02-19";"alle";113;407,1;354;371;387;408;428;433;440;447;459;470;1317;2329,2;2218;2254;2290;2331;2373;2384;2398;2414;2439;2464;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";"2022-02-18";"0-60";87;168,2;148;155;161;168;175;177;179;182;186;190;634;951,8;907;922;936;952;968;972;977;984;992;1001;0,517380549005364;0,54893500608466;0,53802241983387;0,528472890127413;0,517141250707774;0,505660842975836;0,502918887359091;0,499538032756367;0,495077561579813;0,488952168314498;0,48376077869306
"8";"2022-02-18";"60+";115;247,4;221;230;238;247;257;260;263;267;273;278;824;1320,6;1260;1281;1300;1321;1344;1350;1357;1366;1379;1390;0,464784127063452;0,496615548183897;0,486002772991379;0,475973251893243;0,464447531546203;0,453520556976926;0,450536685404037;0,446886230080492;0,442787428999734;0,436262431136783;0,431051659728642
"9";"2022-02-18";"alle";202;415,6;379;391;402;415;429;433;437,1;443;451;458;1458;2272,4;2187;2215;2242;2274;2306;2314;2324;2337;2356;2371;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"2022-02-17";"0-60";97;166,6;149;155;160;167;173;175;176;179;183;186;688;956,1;917;930;943;956;971;974;978;984;992;999;0,582080071898174;0,611219679429924;0,601147661543399;0,591833851362698;0,581866627841204;0,571538203583549;0,568929525931003;0,566151779951837;0,562150049710177;0,556294545282063;0,551302759500822
"11";"2022-02-17";"60+";130;243,2;220;228;235;243;252;254;257;260;266;270;864;1266,8;1216;1233;1249;1267;1287;1291;1297;1305;1316;1326;0,534620328439645;0,564462581312921;0,554136999085904;0,544959751919174;0,534524469145147;0,523576463506123;0,520761647465713;0,517817899059099;0,514172536454787;0,508581435673324;0,50331658145682
"12";"2022-02-17";"alle";227;409,8;377;388;398;410;422;425;428;433;440;446;1552;2222,9;2150;2174;2198;2224;2251;2258;2266;2277;2292;2305;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"13";"2022-02-16";"0-60";118;174,1;159;164;168;174;180;181;183;185;188;191;742;972,2;938;950;960;972;985;988;992;997;1005;1010;0,677950068513535;0,702138743048116;0,694160283795074;0,68652017436496;0,677904111116147;0,668770615928978;0,666551955649072;0,663917237959822;0,660811694711851;0,655653964659089;0,651272584086675
"14";"2022-02-16";"60+";133;208,4;190;196;202;208;215;216,2;218;221;225;228;915;1246,9;1202;1218;1232;1248;1264;1268;1273;1279;1288;1297;0,638328375147177;0,664417485922775;0,655831216866329;0,647381773012411;0,638479223874633;0,628696424357417;0,626318958012431;0,623632065678999;0,620261119654846;0,615052942824139;0,61090149358277
"15";"2022-02-16";"alle";251;382,4;356;365;373;382;392;394;397;400;406;410;1657;2219;2156;2178;2198;2220;2244;2250;2256;2265;2278;2290;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"16";"2022-02-15";"0-60";128;163,7;152;156;159;163;168;169;170;172;175;177;806;1010,1;978;989;999;1011;1022;1025;1028;1033;1040;1046;0,78189543104588;0,800252792746241;0,793988148684127;0,788362588769361;0,781570381041171;0,774820795535616;0,773150569993117;0,771072819021274;0,768601727541373;0,764730375386619;0,761271819522916
"17";"2022-02-15";"60+";146;193,6;180;184,9;189;194;199;200;202;204;206;209;986;1279,4;1238;1253;1266;1280;1296;1299;1304;1310;1318;1325;0,754145097163184;0,774137134755964;0,767381875830298;0,761017545422315;0,753885049212551;0,746661129326696;0,744839657780403;0,742662011997985;0,739933704321741;0,735899275542574;0,73259528211165
"18";"2022-02-15";"alle";274;357,3;338;345;351;357;364;366;368;371;375;378;1792;2289,5;2234;2252;2270;2291;2313;2318;2324;2332;2343;2354;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"19";"2022-02-14";"0-60";35;48,7;42;44;46;49;51;52;53;54;55;57;829;1014,2;984;994;1004;1015;1026;1029;1032;1036;1043;1049;0,718063903249532;0,743556006416486;0,735065039757731;0,726957547641863;0,717614307649233;0,70815031151591;0,705758522215028;0,70293529835933;0,699187686176265;0,69349777182614;0,688614240249149
"20";"2022-02-14";"60+";63;91,7;81;85;88;92;96;97;98;100;102;104;1022;1289,6;1251;1264;1276;1290;1305;1308;1313;1318;1326;1333;0,686890431623875;0,714323745831209;0,704957677209157;0,696421207119869;0,686541618680222;0,676486117980959;0,673805635724823;0,670843592655966;0,667068353359891;0,661015275555194;0,655937281892768
"21";"2022-02-14";"alle";98;140,5;127;132;136;141;146;147;148;150;153;155;1851;2303,8;2250;2268;2286;2305;2325;2330;2336;2343;2355;2365;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"22";"2022-02-13";"0-60";54;74,9;66;69;72;75;78;79;80;81;83;85;850;1030,8;1001;1011;1021;1031;1042;1045;1048;1052;1059;1065;0,720922510389062;0,745794918558176;0,737022441615742;0,729439798606031;0,720519645444729;0,711435878007941;0,709033280269419;0,706522422214057;0,702964854492489;0,697915716736738;0,693239702265074
"23";"2022-02-13";"60+";98;141,6;128;133;137;142;146;148;149;151;154;157;1055;1310,5;1273;1286;1298;1311;1325;1328;1333;1338;1346;1353;0,691868854008874;0,718228150993081;0,709390558508311;0,70085647071266;0,691570722462887;0,681850449306552;0,679608914135045;0,676675891001777;0,672970505725178;0,667826664356348;0,663215501261094
"24";"2022-02-13";"alle";152;216,5;200;205;211;217;223;224,2;226;229;232;235;1905;2341,3;2289;2307;2324;2343;2362;2367;2373;2380;2391;2400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"25";"2022-02-12";"0-60";115;155,6;143;147;151;155;160;161;163;165;167;170;871;1043,9;1015;1025;1034;1044;1055;1058;1061;1065;1071;1077;0,739245714752991;0,761377249982067;0,753668006435334;0,746510703208029;0,738488528283314;0,73061630108594;0,728521547947391;0,726051909276766;0,723197683129781;0,718398955022206;0,714608202377134
"26";"2022-02-12";"60+";139;194,7;180;185;189;195;200;202;203;206;209;212;1080;1313,3;1278;1290;1302;1314;1327;1330;1334;1339;1347;1353;0,713948594062805;0,736679757541484;0,728901704386821;0,721594233474711;0,713525036434627;0,704730602194179;0,702747215792394;0,700436568284803;0,697433846445728;0,692710896242567;0,688507839286082
"27";"2022-02-12";"alle";254;350,3;329;336;343;350;358;360;362;365;369;373;1951;2357,2;2307;2325;2341;2359;2377;2382;2387;2394;2404;2413;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";"2022-02-11";"0-60";141;172,4;161;165;169;172;176;177;179;180;183;185;916;1074,5;1047;1056;1065;1075;1086;1088;1091;1095;1101;1106;0,817675079834372;0,833158253776639;0,827929629024587;0,822870634599167;0,817216235629316;0,81127093590293;0,809668118567116;0,807874682244099;0,805392273387102;0,801966777273393;0,798810740664851
"29";"2022-02-11";"60+";155;193,7;181;186;189;194;198;199;201;202;205;207;1108;1312,5;1281;1292;1302;1313,5;1325;1328;1332;1336;1343;1349;0,800357792756909;0,817077111363698;0,811251396204436;0,805869189058828;0,799936779304696;0,793746245231795;0,792142812358396;0,79022154815142;0,788005478497626;0,784144919813295;0,781061856931144
"30";"2022-02-11";"alle";296;366,1;349;355;360;366;372;374;376;378;382;385;2024;2387,1;2341;2357;2372;2389;2406;2410;2415;2422;2431;2440;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
