"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"2022-02-23";"0-60";30;232,7;188;202;216;232;251;256;261;268;279;289;311;816,1;648,721278484849;687,037073633285;730,918108108108;817;913,226216216216;855;864;967,389027189163;894;1018,23015121212;0,128900847975861;0,15284463812483;0,144702532545746;0,137050628673376;0,128876480353475;0,121054598725338;0,119194494279514;0,116923313963116;0,114207162786438;0,110229693861897;0,107015943469988
"2022-02-23";"60+";42;315;259;277;295;315;337;342;349;358;371;382;521;1276,2;1018,08691960784;1110,66330351591;1199,97180327869;1278;1364,55540983607;1327;1338;1470,31148337718;1377;1579,20231176471;0,13334189624935;0,156413324677463;0,148030658320865;0,141037060576702;0,13343829231351;0,125883333864134;0,124169395458891;0,122085619812032;0,119370356640398;0,11559837361781;0,112664731289006
"2022-02-23";"alle";72;547,7;458;486;515;548;584;593;604;619,1;641;660;832;2092,3;1758,64977083333;1835,80659908126;1948,69775;2095;2262,90882142857;2175;2195;2392,77735783304;2253;2498,45539583333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-02-22";"0-60";45;130,1;109;116;122;130;138;140;143;146;150;154;351;680,2;574,186144848485;601,398369811321;629,279459459459;681;742,436216216216;704;710;773,145512530237;726;802,929732727273;0,345926722075922;0,383244373753863;0,37008831902315;0,358419783795214;0,345892813408901;0,332939323910164;0,329931419956213;0,326206691119867;0,321712179663513;0,315681610553205;0,310685332870204
"2022-02-22";"60+";73;201,6;174;183;192;201;212;215;218;222;228;234;620;1156,6;979,083494117647;1044,27152738579;1105,49245901639;1158;1215,93672131148;1190;1198;1280,99885673284;1222;1359,11164607843;0,362157153033352;0,397519920145023;0,385687730709868;0,374191086839874;0,361997821879407;0,349814121306349;0,347073407249136;0,343534049757438;0,339308729062145;0,332959964170872;0,327477860976528
"2022-02-22";"alle";118;331,7;291;305;317;332;347;351;356;361;370;379;971;1836,8;1626,45070833333;1679,50954538254;1749,02864285714;1839;1943,78757142857;1887;1899;2018,9509520038;1934;2083,82341666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-02-21";"0-60";22;54,7;43;47;50;55;59;60;61;63;66;68;378;638,2;549,781805454545;574,55252946299;596,709189189189;639;687,863243243243;658;662;713,46565960329;677;738,935156969697;0,402178039232507;0,443972070484729;0,42983750514;0,416415404781207;0,402040061207809;0,387436870807717;0,38375076968171;0,379399820745947;0,374500230495568;0,365581598795538;0,358691656935493
"2022-02-21";"60+";34;80,3;66;71;75;80;86;87;89;91;94;97;666;1101,2;957,86052254902;1007,10027074862;1057,45540983607;1102;1150,57508196721;1129;1136;1206,6311102607;1157;1271,5750372549;0,423393922567185;0,463856384745842;0,44986850555438;0,437371240042038;0,423212705262268;0,409106831118776;0,405401686737411;0,401540433809734;0,396036509595619;0,38830996294165;0,380939445668099
"2022-02-21";"alle";56;135;114;121;127;135;143;145;147;150;154;159;1044;1739,4;1572,04795833333;1611,75090765088;1665,65128571429;1741;1824,05521428571;1780;1789;1884,26020592428;1820;1940,89691666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-02-20";"0-60";31;84,6;69;74;79;85;91;92;94;96;100;103;395;631,7;548,780449393939;571,841069375907;591,780810810811;633;679,791621621622;650;654;700,651426415094;667;724,737055454545;0,366577385772164;0,405387155265856;0,391741036165196;0,37975721428923;0,366264519320515;0,353040956159068;0,349702144297503;0,345547383076796;0,340781040109656;0,333434088781991;0,327168241037205
"2022-02-20";"60+";61;157,4;135;142;149;157;166;168;171;174;179;184;695;1099,4;963,201991176471;1012,19763310213;1057,38786885246;1100;1146,17639344262;1126;1132;1199,41175412581;1152;1256,51230980392;0,387550246782667;0,42493053824849;0,412103541454774;0,400587356503782;0,387250866511003;0,37421511543577;0,370810015295841;0,367332391065317;0,362473720007753;0,355807820493843;0,349788161857274
"2022-02-20";"alle";92;242;211;221;231;242;254;257;261;265;272;279;1090;1731;1575,02958333333;1613,86881039126;1666,08035714286;1733;1811,50035714286;1769;1778;1867,2546491367;1805;1916,47833333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-02-19";"0-60";46;94;80;85;89;94;99;101;102;104;108;110;408;605;532,4179;551,960441219158;570,424324324324;606;645,862162162162;621;625;665,616638606676;635;684,180472727273;0,489281650336814;0,52276195359777;0,511493107061238;0,500697045256785;0,488559959597927;0,476606316455051;0,473504718739576;0,469729078306346;0,465355419148486;0,458184394255988;0,452236829252786
"2022-02-19";"60+";70;138,2;121;127;132;138;145;147;149;151;155;158;695;1023,6;907,296082352941;950,685026548673;989,817049180328;1024;1061,28098360656;1046;1051;1105,87567950251;1068;1157,24748431373;0,50635940832389;0,538562689592409;0,527624007736108;0,517538827285748;0,505934282681907;0,493894390122611;0,490791984916185;0,487320736414341;0,482967375834802;0,476096539597917;0,470255017662538
"2022-02-19";"alle";116;232,3;208;216;224;233;242;244;247;250;256;261;1103;1628,7;1496,5466875;1529,01896721052;1574,94653571429;1630;1694,39867857143;1660;1666;1741,76745445905;1690;1783,19502083333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-02-18";"0-60";61;107,2;93;98;102;107;112;114;115;117;120;123;439;606,8;543,455621818182;559,31696642477;575,996216216216;607;642,004324324324;621;624;660,344697435898;634;677,622533939394;0,569108184142872;0,599236428716212;0,589099205808601;0,579468263847148;0,568468922510345;0,557518611406679;0,55467399921086;0,551469132338137;0,54734245160482;0,54122711995253;0,535898856851479
"2022-02-18";"60+";114;196,5;177;183;189;197;204;206;208;211;215;218;730;1018,1;915,823967156863;951,343385792872;987,565409836066;1019;1052,53262295082;1038;1042;1091,75397656063;1058;1137,7195995098;0,580066272888314;0,609384051222075;0,598815458499665;0,589928204334511;0,579569765546679;0,569083592241545;0,566499525691354;0,563370092721712;0,55922248000844;0,553609828228002;0,548571890290281
"2022-02-18";"alle";175;303,7;279;287;295;304;314;316;319;322;328;333;1169;1624,9;1509,1868125;1539,08347536829;1575,82075;1626;1682,28896428571;1652;1659;1725,53720576588;1679;1760,00410416667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-02-17";"0-60";76;112,8;101;105;109;113;117;118;120;121;124;126;452;588,7;534,373397878788;546,520922302854;561,353783783784;589;617,932162162162;601;604;634,920186937591;613;650,944649393939;0,673955511724081;0,699309125578639;0,690221059876936;0,682391622270183;0,673371132628896;0,664018997591844;0,661678448887551;0,659148987103425;0,655538330255713;0,650419979175138;0,64544410745137
