"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"2022-03-06";"0-60";0;0;0;0;0;0;0;0;0;0;0;0;136;232,1;208;216;223;232;242;245;248;251;257;262;0,219106059186732;0,280262093701626;0,258176378950481;0,239358317477437;0,218795223535508;0,19990861820594;0,194709803898585;0,188850911646633;0,182418217479428;0,172400885465029;0,164323521091734
"2022-03-06";"60+";4;20,7;12;15;17;21;24;25;26;28;30;32;226;416,2;376;389;402;417;434;438;443;450;461;471;0,193662557629601;0,249703999343845;0,229859474599772;0,212191247754292;0,193747510290343;0,175781639482317;0,17162099418445;0,166513364980821;0,160377788539651;0,151052426677752;0,144691372926647
"2022-03-06";"alle";4;20,7;12;15;17;21;24;25;26;28;30;32;362;648,3;592;610;628;650;673;678;686;696;710;724;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-05";"0-60";16;48,3;36;40;44;48;53;55;56;58;61;64;162;269,4;243;252;260;270;280;283;286;290;296;301;0,33119234814778;0,391124590785699;0,370735889037393;0,351552437003697;0,330907601089282;0,309715015900391;0,304732673869558;0,298528408171384;0,290926446976686;0,280532325867757;0,270618152647972
"2022-03-05";"60+";25;80,4;62;68;74;81;88;90;92;96;100;104;260;451,1;411;424;437;452;468;472;478;484;493;503;0,310859925864301;0,369380507498907;0,34828085056012;0,330255125716589;0,310193935876578;0,2908032777098;0,285573272433016;0,280159039851398;0,272907659484784;0,262972295839712;0,254839195610983
"2022-03-05";"alle";41;128,7;103;111;119;129;139;142;146;150;157;163;422;720,5;663;683;700;722;745;751;758;768;782;795;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-04";"0-60";20;40,7;31;34;37;41;44;45;46;48;50;52;174;259,6;238;245;252;260;268;270;273;276;281;285;0,491845086055682;0,5488532737513;0,529508938220099;0,511709826709529;0,49120285455128;0,470703235257867;0,465541645005637;0,459460507750006;0,45227225286464;0,441216028195154;0,431727819975425
"2022-03-04";"60+";37;77,6;63;68;72;78;83;85;86;89;92;95;290;447,5;415;426;436;448;461;465;469;474;481;488;0,476911128119375;0,532596299923279;0,513786413221046;0,496371905297117;0,475926032158277;0,455913777416589;0,451427848995583;0,445728504463602;0,43847816560611;0,427651577127738;0,418273431126954
"2022-03-04";"alle";57;118,2;100;105;111;118;126;128;130;133;138;142;464;707,1;662;677;691;708;726;731;737;744;755;764;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-03";"0-60";24;39,3;32;34;36;39;42;43;44;45;47;48;192;267,2;248;254;260;267;275;277;279;282;286;290;0,611014246734645;0,658744441488713;0,642038064726682;0,627728140026028;0,610357203239443;0,592921628380645;0,588512137776466;0,583004801109444;0,576177468961002;0,566298060597575;0,556066002302859
"2022-03-03";"60+";46;76,7;65;69;72;77;81;82;84;85;88;91;313;447,1;419;428;437;448;459;462;465;470;476;482;0,59998610951862;0,646770322492282;0,631169991430357;0,616581808717651;0,599345119183465;0,582000261190085;0,577484044209692;0,572161202994297;0,565546743330666;0,556013874632568;0,5471581550372
"2022-03-03";"alle";70;115,9;101;106;110,8;116;122;123;125;127;131;134;505;714,3;676;688;701;716;731;735;739;746;755;762;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-02";"0-60";27;39,2;33;35;37;39;42;42;43;44;46;47;210;278,6;261;267;272;279;286;288;290;292;296;300;0,688106068123338;0,727915351214105;0,714514771854784;0,702040291803535;0,687956591082652;0,672372762885853;0,668660537219548;0,664218971788641;0,658540074272444;0,649368476197488;0,641998192963573
"2022-03-02";"60+";55;81;71;74;77;81;85;86;87;89;91;94;337;455,8;430;439;447;457;467;469;472;476;482;487;0,679042390807402;0,719056606626471;0,705675614054535;0,692855421153762;0,678627378580019;0,663622032441222;0,659597904463496;0,655000799565276;0,649069467822815;0,640974245392246;0,633141424124627
