"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"2022-03-08";"0-60";4;9,5;5;6;8;10;12;13;14;15;18;20;12;23;12;12;16,36;24;34,0666666666667;29;30;44,629063729347;35;58,2566890756302;0,419751590543506;0,598368164039557;0,539090220912304;0,479879494812872;0,415495691001076;0,347169605688346;0,330100347542729;0,31034227032979;0,288578997718193;0,25486878722787;0,224696430071214
"2022-03-08";"60+";3;10,6;5;6;8;11;14;15;16;18;21;25;9;24;12,3806861063465;17,3592105263158;18,58;25;33,485;33;35;37,9456578947368;44,7;51,7701602058319;0,28388962732688;0,461598213538424;0,397713781335934;0,341485015289626;0,282500285298292;0,226181958153127;0,211419114576631;0,196307618842031;0,178007258512336;0,152058228643703;0,13306212065835
"2022-03-08";"alle";7;20,1;0;0;0;0;20;22;24;27;32;37;21;46,9;21;21;21;21;48,5220285714286;51;55;73,60304;69;97,6250237659093;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-07";"0-60";0;0;0;0;0;0;0;0;0;0;0;0;8;13,5;8;8;10,18;14;19,0333333333333;17;17;26,4774382376082;20;32,7088168067227;0,278645845994167;0,510223167951556;0,426400595495957;0,352772504444514;0,270623082161066;0,193081557914428;0,177314865580896;0,159448392027932;0,135728521092157;0,106907991660706;0,0852100678006895
"2022-03-07";"60+";1;5,2;1;2;3;5;8;9;11;13;16;21;8;15,7;9,0769910806175;12,1898684210526;12,0415;16;21,5265;21;23;24,5227631578947;28,9;33,4775502572899;0,193497066255072;0,417485065900239;0,330000113187253;0,260578759054597;0,188893356384365;0,1278334832706;0,116697705928643;0,101982973008087;0,0862193524795735;0,0648616607184042;0,0505822799969901
"2022-03-07";"alle";1;5,2;0;0;0;0;5;6;7;9;12;16;16;29,2;16;16;16;16;30,3796571428571;32;34;45,09952;41;56,9022270013084;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-06";"0-60";0;0;0;0;0;0;0;0;0;0;0;0;8;13,5;8;8;10,18;14;19,0333333333333;17;17;26,4774382376082;20;32,7088168067227;0,507235792268752;0,71506204022294;0,648422774104254;0,577429279682097;0,498986080162861;0,412683645256141;0,393661632814862;0,365705688892183;0,337527870032114;0,28835727384726;0,246360299088894
"2022-03-06";"60+";0;0;0;0;0;0;0;0;0;0;0;0;8;11,9;8,53039897084048;9,14881578947369;10,6805;12;14,7455;14;15;15,7896052631579;17;18,9877814751286;0,441172489315595;0,660148619072151;0,588912589476461;0,517912343606062;0,43958040125264;0,354680805718973;0,333491582955386;0,310053000361444;0,282654805787221;0,24318953876897;0,20478522926708
"2022-03-06";"alle";0;0;0;0;0;0;0;0;0;0;0;0;16;25,3;16;16;16;16;26,3322;27;28;34,88048;33;43,4561893184251;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-05";"0-60";3;5,9;3;4;5;6;8;8;9;9;11;12;8;13,5;8;8;10,18;14;19,0333333333333;17;17;26,4774382376082;20;32,7088168067227;0,50894197708537;0,668927100812303;0,611273279740284;0,557912390219186;0,498014923649951;0,431957015091833;0,415167389168337;0,395913917334537;0,372029825689867;0,335535795272208;0,307044476754572
