"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"2022-03-10";"0-60";3;6,7;3;4;5;7;8;8;9;10;11;11;51;77,2;67;70;73;78;82;83;84;86;89;91;0,449939859421274;0,535459734701658;0,505776261059386;0,478937772855194;0,447903751580181;0,417101685109324;0,409287653751193;0,40019963657839;0,388507852880608;0,371573238277025;0,358026119873734
"2022-03-10";"60+";11;30;21;24;27;30;34;35;37;38;41;43;133;219,9;195;203;211;221;231;234;237;242;248;254;0,366084297628383;0,448642706978948;0,420039505156477;0,393585423446125;0,364540116323045;0,33566934878887;0,328604131063297;0,320081755859357;0,309619494713219;0,29466193707671;0,281806676450131
"2022-03-10";"alle";14;36,7;26;30;33;37;41;43;44;46;49;51;184;297,1;267;277;287;299;311;315;319;324;332;339;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-09";"0-60";19;31,6;25;27;29;32;34;35;36;37;39;41;63;89,5;79;82;86;90;94;95;97;98;101;103;0,602215735416204;0,670171917257916;0,647907973147851;0,62586501953847;0,600908599253023;0,574208095886866;0,567387107649306;0,559977522527127;0,549688747974234;0,534412046748784;0,521199575619755
"2022-03-09";"60+";37;68,5;56;60;64;69;74;75;77;79;83;86;154;231,7;210;217;224;233;242;244;247;251;256;261;0,539758235318908;0,610360370586377;0,586832917673693;0,564146656980726;0,538791806278722;0,512682331130282;0,505506636643302;0,49680060355954;0,487463250028723;0,472148575730714;0,45922430653376
"2022-03-09";"alle";56;100,1;84;89;94;100;107;109;111;114;118;122;217;321,2;294;303;312;323;334;337;341;345;352;359;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-08";"0-60";7;10,1;7;8;9;10;11;12;12;13;13;14;65;82,7;75;77;80;83;86;87;88;89;91;93;0,690314488696403;0,747284800367638;0,728681191721534;0,710259460295046;0,688622833650565;0,666270706141284;0,66067770854783;0,653688073757119;0,645957218125715;0,632614955066436;0,620288135888682
"2022-03-08";"60+";22;34,1;27;29;32;34;37;38;39;40;41;43;148;200,7;184;190;195;201;208;210;212;214;218;222;0,644249939570596;0,704902067838551;0,684089560461941;0,665686438227723;0,643477205940944;0,619839507730489;0,613464659460585;0,606337467249462;0,597580344260798;0,585231917057126;0,573717881365251
"2022-03-08";"alle";29;44,3;36;39;41;44;48;48;49;51;53;54;213;283,5;264;271;277;285;292;294;297;300;305;309;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-07";"0-60";0;0;0;0;0;0;0;0;0;0;0;0;75;92,1;84;87;89;92;95;96;97;98;100;102;0,650891569402014;0,73261165914634;0,705389395822172;0,680771153670955;0,64902392909398;0,615263975212967;0,606602773248765;0,596502758838068;0,583368424366709;0,565227890833125;0,546336885313031
