"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"2022-03-15";"0-60";0;0;0;0;0;0;0;0;0;0;0;0;21;33,6;27;29;31;34;36;37;38;39;41;43;0,0637434757507166;0,113753826939059;0,0939644715831585;0,0787905709494518;0,0636042971115016;0,0512485613989288;0,0482504940015084;0,044977503208535;0,0413524437050683;0,0364820834348195;0,032492883946593
"2022-03-15";"60+";0;0;0;0;0;0;0;0;0;0;0;0;53;98,7;81;87;93;99;107;109;111;114;120;125;0,0597743061613206;0,105847133809784;0,0875369684388833;0,0735811243396239;0,0597962723213995;0,0481420157342276;0,0454415579460749;0,0426146872217516;0,0391340443894834;0,0345331392353322;0,0309420183221737
"2022-03-15";"alle";0;0;0;0;0;0;0;0;0;0;0;0;74;132,3;112;118;125;133;142;144;147;151;157;163;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-14";"0-60";0;0;0;0;0;0;0;0;0;0;0;0;28;42,4;35;37;40;42;46;47;48;49;51;53;0,158735311807343;0,254026497849353;0,21856923734828;0,188710814990477;0,158801355335664;0,13122917779813;0,125166778136269;0,118033508001506;0,108862631015905;0,0967313795132642;0,0876498243619241
"2022-03-14";"60+";1;7,3;2;4;5;7;10;10;11;12;14;16;62;110,2;92;98;104;111;119;121;123;127;132;137;0,136869083338706;0,224350642333311;0,191432246692317;0,164696675176551;0,136744543879287;0,112466544551624;0,106692418833201;0,100215514402482;0,0924214321254429;0,0815546468191813;0,0729314156159574
"2022-03-14";"alle";1;7,3;2;4;5;7;10;10;11;12;14;16;90;152,6;131;138;145;154;163;165;168;172;179;185;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-13";"0-60";0;0;0;0;0;0;0;0;0;0;0;0;32;47,7;40;42;45;48;51;52;53;54;56;58;0,164278966122623;0,259233502969259;0,223965861179301;0,19405045559716;0,163707767778715;0,135513194340101;0,129214796073176;0,121379204649653;0,11239920950647;0,0990715004183537;0,0899165228548473
"2022-03-13";"60+";0;0;0;0;0;0;0;0;0;0;0;0;63;105,5;89;95;100;106;113;115;117;119;124;128;0,132267021951159;0,218378433821621;0,184233904366123;0,158089866796049;0,132294009261923;0,107730504706324;0,102211006476495;0,0960724401114527;0,0881692466152907;0,0778225702191257;0,0695020165494792
"2022-03-13";"alle";0;0;0;0;0;0;0;0;0;0;0;0;95;153,2;133;139;146;154;162;165;167;171;176;181;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-12";"0-60";2;4,4;2;3;3;4;5;6;6;7;7;8;35;52,4;44;47;49;53;56;57;58;60;62;64;0,455682416152997;0,553856787880332;0,519902383807786;0,489665461860529;0,454100237381985;0,418122673009612;0,409433270020455;0,399048972110736;0,386313204849357;0,36710393917497;0,35200746882006
