"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"2022-03-15";"0-60";15;50,9;37;41;46;51;57;58;60;62;65;68;110;199,3;175;184;191;200;210;212;215;219;224;230;0,294581885539557;0,35794540973484;0,335167578943702;0,316134297903051;0,294156767502119;0,273504920412255;0,268568406752144;0,262750803669127;0,255494848134725;0,245243603790683;0,23650878728677
"2022-03-15";"60+";28;98,9;76;83;90;99;108;111;114;117;124;130;184;365,6;323;338;351;367;384;388;393;399;410;420;0,283101923150091;0,346488805021389;0,32266112862049;0,303766623288496;0,282768053258971;0,262710991826015;0,257860526596238;0,252367251242115;0,246056074404275;0,235126914789544;0,227614725560469
"2022-03-15";"alle";43;149,8;118;128;138;150;163;166;170;175;184;191;294;564,9;507;526;545;567;590;596;604;613;628;641;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-14";"0-60";0;0;0;0;0;0;0;0;0;0;0;0;122;180,8;164;170;175;181;188;190;192;195;199;203;0,222323234868211;0,304503149523637;0,274824054324765;0,249409911775078;0,22227803489261;0,196419515789625;0,190322193618763;0,183239186720025;0,174466346806013;0,161097713088884;0,150657244078328
"2022-03-14";"60+";1;5,2;2;3;4;5;7;7;8;8;9;11;213;337,4;308;318;327;338;350;353;356;361;368;374;0,192168207410609;0,270049351490368;0,242642064408879;0,217663607444736;0,192031083248654;0,168274361272046;0,162969903986295;0,156306857413603;0,148351868315293;0,136474185968792;0,126230470761613
"2022-03-14";"alle";1;5,2;2;3;4;5;7;7;8;8;9;11;335;518,2;480;493;505;519;535;539;544;551;560;568;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-13";"0-60";4;13,7;8;9;11;14;16;17;18;19;21;22;127;187,8;171;176;182;188;195;197;199;202;206;210;0,291408811768221;0,365195492398225;0,339900367480781;0,316338021045965;0,290748962774153;0,265790730579324;0,259834182263895;0,252499128898434;0,244024388974115;0,231696568537519;0,219588238182413
"2022-03-13";"60+";4;16,4;9;11;14;16;19;20;21;23;25;26;216;338,1;310;319;328;339;350;353;356,1;361;368;374;0,244511588946806;0,316364908381408;0,290932816399261;0,268378360336071;0,244095118617938;0,220787924033438;0,214970252078763;0,208740854533165;0,200301068586382;0,188173484978154;0,178163997327857
"2022-03-13";"alle";8;30,1;19;23;26;30;35;36;37;39;42;45;343;525,9;488;501;513;527;543;546;551;557;567;575;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-12";"0-60";16;28;22;23;25;28;31;31;32;33;35;36;128;181,2;165;171;176;182;188;189;191;194;197;200;0,572243962123032;0,625206819950303;0,6078260529339;0,591002289800304;0,571810299061911;0,551561118168085;0,546558456941874;0,540422559489645;0,532604293151309;0,520150333315548;0,509640088351765
"2022-03-12";"60+";34;65,7;53;57;61;66;70;72;73;75;78;81;226;342,5;315;324;333;343;354;356;360;363;370;377;0,517502557259622;0,573729583597907;0,555104294082028;0,537481470398541;0,516924618957989;0,496428927257728;0,491278102247245;0,485081046372567;0,477974731374735;0,466141582264866;0,456203103522171
"2022-03-12";"alle";50;93,7;79;84;88;94;100;101;103;105;109;112;354;523,6;488;500;512;525;539;542;546;552;561;569;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-11";"0-60";22;35,9;29;31;33;36;39;39;40;41;43;45;152;201,6;187;192;197;202;208;209;211;213;217;220;0,61278303166375;0,662074456753236;0,645338862042778;0,629257626630817;0,611812863470326;0,593209897451196;0,588708868797512;0,583401610792156;0,576674782585862;0,566123645740092;0,556772994873068
"2022-03-11";"60+";35;62,8;52;56;59;63;67;68;69;71;74;76;236;330,9;308;316;323;331;340;343;345;349;354;359;0,557098628978694;0,609969450759866;0,5910932814614;0,575031603135405;0,556878681542225;0,537466515276171;0,532914843019941;0,527171760238407;0,520105607662787;0,509829808476784;0,500072848748106
"2022-03-11";"alle";57;98,7;85;89;94;99;104;106;107;110;113;116;388;532,6;502;513;522;534;546;548;552;557;564;571;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-10";"0-60";21;30,4;25;27;28;30;33;33;34;35;36;38;163;206;193;197;201;206;212;213;215;216;220;222;0,690392585919005;0,732804772173606;0,718692959870603;0,705272243377644;0,689662268132565;0,673200177661176;0,668917130558004;0,664179223006612;0,657570208141577;0,648126200609795;0,640208956113084
"2022-03-10";"60+";34;53,2;44;47;50;53;57;57;58;60;62;64;249;327,4;307;314;321;328;335;337;340;343;347;351;0,639153354347647;0,686489619142932;0,670838565436325;0,655804431040092;0,638528440753751;0,6213890964853;0,616961532752891;0,611130514433529;0,604179576381142;0,594957859584961;0,586556632442323
"2022-03-10";"alle";55;83,6;73;76;80;84;88;89;90;92;95;97;412;533,4;507;516;525;534;544;547;550;554;560;566;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-09";"0-60";32;40,4;35;37;38;40;42;43;44;44;46;47;171;209,9;197;202;205;210;215;216;218;220;223;225;0,792724420849173;0,822974707294937;0,813029277410899;0,803595078383001;0,792242365330938;0,780493607601165;0,777505734148184;0,773909733717329;0,76911505258319;0,761853008148574;0,755875347610482
"2022-03-09";"60+";48;63,5;56;58;61;63;66;67;68;69;71;73;260;328;310;316;322;329;335;337;339;342;346;349;0,756446123974248;0,790454255581001;0,779503207656861;0,76856783494907;0,756036555137632;0,743033135343402;0,739798992526403;0,735665877288343;0,730403916946548;0,723255437364645;0,7168599882722
"2022-03-09";"alle";80;103,8;94;97;100;104;108;109;110;111;114;115;431;537,8;514;522;530;539;548;550;553;557;562;567;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-08";"0-60";27;32,4;28;30;31;32;34;34;35;36;37;38;181;216,6;205;209;212;217;221;223;224;226;229;231;0,83278507474195;0,85853490649833;0,849850364420034;0,841804578643363;0,831972360438895;0,822324118758826;0,81973353891182;0,816573358574706;0,812415768010761;0,806718390365372;0,801479936791393
"2022-03-08";"60+";57;70,7;64;66;68;71;73;74;75;76;78;79;252;309,6;294;299;304;310;316;318;320;322;326;329;0,806295552687543;0,835101934520422;0,82523293654209;0,816718927465785;0,805805731383543;0,794692799290834;0,791962893837036;0,788615422106887;0,784617276392874;0,778145481320357;0,772503182027256
"2022-03-08";"alle";84;103,1;95;97;100;103;106;107;108;110;112;113;433;526,2;505;512;519;527;535;537;540;543;548;552;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-07";"0-60";5;7;5;5;6;7;8;8;9;9;10;10;188;221,6;210;214;218;222;226;227;229;231;233;236;0,716035571000995;0,771333986155481;0,752908813028003;0,735145664561365;0,714647947503507;0,693108398738085;0,6874474423887;0,680937478970726;0,6728626250014;0,659203236493259;0,647571787167361
