"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"2022-03-23";"0-60";12;24,3;18;20;22;24;27;27;28;29;31;32;128;177,1;155,462861538462;161,889197324415;168,794285714286;178;186,708571428571;185;186;193,515618729097;192;202,749323076923;0,494321805642953;0,547437462239583;0,529805595654377;0,512893254621711;0,494145340930128;0,4745144401864;0,469449790197475;0,463936892967453;0,456955249759051;0,446109922421537;0,437467625003908
"2022-03-23";"60+";11;29;21;23;26;29;32;33;34;35;38;39;219;313,9;268,990312349914;282,530048780488;296,288585858586;315;334,186565656566;325;328;349,901756097561;336;367,422504459691;0,379102937927119;0,431209434403206;0,412689836772756;0,396894033309617;0,379061952736326;0,360490412324882;0,356296372301598;0,351222072621993;0,344182725293426;0,335491050460585;0,327331635548768
"2022-03-23";"alle";23;53,3;42;45;49;53;58;59;60;62;65;67;347;491;428,628973045822;451,613333333333;470,405911330049;492;517,772315270936;506;510;538,678596491228;521;568,426102425876;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-22";"0-60";29;41,7;35;37;39;42;44;45;46;47;49;50;144;183,8;165,458584615385;170,547023411371;175,982857142857;184;192,268571428571;190;192;199,161404682274;197;207,013353846154;0,694840934947099;0,73610957912887;0,721976297430753;0,709206495041171;0,694086940214738;0,67835148865105;0,674357604134757;0,669851304749777;0,664350531397098;0,655756563218534;0,647953777609256
"2022-03-22";"60+";48;76,4;65;69;72;76;80,2;82;83;85;87;89;265;348,7;306,251117152659;319,856487804878;333,763737373737;349;367,203131313131;359;361;380,912097560976;369;398,531297255575;0,628367503103826;0,673180721275239;0,657961093764258;0,643907714086071;0,627817596476261;0,611457647917645;0,607370260953097;0,602330270969957;0,596565197997808;0,587339614122584;0,578084903051576
"2022-03-22";"alle";77;118,1;104;109;113;118;123;125;126;129;132;134;409;532,4;475,620858221024;496,330105263158;515,100965517241;534;556,289142857143;546;549;575,103438596491;559;600,36291212938;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-21";"0-60";8;12,3;9;10;11;12;14;14;15;15;16;17;152;181,6;166,411015384615;170,154247491639;175,737142857143;182;188,765714285714;187;188;194,250568561873;193;200,801169230769;0,649945172217057;0,704524004764994;0,685788860059017;0,668755622811539;0,648619218400075;0,627875102907196;0,622180692929033;0,616349622691916;0,607786728384064;0,595140134721652;0,584678546625794
"2022-03-21";"60+";12;20,1;15;16;18;20;22;23;23;24;25;27;281;341,4;307,76900102916;317,398829268293;329,361818181818;342;356,113333333333;350;352;367,927609756098;358;381,593145111492;0,597897412640924;0,655291801841792;0,636048769698097;0,617690094658534;0,597041724639402;0,575483291742365;0,569850696200137;0,563366525948058;0,55450833701523;0,542556194878741;0,532874377948228
"2022-03-21";"alle";20;32,4;26;28;30;32;35;36;37;38;39;41;433;523;477,834773584906;493,978245614035;508,584137931034;524;541,534679802956;534;537;558,240701754386;544;578,918851752022;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-20";"0-60";10;14,6;11;12;13;14;16;16;17;18;19;19;154;180,4;165,4976;170,761471571906;174,862857142857;181;186,588571428571;186;187;191,845752508361;191;198,454830769231;0,683960020216593;0,727521448777961;0,71271102809236;0,699077188794376;0,682532497237927;0,665030661981824;0,660560585913838;0,655739181172008;0,648884759825809;0,638888270985054;0,630230436775226
"2022-03-20";"60+";12;18,6;14;15;17;18;20;21;21;22;23;25;291;346,1;313,084202229846;324,835804878049;334,730606060606;347;361,482121212121;354;356;371,153853658537;362;384,857675643225;0,645818472346722;0,692225044509662;0,676228794314514;0,661371527807178;0,644542333215669;0,626950851610852;0,622407041316057;0,616872281561619;0,610465843687762;0,6006824350293;0,592266855185906
"2022-03-20";"alle";22;33,2;27;29;31;33;36;36;37;38;40;41;445;526,4;484,675933692722;500,69501754386;513,219783251232;527;544,110916256158;537;539;560,81150877193;547;577,157111590296;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-19";"0-60";21;27,1;23;24;25;27;29;29;30;31;32;33;166;190,3;176,973815384615;180,812073578595;184,925714285714;191;196,325714285714;195;197;201,89635451505;200;208,498123076923;0,775022809059371;0,806914497385044;0,796050096287126;0,7853845150472;0,773308164698268;0,760382945224461;0,757167420433358;0,753481148658662;0,747982417475984;0,741021501262622;0,733967757796979
"2022-03-19";"60+";38;50,7;44;46;48;51;53;54;55;56;58;59;307;359,3;327,924738765009;337,614731707317;347,484747474747;360;374,236262626263;367;369;383,932780487805;375;397,647541509434;0,749257960914911;0,783177612492534;0,771734342150061;0,76036932777116;0,747827085520927;0,734518012758497;0,731035076864886;0,726819820796484;0,722125465147478;0,714433930920064;0,706953330564767
"2022-03-19";"alle";59;77,8;70;72;75;78;81;82;83;84;86;88;473;549,6;509,596513746631;525,553403508772;536,007901477833;551;566,899034482759;560;562;581,523929824561;569;599,926966576819;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-18";"0-60";26;31,6;28;29;30;32;33;34;34;35;36;37;179;200,2;187,017107692308;190,862675585284;194,988571428571;201;206,388571428571;205;206;211,946956521739;210;217,108492307692;0,821879578723281;0,847764814734182;0,838443870828541;0,829948373260379;0,820183247409601;0,809403382211531;0,806726001918397;0,803249303621502;0,798862180168894;0,792404578056112;0,786805711371576
