"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"2022-03-24";"0-60";3;6,9;3;4;6;7;9;9;10;11;12;13;36;51,1;43;46;49;52;56;57;58;60;63;66;0,434058047360479;0,56178469048052;0,515378187325439;0,472879896354183;0,424143250299519;0,373166553499229;0,362222250806655;0,348555120663396;0,331476459139237;0,305519523253069;0,284066687781284
"2022-03-24";"60+";12;29,3;20;23;26;30;35;36;38;40;44;47;72;122;103;109;116;125;134;137;140;145;151;158;0,409719837633655;0,533627133610054;0,489668174067226;0,449551378675369;0,402197317008394;0,355913811993356;0,343868671008754;0,329881623194988;0,313930897437795;0,289252558276642;0,269163241011139
"2022-03-24";"alle";15;36,2;25;29;32;37;43;44;46;49;53;58;108;173,1;150;158;167;177;189;192;196;201;210;218;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-23";"0-60";8;12,4;9;10;11;12;14;15;15;16;17;18;36;47,8;41;43;46;49;52;53;54;55;57;60;0,645389738406545;0,740001431624969;0,707076090563176;0,677001660984992;0,638912303445918;0,598212067599346;0,588234361308642;0,576014161638237;0,560251166674592;0,53617536553814;0,514293550992942
"2022-03-23";"60+";10;16,8;12;13;15;17;19;20;20;21;23;24;76;113,3;98;103;109;115;123;125;127;131;136;141;0,593635353788532;0,695047174657221;0,66018199996908;0,628091584051368;0,58991078514872;0,547840517260447;0,536961536280018;0,525971294251584;0,50982784592394;0,486598644950699;0,464506221048605
"2022-03-23";"alle";18;29,2;23;24;27;29;33;33;34;36;38;40;112;161,1;144;150;156;164;173;176;179;183;189;195;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-22";"0-60";3;3,8;3;3;3;4;4;5;5;5;6;6;33;41;36;38;39;42;44;45;46;47;49;51;0,791724720382991;0,865704768298221;0,8423177497426;0,816606790477132;0,785945269392918;0,749648116150569;0,740154304263763;0,729218716545015;0,713732460236755;0,689910850791113;0,668463266341693
"2022-03-22";"60+";8;10,8;8;9;10;11;12;13;13;14;15;16;89;123,9;110;115;120;126;133;135;137;140;146;150;0,737763242629427;0,827727821956546;0,798503833679914;0,770295911606242;0,734454286657766;0,69229276111908;0,681666364777167;0,668725038160422;0,652393704294168;0,626168189292951;0,60317687094733
"2022-03-22";"alle";11;14,6;11;12;13;15;16;17;17;18;19;20;122;164,9;149;155;161;168;176;178;181;185;190;196;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-21";"0-60";2;2,9;2;2;2;3;4;4;4;5;5;6;35;42,6;38;39;41;43;46;46;47;48;50;52;0,682628510614414;0,789164457386575;0,751673625761194;0,714987941993289;0,668737759125021;0,617804939883182;0,603752221884406;0,588747168469723;0,567943932278031;0,53287833959638;0,502643878189687
