"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"2022-03-31";"0-60";0;0;0;0;0;0;0;0;0;0;0;0;53;89,3;76;80;85;90;95;97;99;101;105;107;0,195733447143525;0,266718153585084;0,241578319707202;0,2192253711063;0,194397735970783;0,171629629938164;0,166266635967927;0,16005316540671;0,152410006602834;0,140868908438237;0,131728544515648
"2022-03-31";"60+";5;26,9;16;20;23;27;32;33;35;36;40;43;156;285,9;252;263;274;288;303;307;311;317;327;335;0,185726242016574;0,251300625695688;0,227495207329193;0,207213149634528;0,184664736809169;0,16425998837955;0,159340194708727;0,153478862336719;0,146533913404042;0,136683155311363;0,127999280908994
"2022-03-31";"alle";5;26,9;16;20;23;27;32;33;35;36;40;43;209;375,2;334;348;361;378;396;401;406;414;425;436;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-30";"0-60";5;13,4;8;10;11;13;16;16;17;18;20;21;71;112,5;98;103;108;113;119;121;123;125;129;133;0,373399761013586;0,455215184254657;0,425867864214846;0,400633481575593;0,372175260224071;0,34366421233592;0,336711350875326;0,328341304178644;0,318219426502262;0,303416642958694;0,290526705602048
"2022-03-30";"60+";14;38,1;27;31;34;38;43;44;45;47;50;53;184;302,1;271;282;292;304;317;320;324;329;337;345;0,367557735785323;0,446382194001069;0,417753199819967;0,393609098115759;0,366211274901189;0,340207041491024;0,332878730545501;0,325168661461149;0,315837374646055;0,301456756400175;0,290054842676085
"2022-03-30";"alle";19;51,5;38;42;47;52;57;59;60;63;67;70;255;414,6;375;389;402;417;434;438;444;450;461;470;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-29";"0-60";8;14,8;10;11;13;15;17;17;18;19;20;22;85;122,7;110;114;118;123;129;130;132;134;138;141;0,54009419764351;0,616131348041;0,589018213405444;0,565759777335278;0,537983860101214;0,509179891348282;0,502243503023032;0,494255774407468;0,4842139776773;0,468898126210972;0,454617681931141
"2022-03-29";"60+";31;57,8;46;50;54;58;63;64;65;67;70;73;227;335,2;307;317;326;337;348;351;355;360;367;374;0,536695347011074;0,609921900665481;0,584403460329602;0,561822231352438;0,535360328997949;0,508107708290134;0,501166283490851;0,493592760582314;0,483381593100908;0,468486226771229;0,455935358873676
"2022-03-29";"alle";39;72,6;59;63;68;73;78;80;82;84;87;91;312;457,9;422;435;446;460;475;479;484;490;500;508;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-28";"0-60";5;8,8;5;6;7;9;10;11;11;12;13;14;88;121;109;113;117;122;127;128;129;132;135;137;0,571209347385159;0,65675920893375;0,627035765087717;0,600359367708972;0,568457039360936;0,535627029796786;0,527738101253433;0,516948698785179;0,504661237093021;0,486521663180105;0,46950574741717
"2022-03-28";"60+";15;26,5;20;22;24;26;29;30;31;32;34;36;252;344,9;321;329;337;346;356;359;362;367;373;379;0,566576580072097;0,650491244259474;0,622672664858253;0,595747768299735;0,564764922061477;0,532121606821571;0,524310187415696;0,514354493170818;0,502182255664844;0,482617648715125;0,465775965474298
"2022-03-28";"alle";20;35,2;27;30;32;35;39;40;41;42;45;46;340;465,9;435;446;456;468;481;484;488;494;502;510;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-27";"0-60";8;14,3;10;11;12;14;16;17;17;18;20;21;91;122;110;114;118;123;127;129;130;132;135;138;0,561158359229942;0,636759853834715;0,611070007726732;0,585477265882038;0,557476766774802;0,528236065294178;0,520454513674076;0,511866155373584;0,500502404714184;0,482823122270349;0,467873322279807
