"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"2022-04-01";"0-60";34;142,1;115;124;132;142;152;155;158;162;169;175;316;661,8;604;624;642;662;683;689;696;704;716;728;0,239284743534291;0,275348563885164;0,263267578767711;0,25178406685941;0,239088560191242;0,227100695442831;0,223848523257963;0,220342414182616;0,215853342592543;0,20971649776984;0,204067938092322
"2022-04-01";"60+";39;163,8;135;144;153;164;175;178;181;186;193;199;647;1259,4;1175;1203;1230;1260;1293;1301;1311;1322;1340;1356;0,238064870008523;0,271961081418727;0,260229362633415;0,24965667111763;0,237941859172096;0,226557435377456;0,223667973631916;0,220468776409192;0,216390001941219;0,210526303742752;0,204995679513339
"2022-04-01";"alle";73;305,9;258;273;289;306;324;329;335;342;354;364;963;1921,3;1793;1838;1877;1923;1971;1983;1997;2016;2045;2070;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-31";"0-60";47;128,5;107;114;121;129;137;138;141;144;149;153;357;623,8;580;595;608;624;640;644;649;655;665;673;0,365846446012091;0,40655527656993;0,391865865082604;0,379713985937863;0,365684787687747;0,352055102453466;0,34858065407213;0,344252628836512;0,339577169947771;0,332174292164557;0,326090354643124
"2022-03-31";"60+";94;250,6;218;228;239;251;263;266;270;275;282;289;764;1307,4;1235;1259;1282;1309;1337;1343;1351;1361;1377;1390;0,37507227686821;0,413387116028599;0,400170492558698;0,388283562481693;0,374827643278194;0,361944779321281;0,358575131868063;0,354679070091594;0,350056664849235;0,343032355906884;0,337230364335628
"2022-03-31";"alle";141;379,1;333;348;363;379;397;401;406;413;424;433;1121;1931,2;1828;1863;1896;1933;1972;1981;1991;2007;2028;2049;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-30";"0-60";45;88,6;75;80;84;88;93,2;95;96;98;101;104;366;569,4;535;547;557;569;582;585;589;594;601;608;0,508162251249822;0,545276203915956;0,532220043189665;0,521055331199386;0,508230477161337;0,495118022201201;0,4917112683828;0,487922898610615;0,483066623862463;0,476311659472893;0,470538917773416
"2022-03-30";"60+";136;259,4;233;242;250;259;269;272;274;278;284;290;857;1299,3;1240;1261;1279;1300;1322;1328;1334;1342;1354;1366;0,524223653131247;0,559047122115767;0,546851268196981;0,536209441640198;0,524106774170197;0,512283871254301;0,50930035098172;0,505443657877399;0,501023813073969;0,494428522031987;0,488000625480564
"2022-03-30";"alle";181;348;315;327;336;348;360;363;366;371;378;384;1223;1868,7;1790;1817;1841;1870;1899;1907;1915;1926;1943;1959;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-29";"0-60";76;123,8;109;114;119;124;129;130;132;134;137;139;414;596,8;565;576;586;597;608;611;615;619;626;632;0,613998663726774;0,646604241161057;0,635838152409462;0,625777849934425;0,614041360196551;0,601873295323636;0,598949199488357;0,59557652125554;0,591605095135227;0,585313062568571;0,579630976619128
"2022-03-29";"60+";116;183,8;166;172;177;184;190;192;194;196;200;203;927;1292,6;1243;1260;1276;1293;1312;1316;1321;1328;1339;1347;0,631276018357289;0,6620875970442;0,651570684262833;0,642088845710865;0,631221494709917;0,620435253472442;0,617651547579886;0,614310453842875;0,610225146004968;0,604405586047713;0,599131884157517
"2022-03-29";"alle";192;307,5;282;291;299;307;316,2;319;322;325;330;335;1341;1889,4;1822;1846;1866;1890;1915;1921;1929;1938;1952;1965;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-28";"0-60";29;46,6;38;41;44;47;50;50;51;53;54;56;413;562,9;536;545;553;563;573;576;579;582;588;593;0,622454759123682;0,659039362752148;0,646658156110343;0,635308707998809;0,622362581623541;0,609336214968998;0,606026433624389;0,602106625643296;0,596831799225193;0,589242246483393;0,582723843280588
"2022-03-28";"60+";69;107,7;95;99;103;107;112;113;115;117;119;122;985;1314,7;1270;1285;1299;1315;1332;1336;1341;1348;1357;1365;0,640635053257744;0,67374602270093;0,663082747713157;0,652821875538172;0,640279975700209;0,628432769763641;0,625118039601821;0,621218955480405;0,616576683516586;0,609719544540284;0,603675666697041
"2022-03-28";"alle";98;154,3;138;143;148;154;160;162;163;166;169;172;1398;1877,7;1820;1839;1857;1878;1901;1906;1912;1921;1934;1944;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-27";"0-60";26;42,9;35;38;40;43;46;46;47;48;50;52;417;556,5;530;539;547;556;566;568;571;575;580;586;0,605767209155597;0,640259352588334;0,628771477950343;0,617809738680392;0,605704465045263;0,593581802839762;0,590298419465147;0,586445464832814;0,582017970324443;0,575481289649294;0,569480534571478
"2022-03-27";"60+";75;120;107;111;115;120;125;126;128;130;133;135;1003;1311,4;1268;1284;1297;1312;1328;1332;1337;1343;1352;1359;0,624958793902898;0,656734902323507;0,645881010904064;0,635966803976179;0,624808404042515;0,613720926708538;0,610689811952397;0,607540618169148;0,603243466555646;0,596327379145966;0,590644482526517
"2022-03-27";"alle";101;162,9;146;152;157;163;169;171;172;175;178;182;1420;1867,9;1813;1831;1849;1868;1889;1894;1901;1909;1921;1931;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-26";"0-60";59;89,4;79;82;85;89;93;94;96;97;99;102;437;571;545;554;562;571;580;583;586;589;594;600;0,659805725361087;0,688165931798111;0,678901393126213;0,669956206037233;0,65958999126822;0,649275583857673;0,646583714303139;0,643589270919966;0,639281899278276;0,633483990094152;0,628738890325017
"2022-03-26";"60+";118;174,1;159;164;169;174;180;181;183;185;189;192;1064;1358,8;1317;1332;1345;1359;1375;1379;1383;1389;1398;1405;0,677747829684931;0,703166642515325;0,694763568994276;0,686831334333242;0,67754697276268;0,668183679878858;0,665528424001262;0,66279512530793;0,65928150078941;0,653513828532676;0,64854091695556
"2022-03-26";"alle";177;263,5;243;250;256;264;271;273;275;278;282;287;1501;1929,8;1877;1895;1911;1930;1950;1955;1962;1969;1981;1991;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-25";"0-60";75;104;94;97;100;104;108;109;110;112;114;116;447;565,4;542;550;557;566;574;576;579;582;587;591;0,720892235209912;0,744927947339122;0,736760130271473;0,729274391764149;0,720690688233147;0,711877840132485;0,709493577963888;0,70688066845527;0,703593002540239;0,698547386030382;0,693842425993471
"2022-03-25";"60+";156;211,8;197;202;206;212;217;219;221;223;226;228;1110;1380,9;1341;1355;1368;1381;1396;1400;1404;1409;1417;1425;0,736680482538337;0,758108349133276;0,750956369775606;0,744257625839949;0,736386254910537;0,728432213630168;0,726409813206658;0,723933199398877;0,721095910942333;0,716416024305923;0,712594699356209
"2022-03-25";"alle";231;315,8;297;303;309;316;323;325;327;330;334;337;1557;1946,3;1897;1914;1929;1947;1965;1970;1975;1982;1993;2002;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-24";"0-60";56;74,1;66;69;71;74;77;78;79;80;82;83;450;552,7;531;538;545;553;560;562;565;568;573;577;0,75618721597007;0,778316966331001;0,770849974191993;0,76390336056073;0,755937106146859;0,747872769704508;0,745793075779813;0,743540706327058;0,740738581550618;0,736087724173546;0,73187913155513
