"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"2022-04-02";"0-60";3;10,7;6;7;9;11;13;13;14;15;17;18;73;114,7;101;105;110;115;121;122;124;126;130;133;0,28115761096077;0,354577333307479;0,327112575130703;0,304164652861076;0,279223666781096;0,255157347891172;0,249331732997896;0,242365751199568;0,233909158741968;0,221412393809957;0,210716564595771
"2022-04-02";"60+";13;44,9;31;36;40;45;51;52;54;57;61;64;143;233,8;209;218;226;235;245;248;251;255;261;267;0,289525364864376;0,359293118028033;0,334173374616633;0,311691638736377;0,28774665927028;0,263914251991647;0,25805984563313;0,251334981307149;0,242712741395228;0,230505996314297;0,220407037492608
"2022-04-02";"alle";16;55,6;40;45;50;56;63;64;67;69;74;78;216;348,4;316;327;338;350;364;367;371;376;385;393;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-01";"0-60";10;19,6;14;15;17;20;22;23;23;25;26;27;80;116,7;104;108;112;117;122;124;125;127;130;133;0,510256025493807;0,583258236613212;0,558578658947255;0,535195831895477;0,508227929524977;0,481440714097612;0,474915704677946;0,466870648522402;0,457302195497245;0,442239371096667;0,429959992104454
"2022-04-01";"60+";14;26,7;20;22;24;27;30;30;31;32;34;36;165;236,4;217;224;230;237;245;247;249;252;257;261;0,524022922584981;0,594039649076884;0,569670444589686;0,54706604195518;0,521705645426143;0,496298429736839;0,490092983465506;0,483075021384236;0,47314703960947;0,459746511763082;0,447873569829137
"2022-04-01";"alle";24;46,3;36;39;43;46;51;52;53;54;57;59;245;353,1;327;336;345;354;365;368;371;375;382;387;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-31";"0-60";10;17,8;13;14;16;18;20;20;21;22;23;24;84;113,4;102;106;109;114;118;119;121;122;125;128;0,562064167296753;0,626341659773721;0,604558770628045;0,584117383087891;0,560202668273921;0,53590716078397;0,529890362149964;0,522070874429075;0,512235994615215;0,49847206060654;0,486620919252839
"2022-03-31";"60+";15;26,4;20;22;24;26;29;30;30;32;33;35;176;240,2;222;229;234;241;248;250;252;255;260;264;0,568412747675407;0,628655259042289;0,607563149563062;0,588758845231696;0,567084036571321;0,543880795820726;0,537629571448395;0,530411945081522;0,521722089489987;0,509099067077536;0,498101314776746
"2022-03-31";"alle";25;44,2;35;38;41;44;48;49;50;51;53;55;260;353,6;330;339;346;355;364;367;370;373;379;384;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-30";"0-60";20;28,4;23;25;26;28;30;31;32;33;34;35;88;111,9;102;105;108;112;116;117;118;120;122;124;0,703775413994942;0,751019677246594;0,734819720860357;0,719969907209908;0,702544593042522;0,683938679246157;0,679163198907396;0,673418231226704;0,666109933023694;0,655657693785305;0,646074913900904
"2022-03-30";"60+";30;42,9;36;38;40;43;46;46;47;48;50;52;198;259,2;242;248;253;260;267;269;271;274;278;282;0,699504622785998;0,744300496970053;0,729592679004567;0,715447216870943;0,698841572266139;0,680761797824747;0,676375391803236;0,670664348086025;0,664212373307407;0,654565736928884;0,645297809244269
"2022-03-30";"alle";50;71,3;62;65;68;71;75;76;77;78;81;83;286;371,1;350;357;364;372;381;383;386;389;394;399;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-03-29";"0-60";22;28;24;25;26;28;30;30;31;31;33;34;87;104,5;97;99;102;105;108;109;110;111;113;115;0,78567978782989;0,821222007010972;0,809481464496013;0,797758860445435;0,784051664472236;0,769703697511609;0,766065285903021;0,761688462099499;0,755966663944637;0,747094224772292;0,738636999872111
