"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"2022-04-05";"0-60";5;36,9;25;29;33;37;42;43;44;46;49;51;85;200,6;175;183;191;201;211;214;217;221;227;232;0,135319524973885;0,162184486822399;0,152342161575066;0,144081367144183;0,135461211973159;0,126710609035566;0,124845341450587;0,122358563640181;0,119430255776836;0,114955126426591;0,111521349444397
"2022-04-05";"60+";9;60,9;44;50;55;61;67;69;71;73;76;80;176;408,2;365;380;394;409;425;429;434;440;449;458;0,147693946818729;0,174681800106845;0,164996971870586;0,156711729074412;0,14765693401495;0,139134803784129;0,136963755121065;0,134547316800041;0,131576328055475;0,127381899360151;0,123730269883684
"2022-04-05";"alle";14;97,9;75;82;90;98;107;109;112;115;120;124;261;608,8;550;570;588;610;633;639;646;654;667;679;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-04";"0-60";2;9,8;5;6;8;10;12;12;13;14;15;16;107;194,9;173;180;187;195;204;206;208;211;216;221;0,204081033245073;0,247764475057169;0,232115946756095;0,218665878632672;0,203951630828039;0,189654415886712;0,185926174558945;0,182068392892652;0,17709432124108;0,169675439666574;0,163005523122705
"2022-04-04";"60+";6;29,7;19;23;26;30;34;35;36;38;40;42;248;442,3;406;418;430;443;457;460;464;469;478;486;0,20233494715641;0,245224613045551;0,23018088952528;0,216733387977316;0,202294463668708;0,188101973288624;0,184521829725062;0,18066121758096;0,175763670438544;0,16860902358019;0,162779758947234
"2022-04-04";"alle";8;39,5;27;31;35;39;44;46;47;49;52;55;355;637,1;588;605;620;638;657;662;668;675;686;696;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-03";"0-60";7;40,2;28;32;35;40;45;47;48;50;54;56;112;193,6;173;180;186;194;202;204;206;209;214;218;0,174059641260106;0,213412523009058;0,198737797232322;0,186707882631609;0,173901832585793;0,161100992664369;0,158125424161452;0,154590201574364;0,150329282107757;0,144215588697763;0,138663789764025
"2022-04-03";"60+";7;44,1;30;35;39;44;49;51;52;54;58;61;265;441,1;408;419;430;442;454;457;461;466;474;480;0,158885918632443;0,195006091837772;0,18191465225096;0,170665366960258;0,158910431334253;0,147228179689462;0,144398699438789;0,141110268694073;0,137164359963923;0,131508788907733;0,126670116672285
"2022-04-03";"alle";14;84,3;63;69;76;84;93;95;98;102;107;112;377;634,7;589;605;620;636;653;657;663;669;679;688;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-02";"0-60";10;26,6;19;21;24;27;30;30;31;32;34;36;118;172,1;157;162;167;172;178;179;181;183;187;189;0,375608119724609;0,417901709715768;0,40319961629541;0,390038204255004;0,374775291473326;0,359935700490598;0,356484014669523;0,352201933720134;0,346806556187716;0,338887143764447;0,332034797375847
"2022-04-02";"60+";23;66,6;52;57;62;67;72;73;75;77;80;83;282;432,4;403;413;422;433;444;446;449;453;460;466;0,345086861480249;0,38607126485285;0,371471233484664;0,359178406054563;0,344475900045123;0,330692509340571;0,327035693658106;0,323429508187037;0,318123347000462;0,310346018065947;0,304364191999476
"2022-04-02";"alle";33;93,3;76;82;87;93;100;102;103;106;110;114;400;604,4;569;581;592;605;618;622;626;631;639;646;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-01";"0-60";10;18;13;14;16;18;20;21;21;22;23;24;132;177;164;168;172;177;182;183,2;185;187;190;193;0,554163571553134;0,59216171018862;0,579316984871358;0,566949355046959;0,553252646634769;0,53942295248153;0,536104879166361;0,53193311145252;0,526763819561103;0,51854187890482;0,511669325400575
"2022-04-01";"60+";46;88,6;75;80;84;89;94;95;97;99;102;104;304;425,7;401;410;417;426;435;438;440;444;449;454;0,519174138405736;0,557405002576017;0,543872014482982;0,53198415255763;0,518874138632667;0,505214927718313;0,501960098492749;0,497958203189725;0,493012084678985;0,484782321331392;0,478284638998348
"2022-04-01";"alle";56;106,6;92;97;101;107;112;114;115;118;121;124;436;602,7;573;583;592;603;615;618;621;625;632;638;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
