"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"2022-04-06";"00-04";16;67;53;58;62;67;72;73;75;77;80;82;218;401,9;375;384;393;402;412;414;417;421;427;431;0,238662432839242;0,255512192213543;0,249461270905891;0,244201607980414;0,238446148285235;0,232861724093719;0,231448891330501;0,229821726013175;0,227849502425937;0,224506617122124;0,221560318038858
"2022-04-06";"05-14";16;52,6;41;45;48;52;57;58;59;61;63;66;145;258,5;237;245;251;259;267;268;271;273,1;278;281;0,304278891732091;0,324372889349996;0,317453311929627;0,311079516403403;0,303998602468181;0,297041874763148;0,295330546452218;0,293314196321966;0,290671177434496;0,287333081671545;0,283832043727614
"2022-04-06";"15-34";53;200,3;175;184;191;200;209;211;214;217;223;227;581;1080,7;1033;1049;1064;1081;1098;1103;1108;1114;1123;1131;0,26465793547769;0,278395588245844;0,273529773800512;0,269288011800149;0,264659344923053;0,259912187956523;0,25875048293042;0,257499252816364;0,255722593475831;0,25322404396422;0,25119002097244
"2022-04-06";"35-59";97;388,8;351;364;376;389;403;406;410;415;423;429;933;1831,3;1761;1785,9;1807;1831;1857;1863;1871;1881;1895;1907;0,249475339113107;0,262344685299934;0,257789884782668;0,253722685573577;0,24946110688779;0,245181049076271;0,244022240679923;0,242822916697687;0,24112101072196;0,238546652514411;0,236533634750468
"2022-04-06";"60-79";159;762,8;703;723;742;763;785;791;797;805;817;828;1674;3486,3;3372;3412;3447;3488;3529;3539;3552;3567;3590;3610;0,208453577863795;0,219467881112589;0,215585783669842;0,212243398556289;0,208481076776959;0,204732515938053;0,203812944809618;0,202748451570172;0,201345862054689;0,199307660022547;0,197517613481899
"2022-04-06";"80+";177;865,5;799;822;842;866;889;895;902;911;924;935;1948;4058;3928;3972;4013;4059;4104;4115;4129;4146;4172;4195;0,204517459463705;0,215264453505952;0,211567753938786;0,208194396333558;0,204488762061771;0,200905562132594;0,19998836396443;0,198982230762655;0,197565466763473;0,195478807852724;0,193732351141761
"2022-04-06";"alle";518;2336,9;2203;2250;2291;2338;2385;2398;2411;2429;2457;2479;5499;11116,8;10842;10938;11025;11120;11220;11245;11273;11311;11364;11412;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-05";"00-04";41;87,1;74;79;82;87;92;93;94;96;99;102;268;417;393;401;409;417;426;428;431;434;439;443;0,470604424195109;0,487037668654222;0,481264980044786;0,476206229915275;0,470353898547664;0,464389019534929;0,462908212874719;0,461283026404745;0,459155091430762;0,456090444797018;0,45349866755607
"2022-04-05";"05-14";31;59,6;50;53;56;60;63;64;65;67;69;71;168;254,9;237;243;249;255;262;263;265;268;271;275;0,519844434694671;0,536850734370739;0,530768365063659;0,525432441927848;0,519445187757658;0,513367137184445;0,511812370565464;0,510052880517371;0,507706218846046;0,504314868175473;0,501325951448213
"2022-04-05";"15-34";107;224,8;204;210,9;217;225;233;234;237;239;244;248;680;1072,4;1031;1045;1058;1072;1087;1091;1095;1100;1109;1116;0,476064200148404;0,490059931969787;0,485219277849545;0,480833529944975;0,475923705394031;0,471014510469669;0,469758697156735;0,468280541340182;0,466522431659581;0,463917064375275;0,461589703072655
"2022-04-05";"35-59";157;344,6;316;326;335;344;355;357;360;364;369;374;1111;1794,2;1737;1756;1774;1794;1815;1820;1826;1833;1845;1855;0,455648705225905;0,469051623375073;0,464558086870775;0,460334852141712;0,455617808343049;0,450681251875564;0,449417383662969;0,448118112966816;0,446320079807311;0,443941576239816;0,441615547128817
"2022-04-05";"60-79";302;716;671;686;700;716;732;736;741;747;756;763;2026;3379,3;3290;3322;3349;3381;3412;3420;3429;3441;3458;3473;0,421793910151823;0,43475020674392;0,430318522393683;0,426396276453029;0,421715773237314;0,417168942708204;0,416036792148551;0,414667996881789;0,413012603402999;0,410274146275717;0,408197659422511
"2022-04-05";"80+";391;931;879;896;913;931;950;955;960;967;978;987;2355;3942,1;3842;3877;3908;3942;3978;3987;3997;4010;4030;4049;0,419973206532485;0,432928961388206;0,42856629932018;0,424465927631154;0,419963287684689;0,415439261785502;0,414268461220625;0,412841507671125;0,411225153650323;0,408586292646363;0,406637885949812
"2022-04-05";"alle";1029;2363,1;2267;2299;2330;2364;2399;2407;2417;2430;2448;2464;6608;10859,9;10659;10728;10792;10861;10936;10955;10976;11002;11042;11076;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-04";"00-04";11;22,8;17;18;20;23;25;26;26;27;29;30;300;415,7;395;402;408;416;423;425;428;430;435;438;0,483359522703423;0,501779753630465;0,495083866665983;0,48939085861738;0,482933845946975;0,476200371387594;0,474542883164742;0,472780562760605;0,470496362161694;0,466989540745631;0,464055536983135
"2022-04-04";"05-14";7;13,6;9;10;12;13;15;16;16;17;18;19;173;238,1;223;228;233;238;244;245;247;249;252;255;0,513302290102576;0,531501835375976;0,525031644635259;0,519204142405914;0,512681598089564;0,506087801406219;0,504421596518455;0,502392516792763;0,499840999368559;0,496270505421534;0,49296822575076
"2022-04-04";"15-34";21;44,6;36;38;41;44;48;49;50;51;53;55;731;1035,1;999;1012;1023;1035;1048;1051;1055;1059;1066;1072;0,470900229455444;0,48784362321158;0,481758543313502;0,476625486135614;0,470741360181411;0,464685331845105;0,463322622409288;0,461614984173418;0,459476216810204;0,456215851043359;0,453468599752673
"2022-04-04";"35-59";45;100,4;86;91;95;100;106;107;109;111;114;117;1230;1779,6;1730;1746;1762;1780;1797;1802;1807;1813;1824;1832;0,448162171062819;0,464959761625873;0,459108603631077;0,453920247759497;0,448085052485905;0,442028913522348;0,440658104545874;0,438969489274781;0,436861028885327;0,433809961000789;0,431107378542651
"2022-04-04";"60-79";100;235,5;212;220;227;235;244;246;249;252;257;261;2216;3252,9;3181;3205;3228;3254;3279,2;3286;3294;3303;3318;3330;0,424668436855375;0,440951830780512;0,435225062647631;0,430147457482122;0,424568865262098;0,419019832886775;0,417595348479912;0,415944482046564;0,413755642230127;0,410755347214664;0,407901094019533
"2022-04-04";"80+";101;237,6;214;221;229;238;246;248;250;254;259;263;2578;3747;3669;3695;3719;3747;3775;3782;3790;3800;3817;3831;0,425125672175743;0,441387364457862;0,435666090722748;0,430683255528524;0,425102533867744;0,419429056849089;0,417995911581318;0,416355978395888;0,414350097289319;0,41126293211002;0,408741719005186
"2022-04-04";"alle";285;654,5;610;626;640;655;670;674;678;684;693;700;7228;10468,4;10310;10367;10416;10471;10526;10541;10557;10579;10609;10634;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-03";"00-04";20;39,4;31;34;36;39;42;43;44;45;47;49;306;414,1;394;401;407;414;422;423;426;428;432;436;0,508176890881685;0,523958106077612;0,518628790924219;0,51345335685778;0,507514055445151;0,501490586647154;0,500032122986153;0,498374585944597;0,49620871581563;0,49298361755908;0,490218301467287
