"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"2022-04-12";"00-04";30;114;95;101;107;114;121;123;125;127;131;135;216;421,6;359,632085714286;382,092136585366;397,704700854701;422;447,298717948718;436;439;464,736136585366;449;487,213085714286;0,263177358338055;0,282597495904824;0,275737667800257;0,269625340842178;0,26304794440062;0,256281682652903;0,254766204616835;0,252887994188235;0,250399214912548;0,246995555405804;0,244020599351158
"2022-04-12";"05-14";13;38,5;29;32;35;39;42;43;44;45;47;49;132;232,7;195,81353442029;207,260923076923;221,602363636364;233;244,791454545455;242;244;261,344;251;272,582320652174;0,337318292018677;0,361370467609095;0,352818227471528;0,345153456821963;0,33700248849585;0,328838569832093;0,326830364774372;0,32445370088083;0,321392769674398;0,317222985368322;0,313343651541264
"2022-04-12";"15-34";61;203,9;179;187;195;204;213;215;218;221;226;230;513;987,7;843,649534190031;895,836872320596;944,037661654135;988;1035,54555639098;1010;1015;1081,24868965517;1031;1139,44104509346;0,299187658518953;0,315380954906722;0,309681669666777;0,304496619522618;0,299103633520975;0,293710221267157;0,292387143275427;0,290812191769289;0,288758687746378;0,286045903090728;0,283502106894719
"2022-04-12";"35-59";88;307;274;286;295;307;318;321;325;329;336;341;913;1738,4;1539,32209122959;1597,38106314581;1639,7318670797;1739;1846,34462404956;1770;1777;1892,75856601607;1800;1949,70199088789;0,286678206703538;0,301575551829488;0,2963090942816;0,291752203822036;0,286635170204491;0,281489075520007;0,280287821038766;0,278850204205535;0,277132999768125;0,274571644618452;0,272096362911996
"2022-04-12";"60-79";127;526,4;479;495;510;526;543;547;552,1;559;568;576;1644;3241,5;2863,3568034188;2994,21263075722;3128,03700906344;3242;3358,59380664653;3291;3302;3495,60908977361;3338;3639,99170940171;0,241245144722934;0,254198001619632;0,249547505356952;0,245679509385436;0,241324319434281;0,236904691493555;0,235703912896265;0,234510087124401;0,232849942790152;0,23044041134049;0,228528646119565
"2022-04-12";"80+";182;767,4;705;727;746;767;789;794;801;809;822;831;1868;3788,4;3232,9721192053;3402,13260349063;3546,32685555556;3789,5;4042,74413333333;3845;3858;4184,85670433096;3900;4375,71847682119;0,237169099091181;0,25005018785364;0,245524815348575;0,241476306286383;0,237124230302008;0,23280161954016;0,231742844485074;0,230487792763638;0,228982259341078;0,226708257360044;0,224838214249308
"2022-04-12";"alle";501;1957,2;1837;1879;1916;1957;2000;2010;2023;2038;2061;2080;5286;10410,3;9639,67141809733;9854,95207179812;10115,4101267921;10415;10722,0764619176;10537;10566;11007,3846765917;10659;11256,4747926796;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-11";"00-04";8;25,9;18;21;23;26;29;30;31;32;33;35;235;366,3;321,140376190476;337,475385365854;349,843803418803;367;385,912179487179;377;379;397,946604878049;387;416,319852380952;0,308333906409306;0,328599674215295;0,321543042797165;0,315036052213006;0,308029296087857;0,300872862829652;0,299009056978266;0,297025321534071;0,294638031666369;0,291012828578599;0,287570519491273
"2022-04-11";"05-14";6;16,6;11;13;14;16;19;19;20;21;22;24;153;235,3;202,907317028985;212,665230769231;224,864909090909;236;246,397636363636;244;246;260,739076923077;252;272,18646557971;0,362038017757312;0,384262105022226;0,376485283677202;0,369365333100721;0,36132487868127;0,353670536952672;0,351804561879662;0,349264829780754;0,346480045723458;0,342106152954334;0,338455304328198
"2022-04-11";"15-34";30;93,8;78;83;88;94;99;101;103;105;108;111;597;960,1;841,487604127726;883,968784094439;923,235390977444;960;999,056218045113;978;982;1038,47863187325;996;1086,99455817757;0,319921026898843;0,339168649846087;0,331916383747923;0,326136805151592;0,319755641315429;0,313332583478627;0,311824493086118;0,30993064106312;0,307689773275894;0,304245373178077;0,301297345066118
"2022-04-11";"35-59";33;109,7;92;98;103;110;116;118;120;122;125;128;1055;1713,8;1545,57334609752;1593,74333754305;1630,31157983667;1715;1803,19164179104;1741;1747;1841,47930769231;1766;1894,83283516841;0,300931061565549;0,319344275191257;0,312545256639272;0,306864276802976;0,300835846975959;0,294564136250851;0,293176980226128;0,291361984754347;0,289297930319319;0,286118039469032;0,283221978846863
"2022-04-11";"60-79";61;227,2;200;209;217,8;227;237;240;243;246;252;257;1925;3217,5;2913,96801709402;3014,55381420765;3125,2167673716;3219;3315,83459214502;3258;3267;3430,6787665886;3298;3541,3804957265;0,26844540100103;0,285165626475187;0,27915460636693;0,274073987615551;0,26830548071535;0,262742067834776;0,261420297807151;0,259861252869007;0,257783291180748;0,254856642667453;0,252049623894409
"2022-04-11";"80+";76;285,5;254;265;274;286;297;300;304;308;315;320;2215;3672,5;3231,7896799117;3369,13651712993;3480,06858333333;3673;3870,50913888889;3717;3727;3985,12648998061;3759;4130,92731788079;0,266153719891427;0,28294884347723;0,276838152577528;0,271741750961236;0,266043398234298;0,260507732030661;0,259081485714023;0,257488211615739;0,255447759953231;0,252679405815585;0,250334071181815
"2022-04-11";"alle";214;758,7;699;719;738;759;781;787;793;801;813;824;6180;10165,6;9577,25526758563;9743,24902375673;9941,69634229391;10169;10410,7682508961;10263;10286;10627,8189150037;10355;10813,4659893901;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-10";"00-04";11;30;22;25;27;30;33;34;35;36;38;39;244;362,1;319,37049047619;333,678526829268;346,094658119658;362;379,908760683761;372;374;392,13403902439;381;408,474680952381;0,367158692801998;0,386269006023573;0,379475954019741;0,373483400115327;0,366634727311274;0,359767726016163;0,358167457820474;0,356101382349755;0,353538471724208;0,349839704365993;0,346779881361886
"2022-04-10";"05-14";9;22,4;16;18;20;22;25;26;26;27;29;30;156;230,4;199,692485507246;207,564923076923;221,455636363636;231;241,332;238;240;255,638769230769;246;265,226815217391;0,401808776871468;0,421959992774852;0,414567681536165;0,408274099914418;0,400991850811031;0,393547673306486;0,391653622800882;0,389439103133937;0,386993675760048;0,383230301296644;0,379484187554097
"2022-04-10";"15-34";26;72,3;59;64;67;72;77;78;80;82;84;87;602;911,8;802,948723987539;844,939374961168;878,334255639098;912;946,311548872181;928;932;982,593602982293;944;1024,79235716511;0,359696863437015;0,376923847627528;0,370830645988593;0,365547863290256;0,359540078647739;0,353281509359585;0,351858791690394;0,350181493791562;0,347931747942566;0,344773202955335;0,342065761770792
"2022-04-10";"35-59";51;151,4;131;138;144;151;159;161;163;165;169;173;1078;1677,4;1519,0690316212;1564,96598277842;1599,81480146438;1678;1764,26168966488;1702;1708;1799,99754420207;1726;1845,04455475403;0,336795977883974;0,353326620665912;0,347755552734688;0,342436352977784;0,336633754904938;0,330864702826421;0,329354021043343;0,327606830753662;0,325463640685503;0,322207935331481;0,319525094211175
"2022-04-10";"60-79";95;303;272;282;292;303;314;317;320;325;331;337;1993;3159,8;2882,38194188034;2972,88485745511;3072,66042296072;3160;3251,17552870091;3197;3206;3358,31206744731;3234;3455,53171965812;0,313541481931248;0,329093438765211;0,323819770218893;0,318957649048545;0,313524438918754;0,307984222958898;0,306586706849512;0,30491038293265;0,302877732884786;0,299896936784291;0,297530836514424
"2022-04-10";"80+";90;287,9;257;268;277;288;298;301;305;309;315;320;2278;3569,6;3177,16849889625;3293,56238810601;3393,34397777778;3569;3744,74047777778;3609;3619;3849,3428147382;3648;3983,29189845475;0,312617887155628;0,328274084776347;0,322893208675052;0,318046473679531;0,312507929242973;0,30699473630617;0,305627874438539;0,304083996426692;0,302239875566949;0,299209440922101;0,296799821900103
"2022-04-10";"alle";282;867;806;827;846;868;889;895;901;909,1;922;932;6351;9911;9393,05060035505;9537,238074121;9710,86265232975;9912;10126,773077957;9998;10018;10315,9087530356;10079;10480,4581797201;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-09";"00-04";36;68,2;58;61;64;68;72;73;74;76;78;80;259;366,8;326,703114285714;340,998946341463;351,47094017094;367;383,030769230769;376;378;395,423043902439;385;411,757114285714;0,527958372225209;0,544358311157563;0,53840302688327;0,53322327516758;0,52739531818372;0,521188746633199;0,519661429745108;0,517938438639198;0,515672296884919;0,512145427563299;0,509379715227558
"2022-04-09";"05-14";24;44;36;38;41;44;47;48;49;50;52;54;156;220,2;191,739376811594;199,768615384615;211,586909090909;220;229,806909090909;228;229;241,833230769231;235;253,528887681159;0,54546408898142;0,561850369383612;0,55588058354919;0,550393920611233;0,54444633155558;0,538273985385882;0,536720775977451;0,534885079477992;0,532475269483751;0,529080580897734;0,526170014976739
"2022-04-09";"15-34";90;176,8;158;165;170;177;183;185;187;189;193;197;639;924,8;821,864554205608;860,748644920783;893,948766917293;925;956,697037593985;940;944;989,975063063063;955;1031,87652694704;0,509065248402587;0,524332588470527;0,51884018517718;0,514073174037151;0,508683682610903;0,503495142768821;0,50221696197128;0,500641592328589;0,498515362500523;0,495679390636183;0,493057784817849
"2022-04-09";"35-59";132;271,7;248;256;263;272;280;282;285;288;293;297;1132;1668,9;1523,66626246135;1564,40623823192;1597,63968177978;1670;1749,43680934948;1692;1698;1780,38118656716;1714;1826,35781965613;0,485805641990091;0,500693335976308;0,495421137655676;0,490756044764703;0,48569784835572;0,480525660120646;0,479145786164465;0,477563747107988;0,475685458130744;0,472902872812552;0,470430628995008
"2022-04-09";"60-79";229;488;454;466;477;488;500;503;507;511;518;525;2064;3084,1;2829,40444786325;2913,21590070258;3005,12975830816;3084;3162,46510574018;3118;3125;3261,12364777518;3150;3351,68294358974;0,4692520504769;0,483695388562746;0,478590452351782;0,474124278561912;0,469151193806641;0,464181420252536;0,462945231719355;0,46155975803319;0,459638529102901;0,456790032678018;0,454465536801739
"2022-04-09";"80+";271;577,5;540;553;564;577;590;594;598;603;611;618;2372;3533,5;3168,0869205298;3285,71455979315;3368,95719444444;3533;3698,04280555556;3570;3578;3790,54844731739;3605;3907,77157836645;0,469288559545217;0,48357754627324;0,478657721167476;0,474053483750827;0,469198056577787;0,464221557133364;0,462973687935645;0,461697304697583;0,459870546052596;0,456930119386676;0,454627634613982
"2022-04-09";"alle";782;1626,2;1556;1580;1602;1626;1652;1658;1666,1;1676;1689;1701;6622;9798,3;9339,58569744152;9464,09454460986;9619,11453091398;9800;9988,11776568101;9875;9892;10158,6687902017;9946;10306,8061232978;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-08";"00-04";41;64,2;55;58;61;64;68;68;69;71;73;74;267;354,2;319,368361904762;331,624078048781;340,223504273504;354;369,52905982906;363;365;380,001053658537;371;394,296885714286;0,638636602304299;0,651853063368674;0,647262925944065;0,642799147767398;0,63782033716514;0,632847227758857;0,631580721192093;0,630027592501366;0,628073051177167;0,625311478206917;0,623000768176915
"2022-04-08";"05-14";18;28;22;24;26;28;30;31;31;32;34;35;154;204,5;179,222472826087;187,473846153846;197,046363636364;205;213,61;211;212;223,529230769231;217;233,522346014493;0,643345026282482;0,656444449312233;0,651489671556001;0,647118684547356;0,642163295653922;0,637027274675451;0,635789619552277;0,634232155965119;0,632340568575865;0,629516469038661;0,626905711275713
"2022-04-08";"15-34";84;136,3;122;127;131;136;141;142;144;146;149;151;655;882,9;794,458338239876;826,995527803666;854,401827067669;883;911,92107518797;897;899;942,175596147872;909;977,849075;0,616418608581318;0,629164585625056;0,624666659333846;0,620648324363258;0,616098656642654;0,611419047729768;0,610272161262694;0,609012728295543;0,607343118347355;0,604874109442832;0,602832885346603
"2022-04-08";"35-59";157;263,2;243;250;256;263;270;272;274;277;281;285;1191;1640,7;1510,60084032109;1546,3697652124;1574,4995860321;1641;1709,43036609406;1661;1666;1740,11199827784;1682;1784,18744009329;0,596592502139013;0,609392044597087;0,604950845377292;0,600915830131576;0,596413717238069;0,591789231718981;0,590702555254821;0,589351464749826;0,587633989428976;0,585116896746717;0,582776024167854
"2022-04-08";"60-79";321;548,3;517;528;537;548;559;562;565;569;576;581;2181;3038,9;2815,4055008547;2889,16323434817;2966,58625377643;3039;3111,81888217523;3069;3075;3189,31893770492;3097;3273,24703931624;0,585498235223089;0,598011738948343;0,593546492012806;0,589761281832244;0,585415580155394;0,580959437038941;0,579882957407127;0,57862683983585;0,576792004505177;0,574347528761686;0,572278317976303
"2022-04-08";"80+";348;593,8;561;572;582;594;605;608;612;616;622;628;2483;3444,9;3126,43696467991;3227,68248325792;3306,01471666667;3444;3584,90082777778;3476;3484;3667,6753210084;3507;3764,24888520971;0,586070494727221;0,598219590108041;0,594127752659827;0,590367994620479;0,58599689448639;0,581443338375247;0,580417803176055;0,579189102772028;0,577570572337242;0,575270550781334;0,573057823101288
"2022-04-08";"alle";969;1633,6;1575;1595;1613;1634;1655;1660;1666;1674;1686;1697;6931;9566,2;9176,45023076441;9285,25561904762;9418,59870609319;9567;9725,05901971326;9629;9645;9873,93065230704;9692;9992,00591528822;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-07";"00-04";31;43,4;37;39;41;43;46;46;47;48;49;51;285;361,8;327,7784;340,03036097561;348,725213675214;362;375,776495726496;370;372;386,391629268293;377;398,656733333333;0,714141966576581;0,724818146028243;0,720983517179054;0,717376501769324;0,713437783664687;0,709412944805827;0,708429761909542;0,707165019863716;0,705778087997503;0,703585450566428;0,70161246286421
"2022-04-07";"05-14";26;36,5;31;32;34;36;39;39;40;41;42;43;171;219,8;195,83315942029;202,172923076923;211,849454545455;220;228,413090909091;226;228;240,231384615385;232;248,260623188406;0,711578128877333;0,721976761239962;0,718039865082485;0,714495416078183;0,710567045228925;0,706419947069162;0,705430450328369;0,704312196969048;0,702765430114115;0,70055735511838;0,698365307634091
"2022-04-07";"15-34";100;144,3;132;136;140;144;149;150;151;153;156;158;725;934,7;849,807836370716;882,166651755203;909,339240601504;935;961,629466165413;947;950;988,918910220565;960;1024,32482780374;0,693084543748389;0,703801999699374;0,699991658629493;0,69653532783947;0,692772130785787;0,688951721645205;0,688016748058573;0,686937325174862;0,685499021002785;0,683402056088384;0,681499150406217
"2022-04-07";"35-59";217;320,8;301;308;314;321;328;330;332;335;339;343;1276;1673;1553,66967456745;1587,24524110218;1613,9677837229;1673;1736,24880315404;1692;1696;1765,10696326062;1710;1803,97230840158;0,676455512196056;0,68744115547246;0,683523389981778;0,680118541201679;0,676367687943763;0,672466522785671;0,67143336179953;0,670205489367649;0,668843222370689;0,666785582193861;0,665151999615767
"2022-04-07";"60-79";389;580,9;553;562;571;581;591;593;596;600;605;610;2303;3033;2836,29770940171;2896,56558938329;2969,46072507553;3033;3096,53927492447;3059;3065;3169,43441061671;3085;3253,44222222222;0,669615677367992;0,680214955206899;0,676413926683926;0,673252088984029;0,669577378513302;0,665806527250706;0,664902108015625;0,66380059138509;0,662391232893787;0,660411101339457;0,658793955277742
"2022-04-07";"80+";437;652,2;622;632;641;652;662,2;665;668;672;678;683;2628;3454,7;3172,55681015453;3261,56630174531;3328,08570555556;3454;3579,08320555556;3483;3489;3655,24410394312;3510;3748,3592384106;0,670054088411987;0,680343412777638;0,676873032970748;0,673549444125596;0,670029391837678;0,666343615403378;0,665397418811321;0,66428674381506;0,662869556773974;0,660873909138269;0,659251139652119
"2022-04-07";"alle";1200;1778,1;1726;1743;1759;1778;1797;1802;1807;1814;1824;1834;7388;9677;9333,60813283208;9427,82538274733;9545,6598655914;9678;9817,72157258065;9733;9747;9944,86271354662;9787;10054,7310538847;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-06";"00-04";59;75,9;68;71;73;76;79;79;80;81;83;85;305;378,7;344,88090952381;357,131931707317;365,850641025641;379;392,901923076923;386;388;401,477492682927;394;415,759242857143;0,77765587073947;0,786135569114017;0,783050492629133;0,780376904216674;0,777165663897828;0,774017767878629;0,773213709837124;0,772215949951104;0,771011284901498;0,769389047214952;0,767676292937343
"2022-04-06";"05-14";36;46,7;41;43;44;47;49;49;50;51;52;54;178;222,9;198,745918478261;207,075692307692;216,440181818182;223;231,347454545455;229;230;241,128;235;249,300972826087;0,771529828817482;0,779982908446842;0,776843581179281;0,77400134953925;0,770800527256332;0,767582149542939;0,766831715492389;0,765932247731574;0,7646640681406;0,762702578908897;0,760875115706122
"2022-04-06";"15-34";122;160,5;149;153;156;160;165;166;167;169;171;173;790;985,5;901,199419392523;933,528505747126;960,662142857143;986;1010,33785714286;998;1001;1040,28076421249;1010;1072,75849571651;0,7603477058831;0,769119299575225;0,766078386950621;0,763228962332064;0,760193302252436;0,757048673299637;0,756268069566212;0,755275555961053;0,754088933192447;0,752431067651048;0,750790173656208
"2022-04-06";"35-59";235;314,7;297;303;309;315;321;323;325;327;330;333;1319;1659,5;1547,44591392309;1578,50939437428;1606,7926640383;1660;1716,42392283864;1677;1681;1740,49060562572;1693;1777,37507756143;0,746777017866013;0,755758072125423;0,7526710326088;0,749793511387143;0,746675013167489;0,743539014503891;0,742707044514189;0,741711201165302;0,740609124267266;0,738667349895968;0,737066800051669
"2022-04-06";"60-79";422;567,6;543;552;559;567;576;578;581;584;589;593;2378;3000,6;2822,21137094017;2879,17337455113;2944,32235649547;3001;3059,29818731118;3024;3030;3124,7553136612;3049;3195,26743931624;0,743455071950123;0,752092572824881;0,749098325231803;0,746426840589796;0,74340403432598;0,740432082782457;0,739680131522381;0,738763304274284;0,737517754739242;0,735837756983876;0,734372215036448
"2022-04-06";"80+";464;624,2;598;607;615;624;633;635;638;641;647;651;2768;3484,9;3228,44645695364;3309,36601525533;3373,90332777778;3485;3597,01221666667;3511;3517;3665,99178901099;3535;3751,09789183223;0,743408928761878;0,751969343058727;0,748985528224489;0,746367914734601;0,743341930828204;0,74029881563123;0,739529951537785;0,738706498648845;0,737553437213398;0,736038834094879;0,734473046583705
"2022-04-06";"alle";1338;1789,4;1744;1760;1774;1790;1806;1810;1814;1821;1830;1837;7738;9732;9420,08572065581;9510,85752718826;9619,42274193548;9734;9860,21298835126;9783;9794;9968,71588639003;9829;10061,0838727026;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-05";"00-04";49;58,7;53;55;57;59;61;61;62;63;64;65;319;386,4;355,213533333333;365,436643902439;374,226923076923;386;399,023931623932;394;395;409,782204878049;401;422,041676190476;0,834286195159794;0,840588968512143;0,83839231854248;0,836243909720608;0,833805469111645;0,831384100931129;0,830787400788859;0,830013768844712;0,829089865389949;0,827743681799366;0,826622527114015
"2022-04-05";"05-14";34;41,1;37;38;39;41;43;43;44;45;46;47;186;227,2;204,356605072464;210,774769230769;220,243272727273;227;235,150545454545;233;234;244,827076923077;239;253,03925;0,826979246953328;0,833509152424863;0,831045764369646;0,828858412643234;0,826345540720651;0,823700200669815;0,823069529695096;0,822328288613301;0,821343815131837;0,819944486849557;0,818495230821383
"2022-04-05";"15-34";145;176,3;166;169;172;176;180;181;182;184;186;188;837;1018,2;940,702624143302;969,880556694626;994,146496240601;1018;1043,82221052632;1030;1033;1068,20500528114;1042;1100,43004003115;0,822549842999981;0,829345410407302;0,826976809743611;0,824791901603968;0,822424385599545;0,819906741523887;0,819257531012114;0,818533690254567;0,817652937663379;0,816357995764797;0,815114962639064
"2022-04-05";"35-59";230;282,4;268;273;277;282;287;289;290;292;295;298;1410;1717,5;1614,17740114986;1642,86159873708;1664,7926640383;1718;1770,2073359617;1733;1737;1795,31450344432;1750;1829,55408607691;0,814441868045606;0,821517670784703;0,819039521688901;0,8168088797191;0,814355649917836;0,811788194810073;0,811142867215114;0,810422561743849;0,809576147042323;0,808269501487017;0,807017879754212
"2022-04-05";"60-79";408;502,5;484;490;496;502;509;511;513;515;519;522;2554;3114,9;2945,6682017094;3002,68269726776;3060,74033232628;3115;3169,66480362538;3138;3143;3234,62119531616;3160;3294,98433846154;0,811953618220129;0,818790342940015;0,816404461185701;0,814259395411718;0,811934960632641;0,809523048809375;0,808924802210861;0,808228961383638;0,807348585977294;0,806007919011938;0,804776769384711
"2022-04-05";"80+";529;651,5;630;637;644;651;659;661;663;666;670;674;2964;3614,3;3373,79175496689;3450,80792449903;3512,22768333333;3615;3724,18112777778;3639;3644;3784,27618047834;3662;3856,57994481236;0,811978019548999;0,818619609173253;0,816274048668431;0,814277787102146;0,811949802158729;0,809518697379295;0,808948533143746;0,808243848378258;0,807445655037252;0,806136869159033;0,805007432764449
"2022-04-05";"alle";1395;1712,5;1675;1688;1700;1712;1726;1728;1732;1737;1744;1750;8270;10078,5;9788,0477123538;9871,37359940872;9973,74060707885;10081;10198,8951232079;10126;10136;10298,0851314539;10170;10388,9834798977;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-04";"00-04";17;21,7;18;19;20;22;23;24;24;25;26;27;349;415,3;384,316042857143;394,538214634146;403,35235042735;415;428,149358974359;423;425;438,883775609756;430;451,144185714286;0,782735126970537;0,792795742968643;0,788947341772189;0,785773805229359;0,781962532431409;0,778016860532553;0,777019948191376;0,775753821753803;0,774311364707127;0,772033503571301;0,770198836266656
"2022-04-04";"05-14";9;11,7;9;10;10;11;13;13;13;14;15;15;189;227,6;205,880050724638;212,376615384615;221,637090909091;228;234,888;233;235;244,425846153846;239;252,690286231884;0,771069273997914;0,781714083857692;0,77760118537487;0,774039337341531;0,769946787542785;0,765734194137975;0,764591963902101;0,763415571563635;0,76184899012535;0,759399832716091;0,757213881064657
"2022-04-04";"15-34";35;45,4;40;41;43;45;47;48;49;50;51;52;863;1031,1;953,898415654206;983,061483690587;1007,30794736842;1031;1056,98366165414;1043;1045;1081,3859322771;1054;1110,66791643302;0,770918492867253;0,781151927080851;0,777587340445629;0,774334048658258;0,770645874853831;0,76681744109659;0,765916516199654;0,764771958524893;0,763312287916178;0,761235259455995;0,759216350134246
"2022-04-04";"35-59";56;73,2;66;68;70;73;76;77;77;79;80;82;1477;1763,1;1663,85209518902;1689,73203960964;1716,29588566601;1764;1817,49397071248;1779;1782;1839,00884213548;1794;1870,4972928893;0,764613005534483;0,775131441465281;0,771425868654685;0,768183896409384;0,764443269290411;0,760643133407335;0,759672953142743;0,758528404283885;0,757201365015362;0,755209417484091;0,753475444157874
"2022-04-04";"60-79";129;169,5;158;161;165;169;174;175;176;178;180;183;2694;3216,3;3052,49447179487;3106,12921342701;3166,98141993958;3217;3269,85453172205;3238;3243;3331,24599094457;3259;3391,63635213675;0,760911720402673;0,771339747130831;0,76769248061856;0,764456668799149;0,760845254939192;0,757119012254371;0,756183337308739;0,755120294200909;0,753767023993861;0,751689696437117;0,749964012422947
"2022-04-04";"80+";139;182,6;170;174;178;182;187;188;190;191;194;196;3109;3706;3475,67902869757;3553,16038267615;3605,601;3706;3811,97672222222;3730;3735;3868,10262443439;3751;3940,75022075055;0,761146194527772;0,771610780315705;0,767840390180437;0,764599740021462;0,761009716432387;0,757408955342747;0,756464382771748;0,755301122695572;0,754022152095882;0,75197792117311;0,750251895818859
"2022-04-04";"alle";385;504,2;482;490;496;504;512;514;516;519;524;527;8681;10359,5;10089,0789046053;10164,8323302714;10260,9948991935;10362;10473,6408310932;10404;10413;10566,6264005913;10445;10658,5370843254;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-03";"00-04";26;34,7;29;31;33;35;37;37;38;39;40;41;349;413,3;382,316042857143;392,538214634146;401,35235042735;413;426,149358974359;421;422;436,883775609756;428;447,11909047619;0,748901443176947;0,759549167391708;0,755671522429129;0,752047997230218;0,747900167131994;0,743588226919553;0,742430631999569;0,74115121939076;0,739590637754685;0,737171015301287;0,734978835066578
"2022-04-03";"05-14";9;12,3;9;10;11;12;13;14;14;15;16;16;191;228,9;206,618327898551;213,075692307692;222,440181818182;229;235,691090909091;234;236;245,124923076923;240;253,428563405797;0,733825492389121;0,745482823730122;0,741060373753492;0,73699546367654;0,732426562537032;0,72775197057884;0,726467700225982;0,725054079546062;0,723282901885684;0,720392547119572;0,717761503654497
"2022-04-03";"15-34";63;85,3;77;79;82;85;88;89;90;92;93;95;897;1065,1;987,898415654206;1017,06148369059;1041,30794736842;1065;1090,98366165414;1077;1080;1115,3859322771;1088;1147,62583154206;0,738738817891749;0,74939762613904;0,745693127065223;0,742179335284075;0,738271003044414;0,734460404659351;0,733419827197208;0,732291664758388;0,730893282237192;0,728732367271118;0,726655214240219
"2022-04-03";"35-59";105;142,9;131;135;139;143;147;148;150;151;154;156;1515;1797,4;1697,27894646634;1726,25531113662;1749,33090960293;1798;1850,52899464939;1813;1816;1872,35601148106;1828;1903,92414416662;0,734575915409014;0,744882756041172;0,741435361419573;0,738074697407357;0,734340205806779;0,730598871806139;0,729664233111018;0,728469579091209;0,727131998513792;0,72492483142012;0,723125448828613
