"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"2022-04-22";"0-60";2;12;6;8;9;12;15;16;17;18;20;22;28;59,8;35,5331363588941;40,6095157894737;49,5993846153846;60;72,9757948717949;67;69;84,2242526315789;75;94,3044467396975;0,167327332908393;0,237521646195116;0,210691493190027;0,189033260194167;0,166300993777595;0,144651342980499;0,139398845352373;0,133744542626343;0,126508253648111;0,116611940798893;0,10761901997042
"2022-04-22";"60+";7;44,5;28;33;38;44;52;54;57;61;67;72;103;244,1;176,010004010695;199,290612330859;224,000323554789;245;270,588977566868;269;275;306,131501079345;296;347,447998663102;0,157327376651947;0,222518335172801;0,198094629394881;0,178213499681032;0,157139893822866;0,137213547919105;0,132061804848254;0,126607021914806;0,120131248077662;0,110643866825453;0,102508056016831
"2022-04-22";"alle";9;56,4;36;42;49;57;66;69;72;76;83;90;131;303,9;208,575539290525;245,877473684211;275,856666666667;305;340,09;334;341;384,515368421053;366;451,184888190391;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-21";"0-60";2;5,6;2;3;4;5;7;7;8;8;9;10;34;59,4;39,6831732916015;43,2625473684211;52,1745641025641;60;69,1755897435898;65;67;78,1543368421053;71;85,183542618675;0,357559404223884;0,44106852252121;0,411425808287751;0,385981617127505;0,356149526089198;0,327248716017786;0,319913492033602;0,311279294482658;0,301059194812094;0,285167189836683;0,272462144265829
"2022-04-21";"60+";23;68,5;50;56;62;69;77;78;81;84;89;95;122;237,2;183,504326203209;201,798989101248;222,291630716135;238;256,900345125108;256;260;284,720275891118;276;314,508831550802;0,335942430076007;0,41786231234156;0,389222816893188;0,363616660270484;0,335792459795087;0,307706321364846;0,30098544247576;0,293192287151886;0,284119747554278;0,268137287220971;0,254660250343574
"2022-04-21";"alle";25;74,1;55;61;67;74;83;85;87;91;96;102;156;296,6;222,862040413112;251,072;275,293333333333;298;323,86;319;324;355,478315789474;342;402,431164795689;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-20";"0-60";17;31,3;24;26;28;31;34;35;36;38;40;41;44;69,9;49,2352489306208;54,8529157894737;61,612;70;80,7381538461538;76;77;89,7447052631579;81;96,6314669796557;0,543291115076794;0,613492291341445;0,589595198530106;0,567159128523343;0,542103791332394;0,514807778200963;0,508055697420867;0,500136227443313;0,489374360439952;0,473913252253854;0,460395216569409
"2022-04-20";"60+";46;88,6;73;78;83;89;95;97;99;102;106;110;133;214,6;176,430786096257;189,723613963039;203,152502157032;215;228,443485763589;227;231;245,695482546201;240;265,384462566845;0,519134224059285;0,589484365871487;0,565965986075188;0,543986978434047;0,518718683339095;0,492415831103248;0,485566350352034;0,477845444520116;0,467529651260031;0,452193785844367;0,439387029552857
"2022-04-20";"alle";63;119,9;100;107;113;120;128;131;133;137;142;147;177;284,5;228,145859901212;251,124210526316;268,05;285;305,65;301;305;328,145263157895;317;359,95723843736;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-19";"0-60";1;1,4;1;1;1;1;2;2;2;2;3;3;41;56,3;42,4603043296818;44,7420947368421;51,4122051282051;56;64,1629743589744;60;61;70,9109368421053;64;74,6897326030256;0,691294679967668;0,747827476825309;0,729125970455612;0,710978158022853;0,689645497985121;0,666395523243187;0,661048636146394;0,654169474055164;0,64590120285356;0,632502740632909;0,620601250204068
