"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
"2022-04-22";"0-60";8;16,5;11;13;14;16;19;19;20;21;22;24;51;75,3;65;68;72;75;80;81;82;83;86;88;0,484241161099445;0,560218980207432;0,534207549760662;0,510239122509397;0,482430923341436;0,454850209906291;0,447640730094516;0,439292210896201;0,428720746208851;0,413982102434074;0,399894166149038
"2022-04-22";"60+";16;42,2;31;34;38;42;47;48;50;52;55;58;152;244,2;218;226;235;245;255;258;262;266;273;280;0,379455251311345;0,457290867949303;0,430438170732933;0,405843142692341;0,378501330637213;0,351163724549834;0,344585710616874;0,337037640560183;0,326712400329281;0,312115591804491;0,299792146513172
"2022-04-22";"alle";24;58,7;45;49;53;59;65;66;68;70;74;78;203;319,5;288;298;308;320;333;336;341;346;355;363;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-21";"0-60";11;17,1;13;14;15;17;19;19;20;21;22;23;61;80,1;71;74;77;80;84;85;86;87;89;91;0,642333798966024;0,70386038326083;0,683290086756382;0,663477880980056;0,641484823770956;0,617750147893715;0,611767230249162;0,604746634233517;0,595695237272416;0,582218047767552;0,570230962706584
"2022-04-21";"60+";42;73,1;61;65;68;73;78;80;81;83;86;90;162;233;212;219;225;233;242;244;247;250;256;260;0,574587131515237;0,64123725823974;0,6199345040675;0,59804650287944;0,574054764091166;0,549573849855453;0,542986168612433;0,535219349453324;0,526022056853101;0,512224921541568;0,500172367385199
"2022-04-21";"alle";53;90,2;76;81;85;90;96;98;99;102;105;109;223;313,1;288;296;304;314;324;327;330;334;340;346;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-20";"0-60";19;25,7;21;22;24;26;28;28;29;30;31;32;76;92,5;85;87;90;93;96;97;98;99;101;102;0,738063494350374;0,786938342520677;0,770374192950985;0,755108333399246;0,737280383565377;0,718369882065143;0,71342453716349;0,707767960064734;0,700305145292816;0,689396696345917;0,679158475122192
"2022-04-20";"60+";55;78,8;68;72;75;79;83;84;85;87;90;92;155;199,9;185;190;194;200;206;208;209;212;215;218;0,69774140988938;0,751011083964593;0,732928453662671;0,71639399686085;0,696937677863648;0,677365442604564;0,672522312107597;0,666551145083629;0,659013838149684;0,646884205396922;0,636304459996922
"2022-04-20";"alle";74;104,6;92;96;100;104;109;111;112;114;117;120;231;292,5;275;280;286;293;300;302;304;307;312;316;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-19";"0-60";9;10,8;9;9;10;11;12;12;12;13;13;14;75;86,8;80;83;84;87;90;90;91;92;94;95;0,835434483643865;0,867658245838973;0,857121908534127;0,846998690094004;0,834591279016577;0,821437084978727;0,817792358688158;0,813820631255724;0,808599554502803;0,800725930419794;0,792612379411695
"2022-04-19";"60+";11;13,5;11;12;12;13;14;15;15;16;16;17;149;175,7;165;169;172;176;180;181;182;184;186;189;0,814993744979944;0,849976947425304;0,838528509043404;0,828034763434931;0,814406474032664;0,800706327578948;0,797167288734638;0,792724272598982;0,787434438852788;0,778741097949714;0,770801576064349
"2022-04-19";"alle";20;24,3;21;22;23;24;26;26;27;27;28;29;224;262,6;250;254;258;263;268;269;271;273;276;279;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-18";"0-60";2;2,6;2;2;2;2;3;3;3;4;4;5;99;111,6;105;107;109;112;114;115;116;117;118;120;0,758327251525853;0,810347488362023;0,792821942490064;0,77616496953977;0,75656723587943;0,735364792927799;0,729712523249115;0,72380035265376;0,714618643836195;0,701694600401992;0,689575331105283
"2022-04-18";"60+";10;13,6;10;11;12;13;15;15;16;16;17;18;203;232,2;221;225;228;232;237;238;239;241;243;246;0,737023572871543;0,791791278639685;0,773551375741704;0,756919598814672;0,735859057319326;0,713932059014239;0,708578004858292;0,701535720771892;0,692691001878882;0,67990698753794;0,668627665460371
"2022-04-18";"alle";12;16,2;13;14;15;16;18;18;19;19;20;21;302;343,8;331;335;339;344;350;351;353;355;358;361;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-17";"0-60";1;1,3;1;1;1;1;1;2;2;2;2;3;106;119,2;112;115;117;119;122;123;124;125;126;128;0,783603170051716;0,828900166587718;0,812723208525744;0,79870670012361;0,782023791049416;0,76366728063229;0,758987778473226;0,752655379461458;0,745122717803795;0,735149342883148;0,724229438016903
"2022-04-17";"60+";6;7,8;6;6;7;8;9;9;9;10;10;11;204;231,1;221;224;227;231;235;236;238;239;242;244;0,768412445778418;0,81544482760556;0,799623095470178;0,784717448732021;0,767518302351938;0,748771446538114;0,744187063125199;0,738123286424486;0,730898542390987;0,7198870083074;0,709919564311357
"2022-04-17";"alle";7;9,1;7;7;8;9;10;10;11;11;12;12;310;350,3;337;342;346;351;356;357;359;361;364;367;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-16";"0-60";1;1,3;1;1;1;1;1;2;2;2;2;3;111;124,7;118;120;122;125;128;128;129;130;132;134;0,798856310465251;0,835768315422916;0,822614075110167;0,810456911657625;0,79640050722467;0,781795945372951;0,778039267242359;0,773006582298478;0,767184453693333;0,758199252492108;0,750596853073705
"2022-04-16";"60+";12;15,2;12;13;14;15;16;17;17;18;19;19;214;241,3;231;234;237;241;245;247;248;250;252;254;0,78756241225708;0,825222773290092;0,812175056897462;0,800189953852007;0,786106847422701;0,770934459027498;0,767219608155217;0,762671715912386;0,756892061843307;0,747676506245888;0,74042059883967
"2022-04-16";"alle";13;16,5;13;14;15;16;18;18;18;19;20;21;325;366;353;357;361;366;372;373;375;377;380;383;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2022-04-15";"0-60";18;21,3;18;19;20;21;23;23;23;24;25;26;131;147,1;140;142;144;147;150;151;152;153;155;157;0,845481974072338;0,873346338993642;0,863494275058006;0,854370609413933;0,843436657307891;0,831665543678267;0,828581687783068;0,825011287549693;0,820635642915365;0,813280466825993;0,806595897696171
"2022-04-15";"60+";26;31;27;28;29;31;33;33;34;34;35;36;237;265,2;255;258;262;265;270;271;272;274;276;279;0,838433675067643;0,866311056385611;0,856984583659847;0,848054646661913;0,837170634238017;0,825468490739847;0,82266668313731;0,819228737103322;0,814869613537252;0,807429058534426;0,801023148841888
"2022-04-15";"alle";44;52,3;47;49;50;52;54;55;56;57;58;59;368;412,4;399;403;408;413;418;420;422;424;427;430;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
