"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
2022-05-11;"0-60";4;7,1;4;5;6;7;8;9;9;10;11;11;20;27,8;20,4003981900453;20,9274285714286;23,5065909090909;28;33,0475;31;31;35,396;34;38,8994027149321;0,564554388954091;0,659261079224002;0,627489739604073;0,598480181970884;0,563985852116326;0,528017377715255;0,518565140821861;0,507928473359731;0,494722968815873;0,475335401482566;0,459340722804862
2022-05-11;"60+";9;16,7;11;13;14;16;19;19;20;21;23;24;62;83;62;63,7923529411765;70,9194444444444;83;95,0805555555556;88;90;104,951596638655;94;123,216666666667;0,540220855041923;0,633113711453516;0,602598345527697;0,573578146477878;0,540717839958946;0,506409251646638;0,497499345394857;0,486954356229856;0,473196233915745;0,455668669965392;0,439148703444164
2022-05-11;"alle";13;23,7;17;19;21;24;26;27;28;29;31;33;82;110,8;82;89,3630768784198;95,9551219512195;111;126,881951219512;118;119;135,647342709104;125;153,485642930856;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-10;"0-60";8;10,9;8;9;10;11;12;12;13;13;14;15;22;27,3;22;22;24,1992045454545;27;31,3548863636364;29;30;33,9917142857143;32;36,0870271493213;0,730760640847952;0,800277918728984;0,776224335401506;0,755345606708157;0,72963839619608;0,702999485144244;0,695927652928925;0,687739432845336;0,676697201557992;0,659877709305866;0,646325876002026
2022-05-10;"60+";17;23,6;19;20;22;24;26;26;27;28;29;30;67;81,7;67;67;73,545625;82;91,6664583333333;86;87;98,9868823529412;90;113,563974358974;0,719533523452615;0,789414260046709;0,765923512789607;0,744151960399802;0,71888833856137;0,692605873768071;0,686052460542005;0,677707306083563;0,666703368181298;0,651599699299593;0,638003968896141
2022-05-10;"alle";25;34,6;29;30;32;34;37;38;39;40;41;43;89;109;89;91,9479020623794;96,6292682926829;109;121,370731707317;114;115;128,488111928709;119;138,780681114551;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-09;"0-60";1;1,2;1;1;1;1;1;2;2;2;2;2;20;22,7;20;20;21,0303409090909;23;25,8007954545455;24;25;26,8597142857143;26;29,3288099547511;0,818574802072336;0,869829755610232;0,853788324603953;0,837737480518884;0,8175182706545;0,795264459974129;0,790036196726175;0,782822616388508;0,77437132461822;0,759911981041889;0,746645083646728
2022-05-09;"60+";3;3,7;3;3;3;3;4;4;5;5;5;6;71;80,7;71;71;72,545625;81;87,6463194444444;84;84;92,4989831932773;87;103,283205128205;0,813211266546616;0,865876146241322;0,849120868569921;0,832931054709137;0,813066252576947;0,791162680008059;0,785184809717399;0,778478755406907;0,769756296163304;0,755910778225286;0,741741407639834
2022-05-09;"alle";4;4,9;4;4;4;5;5;6;6;6;7;7;91;103,4;91;92,6815384392099;95,9775609756097;103;111,440975609756;107;108;117,041678350097;111;124,742821465428;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-08;"0-60";1;1,4;1;1;1;1;2;2;2;2;3;3;19;21,5;19;19;19;21;25,0778409090909;23;23;26,0214285714286;25;26,8955429864253;0,728899352215713;0,796179200041987;0,774716341911323;0,752403255654667;0,726939353221175;0,699094305342977;0,691349313258118;0,682635789281521;0,671517847694402;0,654046261632875;0,639939605993259
2022-05-08;"60+";0;0;0;0;0;0;0;0;0;0;0;0;75;84,5;75;75;76,9496527777778;84;92,0503472222222;87;88;96,8477731092437;91;107,701923076923;0,722654484599558;0,790730816631504;0,768783407093991;0,747476186833078;0,721838599228114;0,695201661898802;0,688437830119936;0,679940296626658;0,668672226272042;0,652128331036401;0,63793041707854
2022-05-08;"alle";1;1,4;1;1;1;1;2;2;2;2;3;3;94;106;94;94;99,8146341463415;106;115,278048780488;109;110;118,180069955443;113;125,853787409701;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-07;"0-60";4;4,9;4;4;4;5;6;6;6;6;7;7;22;24,7;22;22;23,0303409090909;25;27,8007954545455;26;27;28,8597142857143;28;31,3288099547511;0,810350994285503;0,855195156835258;0,840626766202174;0,825668264709037;0,807795462501659;0,788631944097891;0,783547549649174;0,777389685818511;0,769588387719257;0,757249368730466;0,746505755150237
2022-05-07;"60+";10;12,4;10;11;11;12;13;14;14;15;15;16;82;92,5;82;82;84,9496527777778;92;100,050347222222;96;96;104,847773109244;99;115,701923076923;0,805366279482117;0,851060849115323;0,835847253850766;0,822097457784766;0,804557876575651;0,785434140422517;0,780304970107391;0,774679890402208;0,767378334850305;0,755153002262105;0,743922551888336
2022-05-07;"alle";14;17,4;14;15;16;17;19;19;20;20;21;22;104;117,2;104;104,532727246339;110,396097560976;117;125,859512195122;121;122;131,328881148314;124;139,039166150671;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-06;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;30;33;30;30;30,6147727272727;33;35,3852272727273;35;35;38,4257142857143;36;39,166334841629;0,84654369651401;0,882961397625288;0,870738323777897;0,858423970386722;0,843958052229323;0,828289461800126;0,824039278845407;0,81918829218988;0,812979595055596;0,802906335217833;0,794087979324067
2022-05-06;"60+";13;15,4;13;14;14;15;16;17;17;18;18;19;88;97,8;88;88;92,36375;98;104,444305555556;101;102;109,324588235294;104;120,073846153846;0,841632140136363;0,878431844123265;0,866605573925783;0,854891289668473;0,840590327265719;0,82513966429136;0,821341455809265;0,816790916971441;0,809916896540503;0,800732236023848;0,792665400925011
2022-05-06;"alle";13;15,4;13;14;14;15;16;17;17;18;18;19;118;130,8;118;119,107132842774;122,140487804878;131;140,696585365854;134;135;143,467272753661;138;151,150132094943;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-05;"0-60";2;2,2;2;2;2;2;2;3;3;3;3;4;35;38,5;35;35;35;38;42,0778409090909;40;41;43,0214285714286;42;45,4371266968326;0,896224972640061;0,920692357288432;0,912170242329904;0,90420465768546;0,894567646464961;0,883643668917719;0,880847466458515;0,877634976742707;0,873280877232925;0,866455491391284;0,860363364147871
2022-05-05;"60+";10;11,2;10;10;10;11;12;12;12;13;13;14;104;114,2;104;104;107,555694444444;114;122,656388888889;117;118;127,370957983193;120;138,33;0,892037350390693;0,916549682026622;0,908629967019459;0,900916972848879;0,891445752083231;0,880973900014817;0,878088968246789;0,874964468989211;0,870595336116729;0,864409878598597;0,859009517232243
2022-05-05;"alle";12;13,4;12;12;13;13;14;14;15;15;16;16;139;152,6;139;141,394335640992;144,559024390244;153;163,11512195122;156;157;165,754475551879;160;175,928200206398;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-04;"0-60";6;6,5;6;6;6;6;7;7;7;8;8;8;45;49;45;45,3828571428571;46,6147727272727;49;51,3852272727273;51;51;54,4257142857143;53;56,7079185520362;0,917063682710448;0,936922161794679;0,930451689554854;0,924154481252411;0,916062430192836;0,907204096609428;0,904925181189917;0,902326623921472;0,899097347235775;0,893791334938072;0,888834184087997
2022-05-04;"60+";14;15,3;14;14;14;15;16;16;17;17;18;18;147;159,5;147;147,152226890756;151,949652777778;160;167,050347222222;163;164;174,591722689076;167;185,795512820513;0,913009876089372;0,933302433014344;0,926794391122583;0,920595325621081;0,912752689228054;0,903969930036594;0,901693191657555;0,898918012905885;0,89548509057389;0,890819789284903;0,886297342062338
2022-05-04;"alle";20;21,9;20;20;21;22;23;23;23;24;25;25;192;208,6;192;194,958321649903;200,559024390244;209;219,11512195122;213;214;224,190489542967;217;234,409923632611;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-03;"0-60";6;6,4;6;6;6;6;7;7;7;7;8;8;42;45,6;42;42;42;46;48,9393181818182;47;48;49,9405714285714;49;52,3829683257919;0,932246353689929;0,949429832399811;0,94357300087843;0,93798250964833;0,931257011671891;0,923780597702405;0,921791632185347;0,919487390008192;0,916476089491201;0,911562487543038;0,907674676010726
2022-05-03;"60+";21;22,6;21;21;22;22;23;24;24;24;25;26;161;173,7;161;161;165,545625;174;183,666458333333;177;178;188,242932773109;181;199,376794871795;0,928834771165574;0,946694413076875;0,940826536247214;0,935088113713085;0,928308407654576;0,920995629982374;0,919225371010791;0,916922012783614;0,913801614565577;0,909399917823615;0,905216117979519
2022-05-03;"alle";27;29;27;27;28;29;30;30;31;31;32;32;203;219,4;203;206,245524448121;211,97756097561;220;230,533658536585;224;225;235,477692341185;228;245,706268317853;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-02;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;43;46,5;43;43;43;46;50,0778409090909;48;49;51,0214285714286;50;53,4371266968326;0,939820943821567;0,95653926325379;0,950830844312903;0,945397489379735;0,938535170171939;0,931042379083661;0,929079616103055;0,926635122136817;0,923355383835303;0,918080246574404;0,913087588035933
2022-05-02;"60+";7;7,5;7;7;7;7;8;8;8;8;9;9;161;173,1;161;161,849806722689;166,757708333333;173;181,858402777778;176;177;186,545352941176;180;200,632948717949;0,936852484714708;0,954179074780393;0,948666682227255;0,943169295391412;0,936294170415858;0,928829072988139;0,926806376410249;0,924470369065445;0,921554048091981;0,916503836997344;0,911490549510224
2022-05-02;"alle";7;7,5;7;7;7;7;8;8;8;8;9;9;204;219,5;204;208,537937040101;211,768292682927;220;230,324390243902;224;225;235,334090942076;228;245,558095975232;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
