"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
2022-05-13;"0-60";6;14,5;8;10;12;15;19;20;21;23;27;30;101;146,4;101;113,717388628763;124,858559782609;149;191,811684782609;166;171;211,340773244147;189;274,19096193387;0,413300373168683;0,593059760254807;0,529756620710764;0,470020784437489;0,402844341935301;0,333899969327734;0,318396707901478;0,299276858071733;0,274739937387257;0,239998413312116;0,210809923939661
2022-05-13;"60+";12;36;21;25;30;37;46;49;52;58;68;78;203;304,8;203;203;236,765090909091;309;431,150545454545;343,2;353;578,657714285714;391;865,341569620253;0,333275921564533;0,511568586869939;0,450042803639865;0,392670546094559;0,328158413255335;0,26607322470989;0,252305941573417;0,234738436895958;0,21334895844191;0,183029430316718;0,159294922363221
2022-05-13;"alle";18;50,5;31;37;43;52;64;67;72;79;92;104;304;451,2;304;309,624048266887;386,85397979798;459;578,227919191919;507,2;521;738,836209629717;574;1207,29062692308;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-12;"0-60";20;34;25;28;30;35;40;41;43;46;50;55;113;154,2;113;126,186333110368;136,151766304348;157;194,371875;171;175;211,07623277592;190;265,470457349264;0,588467971061111;0,739689348056656;0,687480273875465;0,637812644832092;0,577261852339974;0,513419292110328;0,496761203249212;0,477136837959754;0,450693919784375;0,413600387513136;0,379877875909479
2022-05-12;"60+";26;49;35;39;44;49;57;60;63;66;73;81;239;328,3;239;239;274,43903030303;332;428,327515151515;359;367;542,719142857143;395;752,812708860759;0,530994715570281;0,695171714141489;0,640083749963202;0,587055036650085;0,525268337164406;0,460607061640904;0,443494934275263;0,42406147598086;0,398927930141364;0,36314867524285;0,332303258327258
2022-05-12;"alle";46;83;62;68,9;75;84;96;100;104;110;121;132;352;482,4;352;365,808039749201;431,36694949495;489,5;586,684929292929;529;540;714,943305335384;581;1067,21102307692;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-11;"0-60";21;29,1;23;25;27;29;32;33;34;36;38;40;118;149,6;118;129,226424080268;136,209375;152;179,874456521739;162;166;190,771601337793;176;230,744831342039;0,72180892917875;0,827387708843165;0,793114904159959;0,759315629855763;0,717165973868219;0,666027479033675;0,653421247165052;0,637510910407224;0,616624921258049;0,586129228521452;0,554435886455142
2022-05-11;"60+";43;62,5;51;54;58;63;69;70;73;75;80;85;270;346,4;270;270;304,283151515152;350;429,823757575758;372;378;520,753142857143;398;683,135594936709;0,688015282891294;0,801509729394762;0,765977474488952;0,729204591278227;0,685126963385251;0,633017832119722;0,619373613180186;0,6042936508148;0,583442311261152;0,55137149409604;0,519337191060086
2022-05-11;"alle";64;91,6;76;81;86;92;100;102;105;109;116;122;388;496,1;388;402,890493315982;456,993151515152;502;576,255171717172;532;541;675,151938956584;570;935,654563461538;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-10;"0-60";30;37,2;32;33;35;37;40;41;42;43;45;47;119;145,4;119;127,573121070234;135,502581521739;147;173,345652173913;157;159;180,629308361204;168;212,453812725757;0,807341392619207;0,883405913152552;0,858624119745154;0,834397368267096;0,802170073722313;0,764561713508944;0,753315440413186;0,740362894154296;0,724322251789781;0,699652801051069;0,673782447476328
2022-05-10;"60+";66;83,6;73;76;80;84;89;91;93;95;99;103;308;375,2;308;308;337,942787878788;378;447,284606060606;397;402;524,016571428571;418;656,497417721519;0,789568896846312;0,870498259955529;0,845777996596167;0,819954359341168;0,786559799561082;0,747121039315339;0,736626969059474;0,723438216519142;0,707493373065223;0,682229433636278;0,658010318274909
2022-05-10;"alle";96;120,7;107;111;116;121;128;131;133;136;142;148;427;520,6;427;445,007410386845;491,200525252525;526;591,047797979798;552;559;669,222718561458;583;882,085130769231;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-09;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;121;143,3;121;127,807593311037;133,693682065217;145;168,625747282609;153;155;174,49703812709;163;200,878817449291;0,756768964551622;0,86864661682272;0,833823300461026;0,796942003235381;0,747375529549508;0,687702650957733;0,671691220970576;0,652458759397576;0,62623107734715;0,586020055054956;0,547723219312034
2022-05-09;"60+";9;12,1;9;10;11;12;14;14;15;16;17;19;323;380,2;323;323;351,042181818182;383;440,135515151515;399;403;502,599428571429;417;615,298936708861;0,742586341162231;0,858428393988566;0,824381601782032;0,788489901517834;0,737332434752521;0,678356814957753;0,662493079576139;0,642254181732974;0,616685721206816;0,577215357814901;0,542204845851639
2022-05-09;"alle";9;12,1;9;10;11;12;14;14;15;16;17;19;444;523,5;444;461,040021294215;499,924949494949;529;585,904545454545;550;556;650,021495327103;575;833,411990384615;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-08;"0-60";7;9,9;7;8;9;10;12;12;13;13;15;16;127;150,2;127;134,919818060201;140,884782608696;152;175,816847826087;160;163;181,609262876254;170;210,451252014448;0,705921678373618;0,823831694140293;0,785690280763885;0,745195892688367;0,692974534921039;0,634083841079955;0,617918572984999;0,596975204164546;0,571158899907198;0,536140562233798;0,500180528632353
2022-05-08;"60+";8;11,5;8;9;10;11;13;14;14;15;17;18;326;381,7;326;326;350,517333333333;384;439,610666666667;400;404;501,898;417;609,099189873418;0,695859040725878;0,81824810897175;0,778616679535315;0,74005546433631;0,689284636867233;0,63234203592061;0,617180882387474;0,597428690433087;0,573684444186523;0,54090448716786;0,507773353517559
2022-05-08;"alle";15;21,4;16;18;19;22;24;25;26;28;30;32;453;532;453;467,938483378682;507,038181818182;537;593,017777777778;558;563;653,716881580504;582;834,814769230769;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-07;"0-60";17;21,7;18;19;20;22;24;25;25;26;28;29;127;148,7;127;134,48094180602;140,840285326087;151;172,861345108696;158;160;179,048139130435;167;205,307023061962;0,78275463446356;0,859240512714507;0,83367878398907;0,805734966163532;0,770716195082339;0,730704840725088;0,719117642911674;0,705736225227043;0,687916561400665;0,658928322675281;0,627863303179984
