"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
2022-05-17;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;11;16,9;11;11;13,3097737556561;17;20,8681447963801;19;20;25,7915333333333;22;37,3607692307692;0,0634759099079851;0,124526677000975;0,100214796157589;0,0811737021823305;0,0631287999040536;0,0485484087026417;0,0452733684376376;0,0415994441147557;0,0380846517252529;0,0329078744283157;0,0287519472528008
2022-05-17;"60+";0;0;0;0;0;0;0;0;0;0;0;0;26;48,2;26;26;40,4414705882353;49;60,7614285714286;57;59;91,5212631578947;66;116,197962406015;0,067767933324438;0,129644645313159;0,105736980534064;0,0859135099022992;0,0672049800673754;0,0526326073148464;0,0493837258770987;0,0459086350430187;0,0416052065851892;0,0358037579519765;0,0317245494953018
2022-05-17;"alle";0;0;0;0;0;0;0;0;0;0;0;0;37;65,1;37;39,88;55,6154166666667;66;79,7918055555556;75;77;106,394285714286;86;141,411582905983;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-16;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;16;22,7;16;16;19,4876923076923;23;27,0460633484163;26;26;32,0252666666667;29;44,9930769230769;0,0954827644711236;0,184117824639145;0,149548682140507;0,121476195382279;0,0947093199269571;0,0724353655512571;0,0674052264028177;0,0615379025997338;0,055318172996755;0,0464332857607438;0,0401395513768672
2022-05-16;"60+";1;11,6;4;6;8;12;16;18;19;22;26;30;31;54,1;31;31;46,5261974789916;55;66,8461554621849;62;65;97,7597105263158;72;123,602342105263;0,0861531065160909;0,17012636915603;0,137702649381809;0,111082609681295;0,0860830060195132;0,0650217470894958;0,0605456949893473;0,0552130108014994;0,0492898392158261;0,0416829933249674;0,03579441117767
2022-05-16;"alle";1;11,6;4;6;8;12;16;18;19;22;26;30;47;76,8;47;49,64;67,8733333333333;78;92,0497222222222;87;89;121,697142857143;98;156,941894017094;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-15;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;18;25,5;18;18;22,6656108597285;26;30,2239819004525;29;29;35,259;32;48,4038461538461;0,166321877368069;0,289201096723712;0,242657826453488;0,203420469357598;0,163517092259831;0,128417533391094;0,119961699833129;0,110864861921663;0,100632534474387;0,0861707793519446;0,0743158874346375
2022-05-15;"60+";0;0;0;0;0;0;0;0;0;0;0;0;37;52,2;37;37;46,2887394957983;52;59,2196218487395;57;58;75,2144210526316;62;87,7033609022556;0,141097075945626;0,256244376876228;0,211910099984449;0,175698043778649;0,140237517800046;0,108421001106484;0,100768796836185;0,0927239071725379;0,0835851549716896;0,0710646589322649;0,0609048881497523
2022-05-15;"alle";0;0;0;0;0;0;0;0;0;0;0;0;55;77,7;55;59,1314285714286;70,8190277777778;78;87,5565277777778;84;86;106,245714285714;91;125,726208547009;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-14;"0-60";2;5,1;2;3;4;5;7;7;7;8;9;10;19;27,1;19;19;23,1318552036199;27;32,5798190045249;30;31;37,7264666666667;34;51,2253846153846;0,390809392106091;0,509003444826146;0,468775570059082;0,429445042552346;0,38547647181091;0,342894387181329;0,331220894202164;0,318870888160709;0,303507866389434;0,279853089513988;0,260297412434714
2022-05-14;"60+";1;2,9;1;1;2;3;4;4;4;5;6;7;40;56,9;40;40;51,5429201680672;57;64,4738025210084;62;63;84,3142368421053;67;96,3147481203007;0,349127577616811;0,469474646866059;0,426572927233848;0,389792929491553;0,346813280138945;0,305354902674883;0,294857152750536;0,282492007084005;0,268163929568391;0,246787188687231;0,22685132824255
2022-05-14;"alle";3;8;4;5;6;8;10;10;11;12;13;15;59;84;59;64,6;76,5611111111111;85;95,1583333333333;91;93;114,485714285714;98;134,088683760684;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-13;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;24;32,2;24;25,2602666666667;28,0428959276018;32;37,4908597285068;35;36;42,6096;39;56,02;0,547243618009535;0,65728355895025;0,619521271557588;0,583459721609405;0,540198765256987;0,496463695513662;0,484783335396212;0,471249015539589;0,454399738691574;0,430629916683775;0,408375974856779
2022-05-13;"60+";2;3,9;2;2;3;4;5;5;6;6;7;8;45;62,5;45;45;56,0345588235294;63;70,8127100840336;68;69;87,883552631579;73;100,109492481203;0,511241531419246;0,626359829561136;0,586798951652762;0,549822583467521;0,507793424783852;0,464152777297936;0,451862488629243;0,439036553229847;0,423475766107159;0,3995709084573;0,379239113831697
2022-05-13;"alle";2;3,9;2;2;3;4;5;5;6;6;7;8;69;94,7;69;73,36;87,8190277777778;95;104,556527777778;102;103;123,245714285714;108;142,726208547009;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-12;"0-60";4;5,4;4;4;5;5;6;6;7;7;8;8;30;40,5;30;30,741;35,7760180995475;41;47,1135746606335;44;45;52,4276666666667;48;69,5115384615384;0,739469772222548;0,809147055431577;0,784561930157243;0,762383796232809;0,736489406976859;0,706579554538773;0,698558339520013;0,690136922661539;0,677954756112218;0,660442147382061;0,64536874023489
2022-05-12;"60+";11;15,5;12;13;14;15;17;18;18;19;20;21;48;65,3;48;48;59,204012605042;66;72,1348949579832;70;71;91,3604473684211;75;103,511244360902;0,708079243571321;0,784299028113324;0,758051537906699;0,734303382663912;0,70654931043143;0,675667775518942;0,66732363063266;0,657861490446155;0,646605819852171;0,627904998063653;0,611616360873134
2022-05-12;"alle";15;20,9;16;18;19;21;23;23;24;25;26;27;78;105,8;78;84,1828571428571;98,7330555555556;107;117,330277777778;113;115;136,84;120;156,477962393162;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-11;"0-60";5;6,4;5;5;5;6;7;7;8;8;9;9;30;39,9;30;31,4422;36,3097737556561;40;45,7577375565611;43,2;44;50,9602;47;67,69;0,787284763862752;0,84287732989104;0,82467122511048;0,805912780810418;0,783855984992227;0,760071561590932;0,753607570128158;0,745599950365083;0,734810261657795;0,719727420577961;0,706506448024463
