"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
2022-05-20;"0-60";12;38,8;28;31;35;39;43;44;45;47;49;52;241;378;307,210514905149;322,67334970716;348,333333333333;378;410,633333333333;392;395;439,150508218402;406;461,430464576074;0,309298686557079;0,354638526739092;0,339141907209861;0,324928602994012;0,309100277830355;0,293713810436218;0,289830651985901;0,285273836797768;0,279654559273837;0,271744811596755;0,265430936665159
2022-05-20;"60+";18;64,1;49;54;58;64;70;71;73;75;79;82;369;588,1;441,983423671996;456,694798268398;508,399638095238;588;677,974876190476;608;612;733,082122943723;627;754,836433814681;0,280776394237568;0,323957010339225;0,308983528807974;0,295608376759178;0,281018141385042;0,266371415944504;0,262534916035777;0,258521531407984;0,253249737237611;0,246043370734994;0,239689483298377
2022-05-20;"alle";30;102,9;82;89;95;103;111;113;115;118;123;127;610;966,1;760,82878724553;811,689617553191;871,989693877551;967;1068,23867346939;995;1002;1135,14278776596;1023;1212,35598958193;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-19;"0-60";40;79,2;66;70;74;79;84;85;87;89;92;95;285;408,5;344,031004645761;357,541243151332;383,283333333333;409;436,683333333333;421;424;465,28261477423;433;485,609974835463;0,505204786813043;0,549946868579294;0,534396531613956;0,521018107519798;0,504845731086668;0,489691849232447;0,485611565879272;0,480924942151632;0,474795508093113;0,466655042742654;0,458549004794736
2022-05-19;"60+";60;122,8;105;111;116;123;130;132;134;136;140;144;472;674;542,459529826371;557,62638961039;600,517396825397;674;753,135111111111;692;695,1;804,920311688312;709;823,316209386282;0,488540023372667;0,53332401480249;0,517737122746585;0,503892529342453;0,488654156506475;0,473011770846828;0,469242221224514;0,46489778508347;0,459143039376737;0,450541512327073;0,442695636557374
2022-05-19;"alle";100;202;177;185;193;202;212;214;217;221;226;232;757;1082,6;899,90514736235;945,517465957447;999,640204081633;1083;1173,58816326531;1108;1114,1;1230,84936968085;1133;1292,38648477783;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-18;"0-60";49;74,3;64;68;71;74;78;79;80;82;84;86;303;398;344,907886178862;357,232994521066;377,233333333333;398;421,733333333333;408;410;441,678934441715;418;458,676701509872;0,659280288836452;0,694599538741999;0,682671675781241;0,671859373214764;0,659164399896595;0,646410064496206;0,643170351043132;0,639285154431117;0,634311803935212;0,627016456261209;0,620654936489695
2022-05-18;"60+";69;105,8;94;97;101;106;110;112;113;115;118;120;523;682,9;576,601079508338;586,406881385282;626,940171428571;683;745,642838095238;697;700;785,211799134199;710;800,57539358776;0,652288776100518;0,687637149514753;0,675565855887898;0,664648578270775;0,652420387815741;0,639752081066879;0,636774831738456;0,633074418079089;0,627890737084759;0,620683325185166;0,614633721906118
2022-05-18;"alle";118;180,1;163;168,9;174;180;186;188;190;192;196;200;826;1080,9;935,369309400807;973,467339893617;1018,90316326531;1082;1152,70928571429;1100;1105;1196,80405265957;1120;1241,01849252083;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-17;"0-60";71;92;83;86;89;92;95;96;97;98;100;102;318;396,8;349,2699171506;359,527309276403;376,626666666667;397;418,16;406;408;435,23746230871;414;450,397753000387;0,771509485102899;0,796949506456292;0,788501911783766;0,780746333753017;0,771149078759924;0,761631186267753;0,759270731772649;0,756513035994545;0,75294318071248;0,747442626071867;0,742697821615011
2022-05-17;"60+";101;131,3;120;124;127;131;135;136;138;139;141;143;579;720,1;627,310641309954;632,334902164502;668,662177777778;720;776,059828571429;733;736;811,744218181818;745;826,398920491662;0,769461183059168;0,794695338401355;0,786522409699868;0,778553944691973;0,769420786172442;0,760030069738996;0,75756507048086;0,754933140600798;0,751334544610388;0,745852669580807;0,741140613603862
2022-05-17;"alle";172;223,3;208;213;218;223;229;230;232;234;237;240;897;1116,9;988,735740259899;1024,86987180851;1059,36336734694;1118;1179,78887755102;1135;1138;1221,2521537234;1151;1256,17877548992;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-16;"0-60";8;10,9;8;9;10;11;12;12;13;13;14;15;329;395,6;353,631948122338;361,82162403174;378,986666666667;396;414,586666666667;404;406;431,707919138485;412;444,647000387147;0,736875206232986;0,770249662033135;0,75900443554842;0,74852509903336;0,736532866226325;0,723859620249494;0,720731171251176;0,717128494914596;0,712382852700711;0,704847622126896;0,69843357547241
2022-05-16;"60+";15;20,4;16;18;19;20;22;22;23;24;25;26;655;785,2;695,610274368231;706,647812987013;733,196926984127;786;840,594577777778;797;800;876,359328138528;809;887,588257864879;0,736394292955914;0,76924959607331;0,758614868453645;0,748135045049234;0,736454488256631;0,723982597444161;0,720777894388242;0,716975882302159;0,71234906610966;0,705018201384812;0,698067040780791
2022-05-16;"alle";23;31,2;26;28;29;31;33;34;34;35;36;38;984;1180,9;1063,15559877535;1096,57113776596;1127,82357142857;1182;1239,32867346939;1197;1201;1277,55088776596;1212;1313,23220314628;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-15;"0-60";21;29,9;24;26;28;30;32;32;33;34;35;36;345;412,5;368,256571815718;379,012816928018;396,183333333333;413;431,783333333333;421;422,1;448,899112034763;429;461,799819976771;0,702403417806081;0,735010084244925;0,724155983097588;0,713702419020128;0,701845930462585;0,689215727552536;0,686155979759132;0,682483237270125;0,677686273266161;0,6705254360994;0,663521289594003
2022-05-15;"60+";35;49,8;43;45;47;50;52;53;54;55;57;58;672;801,8;710,077185662713;720,338472727273;752,05793015873;802;853,803073015873;814;817;890,049987878788;826;902,055169159361;0,70237650878119;0,734954028455842;0,724187895123592;0,713969640042612;0,702305839097604;0,68973544654333;0,686614674820893;0,682902322537732;0,678617112359308;0,67122782927185;0,664457112260427
2022-05-15;"alle";56;79,7;70;73;76;80;83;84;85;87;89;91;1017;1214,3;1095,16628430663;1128,43088457447;1163,89969387755;1215;1270,94459183673;1231;1234;1309,41063457447;1246;1345,24288867756;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-14;"0-60";40;52,9;46;48;50;53;55;56;57;58;60;61;357;422,3;381,090406891212;389,395202720574;403,61;423;442,176666666667;430;432;456,369568864538;438;469,577263259775;0,756060649253251;0,781650975301579;0,772979267140606;0,764583577147979;0,755266363339808;0,74575367107457;0,743255014193027;0,740407971757932;0,736790658681836;0,731240808019502;0,72624246462855
2022-05-14;"60+";71;94;85;88;91;94;97;98;99;101;103;105;703;831,4;741,099244799725;751,878032900433;783,918933333333;832;885,664076190476;843;846;921,589548051948;855;933,077228296373;0,7556482341084;0,780959899481915;0,772567904583724;0,764550860388189;0,755355349878018;0,74579531114004;0,743565329073036;0,740718292386675;0,737087559436404;0,731763909196608;0,727098035338795
2022-05-14;"alle";111;146,9;135;139;142;147;151;153;154;156;158;161;1060;1253,7;1140,12354218154;1170,1412643617;1205,97581632653;1254;1313,02071428571;1270;1273;1347,27038138298;1285;1383,25357420883;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-13;"0-60";56;69,3;63;65;67;69;72;73;73;74;76;77;373;435,1;394,396046070461;402,777588513131;417,003333333333;435;452,603333333333;443;445;469,751954657094;450;480,35470654278;0,807521051866696;0,82750299800703;0,820639611394644;0,814324922463699;0,80692265779441;0,799309389190083;0,797313302247627;0,795106026630684;0,792238931538496;0,787917651321789;0,784203882703235
2022-05-13;"60+";121;150;139;143;146;150;154;155;156;158;160;162;740;863,8;779,187481347774;787,187373160173;814,05793015873;864;915,803073015873;875;878;952,049987878788;887;960,50002131683;0,806592436186277;0,826463569880902;0,819783149390501;0,813630171540141;0,80639541209881;0,798875676613431;0,797160458239886;0,794795836907087;0,791981061160298;0,787689671863186;0,784146958238005
2022-05-13;"alle";177;219,4;206;210,9;215;219;224;226;227;229;232;234;1113;1298,8;1188,34949973617;1218,70683404255;1250,62979591837;1300;1357,67469387755;1314;1318;1388,13468510638;1329;1424,53295941983;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-12;"0-60";58;68,7;63;65;66;68;71;71;72;73;74;76;402;462,2;421,243226480836;432,498324579634;446,773333333333;462;479,406666666667;470;471;496,560761760816;477;507,201886953155;0,8447991105154;0,861457723101669;0,855737826352568;0,85038339354891;0,844398935410277;0,837953776568791;0,836415803953761;0,834585157572032;0,832179223630351;0,828515290883256;0,82514683267994
2022-05-12;"60+";111;131,6;123;126;128;132;135;136;137;138;140;141;753;865,6;785,25365875881;794,806053679654;822,64093968254;866;913,081066666667;876;879;945,121967099567;887;955,900755200275;0,843216340181115;0,859925290384728;0,85433254846474;0,849157034889528;0,843048625869855;0,836880547445163;0,835330717421301;0,83345987054812;0,8311260175161;0,827469593536812;0,824266508248645
2022-05-12;"alle";169;200,3;190;193;196;200;204;205;207;208;210;213;1155;1327,8;1224,29607207981;1251,55746702128;1279,62979591837;1328;1382,21448979592;1342;1346;1413,28405212766;1356;1446,58638707619;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-11;"0-60";64;73,1;68;69;71;73;75;76;76;77;78;80;435;494,3;455,618602787456;464,307131683355;478,576666666667;495;511,21;502;504;528,369568864538;509;539,049067363531;0,875602172862506;0,889340067222695;0,88461719809311;0,880194435912674;0,875329596118227;0,870298650139218;0,86893679605228;0,867388745670787;0,865345218321116;0,862369230403564;0,859767589808066
2022-05-11;"60+";125;143,1;135;138;140;143;146;147;148;149;151;152;803;911,9;834,042262248582;839,651383549784;867,245187301587;912;963,337822222222;923;925;989,967296969697;933;1001,13421084752;0,873792067736959;0,88734716130942;0,882781488636298;0,878534468994127;0,873743091936457;0,868747829912664;0,867456623195671;0,865910475630901;0,863830419659523;0,86085609277394;0,858262799907419
2022-05-11;"alle";189;216,1;206;209;212;216;220;221;222;223;226;227;1238;1406,3;1304,53271516572;1331,98278351064;1364,82010204082;1407;1458,4843877551;1421;1424;1489,8587356383;1434;1523,34974399028;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-10;"0-60";82;90,9;86;87;89;91;93;93;94;95;96;97;466;524,3;485,618602787456;494,307131683355;508,576666666667;525;541,21;532;533;558,369568864538;539;569,049067363531;0,902181070531171;0,913162007161181;0,909456364296719;0,905924158999591;0,901912571268906;0,897640252152621;0,896512139039531;0,895209088149839;0,893681024642939;0,891248589340725;0,888980643591566
2022-05-10;"60+";177;196,4;188;191;193;196;199;200;201;203;204;206;873;979,9;902,042262248582;907,651383549784;935,245187301587;980;1031,33782222222;991;993;1057,9672969697;1001;1065,57906300499;0,901323806536691;0,912258881322259;0,908686860890149;0,905246111670289;0,901245597634365;0,896979109961086;0,895886466825661;0,894695965084231;0,89315100137172;0,890797786736132;0,888644732997694
2022-05-10;"alle";259;287,3;277;280;283;287;291;292;293;295;297;299;1339;1504,2;1406,25332995472;1430,26784680851;1463,16612244898;1505;1556,83040816327;1518;1522;1588,14379893617;1532;1618,12378643564;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
