"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
2022-06-01;"0-60";1;3,4;1;1;2;4;6;7;8;9;13;18;15;25,5;15;15,3237023593466;20,4472222222222;27;42,6794444444444;36;39;58,61922323049;50,1;88,8306833333333;0,297140215013901;0,591487657505643;0,485089122358572;0,387166437902409;0,28170247809559;0,1871007528765;0,166322698128858;0,142955564100013;0,115995039383795;0,0806591842066649;0,0585774333806601
2022-06-01;"60+";7;25,1;11;14;18;26;39;44;51;62;87;120;56;118,4;56;60,0961212121212;83,7493015873016;132;285,447396825397;201,6;223,4;395,662606060606;287,2;633,365090909091;0,279081755108651;0,561339805356031;0,466903504364236;0,370804236668006;0,272293443208538;0,180452115335844;0,160151893336008;0,138738977490086;0,114603250908453;0,0809715764883035;0,0581684007100914
2022-06-01;"alle";8;28,4;13;16;21;30;45;51;58;70;99;136;71;143,9;71;74,2411501831501;106,014042328042;161;345,867587301587;238;263,8;470,575985347986;339,1;840,931750354609;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-31;"0-60";5;9,3;5;6;8;10;13;14;15;17;21;26;23;33,4;23;23,4087259528131;28,5493333333333;35;48,7604444444445;43;45,4;64,1139165154265;57;95,3879833333333;0,535367577950135;0,763696004074637;0,687852836746785;0,61383720822194;0,515975132288164;0,408785761500832;0,381323889459306;0,348472450683014;0,307545317593837;0,247388149313893;0,200804606723461
2022-05-31;"60+";11;21;13;15;17;21;28;30;33;37;45;54;66;115,1;66;70,2017575757576;91,5685555555556;127;244,135063492064;179;198,4;340,016787878788;255;545,324;0,523240024169922;0,75358744515358;0,682606716242979;0,608269586643924;0,511890187204133;0,407237783857307;0,379997609812541;0,348114615126927;0,309490448735182;0,251504071203317;0,20948539139189
2022-05-31;"alle";16;30,4;19;22;26;31;40;43;47;53;65;79;89;148,5;89;95,0002564102564;122,60671957672;163;305,222486772487;223;247,2;424,73336996337;317,7;758,283807092198;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-30;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;29;36,9;29;29,6840798548094;33,0598888888889;38;49,2287777777778;44;46;57,4376188747731;53;81,4328833333333;0,29462057801705;0,674967187753847;0,553182289112144;0,41963596584383;0,267301239118305;0,135871549760276;0,110219138791672;0,0843833610986751;0,0558902279083259;0,0290245843754462;0,0139997091236082
2022-05-30;"60+";4;14,2;5;7;9;15;30;36;48;69;135;260,1;78;121,3;78;82,3598181818182;102,423126984127;132;236,888523809524;180;199,5;335,577393939394;256,5;538,758515151515;0,281193874240587;0,674979908239148;0,551045033684139;0,419543889553576;0,266958243880951;0,137189313533614;0,112524953718958;0,0848789272968236;0,0576259087720682;0,029151469219211;0,0150638359383729
2022-05-30;"alle";4;14,2;5;7;9;15;30;36;48;69;135;260;107;158,2;107;114,090007326007;135,850010582011;171;296,66091005291;223;247;413,033472527473;317,5;736,57454751773;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-29;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;34;44,3;34;36,3439854809437;41,6725555555556;47;61,8836666666667;55;58;77,0491760435572;70;113,225266666667;0,35419580695561;0,673234508200606;0,565225554351174;0,450544564687654;0,315272010938292;0,19221249718357;0,163423658718088;0,136540520962227;0,102073680385482;0,0638231000732173;0,037806632286317
