"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975"
2022-06-10;"0-60";1;1,4;1;1;1;1;2;2;2;2;3;3;7;8,6;7;7;7,172;9;11,932;10;10;13,976;12;18,7282916666667;0,731519878956988;0,867339958663592;0,826003364092885;0,78212738294564;0,722461277695231;0,651311741765451;0,631551251873515;0,609550345728024;0,575432961458721;0,523608567634574;0,481607470206794
2022-06-10;"60+";6;7,7;6;6;7;8;9;9;10;10;11;12;23;27,5;23;23,6734113712375;24,9631868131868;28;31,728021978022;30;31;34,3878595317726;34;42,5889875;0,778644036012982;0,892401693658009;0,858598166321391;0,822231821608431;0,771998811047949;0,713629852667446;0,697072546992738;0,676796785136457;0,648616482117195;0,602556286544481;0,561533148319503
2022-06-10;"alle";7;9,1;7;7;8;9;10;11;11;12;13;14;30;36;30;30,2676237623762;32;36;42;40;41;47,4647524752475;45;60,0313333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-09;"0-60";3;3,8;3;3;3;4;4;5;5;5;6;6;7;8,3;7;7;7;8;9,966;10;10;12,108;11;16,5439583333333;0,799163286532904;0,903010302796007;0,872917259944426;0,838569693481504;0,790918654203143;0,731931824171507;0,715980289244925;0,696330975399457;0,670506682717109;0,629254110853412;0,589635913532937
2022-06-09;"60+";4;4,8;4;4;4;5;5;6;6;6;7;8;20;23;20;20;21,3087912087912;23;26,3824175824176;25;26;29,1225418060201;28;33,65105;0,829458864568671;0,918951947314901;0,893394510394676;0,863903669660439;0,823802266062994;0,774245115673959;0,760358206214356;0,742423385956268;0,717926302440549;0,68473849119097;0,64863638170482
2022-06-09;"alle";7;8,6;7;7;8;9;10;10;10;11;12;13;27;31,3;27;27;28,7;31;36,7;34;35;40,2807227722772;38;48,1219333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-08;"0-60";1;1,2;1;1;1;1;1;1;2;2;2;2;5;5,6;5;5;5;5;6,552;6;6,6;8,736;7;10,0752916666667;0,849366067773362;0,925891570475728;0,903346702787373;0,878605968553952;0,843244623800573;0,800663431044349;0,78835622776187;0,774313149291806;0,75500725357771;0,720042231762887;0,689392258171714
2022-06-08;"60+";12;13,8;12;12;13;14;15;15;16;16;17;18;22;24,6;22;22,150983277592;22;25;26,9676923076923;27;27;29,8041605351171;29;34,185945;0,869373837806253;0,935465815524917;0,917099537827498;0,895197537945662;0,865699059691019;0,82940711667257;0,818675288096912;0,805902191032609;0,789192655427804;0,75932584144044;0,732340315865885
2022-06-08;"alle";13;15;13;13;14;15;16;17;17;18;19;20;27;30,2;27;27;27,8;30;33,8;32;33;37,4610099009901;35;42,8710666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-07;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;5;5,5;5;5;5;5;6,69;6;6;8,188;7;9,033125;0,922918339772779;0,964546075034883;0,952775753103843;0,939225648237402;0,91935755893371;0,893687033206426;0,886233220500262;0,876803194678059;0,862581833427628;0,842467462827149;0,82158331621271
2022-06-07;"60+";0;0;0;0;0;0;0;0;0;0;0;0;15;16,1;15;15;15;16;17,6220879120879;17;17;19,0082073578595;19;21,2480075;0,93095265476588;0,968538068600947;0,958213146975505;0,946377829056345;0,9288866091862;0,905964857799743;0,899670835708435;0,891120676831109;0,879603434915235;0,860504457297446;0,841617976617709
2022-06-07;"alle";0;0;0;0;0;0;0;0;0;0;0;0;20;21,6;20;20;20,4;22;24,4;23;23;26,185900990099;25;29,0278666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-06;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;8;8,6;8;8;8;8;9,552;9;9;11,736;10;13,546375;0,809711706558946;0,908225630055742;0,877456203949684;0,845044857359571;0,799804490342231;0,744484916983371;0,729715035234498;0,710249664868306;0,683141465650903;0,640929290300583;0,598861015981499
2022-06-06;"60+";0;0;0;0;0;0;0;0;0;0;0;0;24;25,4;24;24;24,7235164835165;25;26,4147252747253;27;27;27,849016722408;28;31,79063;0,822310341415009;0,914443848171892;0,887543272953637;0,85732719162201;0,816765819625925;0,764585591158205;0,749856452762395;0,733498503685462;0,708329832946443;0,667373442443374;0,628332432562926
2022-06-06;"alle";0;0;0;0;0;0;0;0;0;0;0;0;32;34;32;32;32;34;36;36;36;39,7323762376238;37;42,7386666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-05;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;8;8,6;8;8;8;8;9,552;9;9;11,736;10;13,546375;0,835514569126696;0,919230687621244;0,893334544590001;0,864967565766957;0,825050981563496;0,777318932794345;0,763188289170388;0,746654725481242;0,723089097723502;0,682495710450647;0,646304566878162
2022-06-05;"60+";0;0;0;0;0;0;0;0;0;0;0;0;24;25,4;24;24;24,7235164835165;25;26,4147252747253;27;27;27,849016722408;28;31,79063;0,842210347299401;0,923233967439907;0,89928792284935;0,872688639569299;0,83616635871119;0,789747299265103;0,776648103848522;0,761401470017452;0,739604543833822;0,703354657810084;0,66664051850939
2022-06-05;"alle";0;0;0;0;0;0;0;0;0;0;0;0;32;34;32;32;32;34;36;36;36;39,7323762376238;37;42,7386666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-04;"0-60";2;2,3;2;2;2;2;3;3;3;3;3;4;8;8,6;8;8;8;8;9,552;9;9;11,736;10;13,546375;0,887622952686011;0,942030360236533;0,925321868209865;0,90552991209732;0,879476741368814;0,846280533739743;0,83724013377841;0,824955890694193;0,809571945288934;0,783753878575993;0,75753065183429
2022-06-04;"60+";1;1,1;1;1;1;1;1;1;1;2;2;2;24;25,4;24;24;24,7235164835165;25;26,4147252747253;27;27;27,849016722408;28;31,79063;0,889649293319396;0,943968854517055;0,927716662096494;0,909003323156477;0,88432704741686;0,853855037967144;0,844706178208129;0,833869085505229;0,818251481375686;0,795616939831075;0,772819043879926
2022-06-04;"alle";3;3,4;3;3;3;3;4;4;4;4;5;5;32;34;32;32;32;34;36;36;36;39,7323762376238;37;42,7386666666667;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-03;"0-60";1;1,1;1;1;1;1;1;1;1;1;2;2;8;8,4;8;8;8;8;9,828;9;9;9,744;10;12,1686666666667;0,922026220009214;0,958594233448631;0,946501577895534;0,933684929065481;0,915865668844341;0,892512065469159;0,88568015265441;0,877755864682124;0,866135411100101;0,848913767804551;0,827629088236452
2022-06-03;"60+";3;3,3;3;3;3;3;3;4;4;4;4;5;25;26,4;25;25;25,7235164835165;26;27,4147252747253;28;28;28,849016722408;29;32,79063;0,921584757733576;0,958634117796431;0,947211837290998;0,934678808418206;0,917333087269065;0,896013339884911;0,889233347366138;0,881772138897311;0,870882831333148;0,853543628244452;0,835594837574623
2022-06-03;"alle";4;4,3;4;4;4;4;5;5;5;5;6;6;33;34,9;33;33;33,1;35;37,1;36;37;38,9126633663366;38;43,8571333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-02;"0-60";1;1,1;1;1;1;1;1;1;1;1;2;2;7;7,4;7;7;7;7;8,828;8;8;8,744;9;11,1686666666667;0,933728519148181;0,965768220126314;0,955839521661205;0,94438583343771;0,927884321671639;0,906615883008552;0,900417784170121;0,893319918533135;0,882964937106579;0,865368575882604;0,847238916225829
2022-06-02;"60+";6;6,4;6;6;6;6;7;7;7;7;8;8;22;23,2;22;22;22;23;24,552967032967;24;25;25,955143812709;26;28,17049;0,932680012163589;0,965501118480398;0,955572933645278;0,944741906565074;0,928697562570382;0,907981577170702;0,902347396536354;0,895848532548167;0,886405537237756;0,870932637750096;0,855656609869146
2022-06-02;"alle";7;7,5;7;7;7;7;8;8;8;9;9;10;29;30,5;29;29;29,5;30;33,5;32;32;35,2769801980198;33;38,1463333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-01;"0-60";1;1,1;1;1;1;1;1;1;1;1;2;2;6;6,3;6;6;6;6;7,966;7;7;7,868;7;9,1265;0,944171149823015;0,969980176904651;0,961744606207299;0,952719267759803;0,939784798645213;0,924335306161185;0,919818857009114;0,914885684559949;0,906990873028128;0,894826440872985;0,88340974105506
2022-06-01;"60+";5;5,3;5;5;5;5;6;6;6;6;6;7;18;18,8;18;18;18;19;19,1382417582418;20;20;20,636762541806;21;22,705385;0,944399637278002;0,970387470770161;0,962761635959393;0,953920752294836;0,941770986347761;0,92723478123748;0,92323897898043;0,918386667255459;0,911719153635612;0,900629707211931;0,889744230151023
2022-06-01;"alle";6;6,4;6;6;6;6;7;7;7;7;8;8;24;25,1;24;24;24;25;26,9;26;26;28,730504950495;28;31,4355333333333;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-05-31;"0-60";3;3,1;3;3;3;3;3;3;3;4;4;4;6;6,3;6;6;6;6;7,966;7;7;7,868;7;9,1265;0,968663637076991;0,983948616142182;0,979350815608142;0,973746551897246;0,965841200762523;0,955445526187058;0,952484408616168;0,948576897448227;0,943646481901997;0,934928781386199;0,925469584119533
