date;age60;reported;nowcast_est;nowcast_0.025;nowcast_0.1;nowcast_0.25;nowcast_0.5;nowcast_0.75;nowcast_0.8;nowcast_0.85;nowcast_0.9;nowcast_0.95;nowcast_0.975;reported7;nowcast7_est;nowcast7_0.025;nowcast7_0.1;nowcast7_0.25;nowcast7_0.5;nowcast7_0.75;nowcast7_0.8;nowcast7_0.85;nowcast7_0.9;nowcast7_0.95;nowcast7_0.975;F_est;F_0.025;F_0.1;F_0.25;F_0.5;F_0.75;F_0.8;F_0.85;F_0.9;F_0.95;F_0.975
2022-07-03;0-60;0;0,0;0;0;0;0;0;0;0;0;0;0;24;34,8;28;30;33;36;40;41;43;46,0;50,0;53,6;1,54399932531694e-01;0,413573980662808;0,313644733391208;0,225732526710658;0,142896969483484;0,080417499601737;0,0681004889243388;0,0554009180322025;0,0411261266313029;0,0244212314593438;0,0152546725541847
2022-07-03;60+;0;0,0;0;0;0;0;0;0;0;0;0;0;29;Inf;32;34;36;39;42;43;44;46,0;48,0;50,0;1,85476603686269e-01;0,472021460691140;0,367811649895048;0,274552625891748;0,179915406192265;0,105025617728281;0,0902095960002910;0,0745949232103165;0,0582389205274587;0,0367107214469595;0,0240926935958652
2022-07-03;alle;0;0,0;0;0;0;0;0;0;0;0;0;0;53;Inf;63;67;71;75;82;84;86;89,0;95,0;101,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-07-02;0-60;2;6,1;2;3;5;6;9;9;10;12;15;19;24;34,8;28;30;33;36;40;41;43;46,0;50,0;53,6;3,30228101327060e-01;0,497441380897177;0,429182548992903;0,371167930735996;0,309966168703952;0,248790097127292;0,2325632112456525;0,2153021515295465;0,1921167249367429;0,1565177529976113;0,1183081112408038
2022-07-02;60+;0;0,0;0;0;0;0;0;0;0;0;0;0;29;Inf;32;34;36;39;42;43;44;46,0;48,0;50,0;3,38923049321904e-01;0,516917855788949;0,453829855167386;0,394540574282683;0,329927849119729;0,264944816381477;0,2496965531716525;0,2324739616906475;0,2114387881751947;0,1816298765467777;0,1583420524073602
2022-07-02;alle;2;6,1;2;3;5;6;9;9;10;12;15;19;53;Inf;63;67;71;75;82;84;86;89,0;95,0;101,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-07-01;0-60;6;8,0;6;6;7;8;9;10;10;11;12;14;28;36,9;31;33;35;38;41;42;44;46,0;49,0;52,5;7,46202380386957e-01;0,852602987450904;0,816618791896219;0,778949411432554;0,730281107880704;0,671263486597277;0,6546363182871053;0,6346725703742698;0,6072042857620388;0,5540500936441561;0,4910336234946142
2022-07-01;60+;2;2,7;2;2;2;3;3;3;4;4;5;5;35;Inf;40;42;44;47;51;52;53;55,0;58,0;60,0;7,38216284001299e-01;0,847426147178605;0,814326941474506;0,778171845313879;0,731839814224824;0,677528538783724;0,6626161196763866;0,6451070805062931;0,6221415242801790;0,5859983883609636;0,5525161982810056
2022-07-01;alle;8;10,7;8;9;10;11;13;13;14;14;16;18;63;Inf;73;77;81;85;91;93;95;99,0;104,0;111,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-30;0-60;5;7,3;5;6;6;7;9;9;10;11;12;15;31;38,6;34;35;37;40;43;44;45;47,0;50,0;53,6;6,86422588546613e-01;0,795765232435467;0,757772027220982;0,716729793240852;0,664630187629444;0,603308489342969;0,5864592252354630;0,5654629674325649;0,5334454699272390;0,4756194107138062;0,3892462472960769
2022-06-30;60+;8;11,9;8;9;10;12;14;14;15;16;17;19;43;Inf;48;50;52;55;59;60;61;63,0;66,0;68,0;6,70144373397332e-01;0,785764543103651;0,750569007485516;0,709753888911149;0,661660029014179;0,606611955063541;0,5916500315009566;0,5739851094109976;0,5511436563348335;0,5153830732709799;0,4820646967549421
2022-06-30;alle;13;19,2;15;16;18;20;22;23;24;26;28;32;74;Inf;84;87;91;95;101;103;105;108,0;113,0;121,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-29;0-60;2;2,8;2;2;2;3;4;4;4;4;5;5;37;43,9;39;41;43;45;48;49;50;51,0;55,0;59,0;7,04990759658963e-01;0,811974116425734;0,777908260437666;0,741118312973604;0,690881846925021;0,635680868088099;0,6209765677579392;0,6036901981118525;0,5832291958873741;0,5495091136325938;0,5163777445146461
2022-06-29;60+;6;8,7;6;7;7;9;10;11;11;12;13;14;45;Inf;48;50;52;54;57;58;59;61,0;63,0;65,0;6,90600485120377e-01;0,802852391770282;0,767051989917730;0,729097436985032;0,682766776287135;0,630368963317054;0,6161250230074582;0,5998400479179440;0,5787236394709211;0,5456480805845028;0,5194804396335979
2022-06-29;alle;8;11,5;8;9;10;12;13;14;14;15;16;18;82;Inf;90;93;96;100;104;106;108;110,0;115,0;123,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-28;0-60;9;10,6;9;9;10;11;12;12;12;13;14;15;46;53,6;49;50;52;55;58;59;60;62,0;66,0;70,8;8,48158458068624e-01;0,905567573811784;0,886622168569391;0,865099508911491;0,838233899841259;0,805446376804277;0,7959951220818837;0,7837852250141113;0,7683033108250870;0,7430733382518316;0,7123322550414892
2022-06-28;60+;12;14,2;12;12;13;14;15;16;16;17;18;19;45;Inf;47;49;50;52;55;56;56;57,0;59,0;61,0;8,42224094857740e-01;0,902543523797642;0,883780178491654;0,862639922462585;0,836944643656079;0,806116651528628;0,7975054758622758;0,7868740523112805;0,7739336395796527;0,7505717951625487;0,7295502026523426
2022-06-28;alle;21;24,9;21;22;24;25;27;27;28;29;30;31;91;Inf;98;101;103;107;112;113;115;117,0;122,0;130,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-27;0-60;0;0,0;0;0;0;0;0;0;0;0;0;0;51;58,0;53;55;57;59;62;63;64;66,0;69,0;74,0;0,00000000000000e+00;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000;1,0000000000000000;1,0000000000000000;1,0000000000000000
2022-06-27;60+;1;Inf;1;1;1;1;1;1;1;1;1;1;45;Inf;46;47;49;51;53;53;54;55,0;57,0;58,0;0,00000000000000e+00;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,000000000000000;1,0000000000000000;1,0000000000000000;1,0000000000000000;1,0000000000000000;1,0000000000000000
2022-06-27;alle;1;1,0;1;1;1;1;1;1;1;1;1;1;96;Inf;101;104;106;110;114;115;117;119,0;124,0;132,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-26;0-60;0;0,0;0;0;0;0;0;0;0;0;0;0;51;58,0;53;55;57;59;62;63;64;66,0;69,0;74,0;6,48204482051831e-01;0,825939908782805;0,770921522683632;0,707958785587461;0,619080040333746;0,516282941312259;0,4880449004300779;0,4492740726394764;0,3990728540870815;0,3236058564269763;0,2460924942979377
2022-06-26;60+;0;0,0;0;0;0;0;0;0;0;0;0;0;44;49,2;45;46;48;50;52;52;53;54,0;56,0;57,0;6,58519519111840e-01;0,838555965735521;0,786642986194648;0,727473354916225;0,645368216832419;0,548505790861048;0,5212407158836239;0,4893894541681151;0,4485802986957733;0,3864350897333603;0,3338743141744256
2022-06-26;alle;0;0,0;0;0;0;0;0;0;0;0;0;0;95;107,1;100;103;105;109;113;114;116;118,0;123,0;131,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-25;0-60;6;8,1;6;6;7;8;10;10;11;12;13;16;51;58,0;53;55;57;59;62;63;64;66,0;69,0;74,0;7,42399382170099e-01;0,835680054912743;0,800989903805669;0,764556453336473;0,715988877984033;0,657261811971402;0,6405514924667262;0,6178069371022455;0,5847612197096335;0,5195543370854652;0,4137828489390212
2022-06-25;60+;6;7,9;6;6;7;8;9;9;10;10;11;12;44;49,2;45;46;48;50;52;52;53;54,0;56,0;57,0;7,59642340933887e-01;0,850404096755891;0,818965316775021;0,787323919555020;0,747074032750397;0,699352667990337;0,6858043825282765;0,6701354138340095;0,6486297525425256;0,6159885279681990;0,5825488357915921
2022-06-25;alle;12;16,0;13;14;15;16;19;19;20;21;23;26;95;107,1;100;103;105;109;113;114;116;118,0;123,0;131,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-24;0-60;9;9,8;9;9;9;10;11;11;11;12;13;14;50;55,6;51;53;54;56;59;60;61;62,0;66,0;70,8;9,15709361482801e-01;0,954448255704998;0,941383000087395;0,925788055340527;0,904522014018138;0,875324618393161;0,8661543989759479;0,8541719957237667;0,8348925432015440;0,7971460824069780;0,7090206451602830
2022-06-24;60+;10;10,8;10;10;10;11;11;12;12;12;13;14;43;46,8;44;44;46;47;49;49;50;51,0;52,0;53,0;9,25374949443113e-01;0,959566960425137;0,949206730192397;0,937370492510400;0,920629435146555;0,899563329689275;0,8931502025765929;0,8853300248348387;0,8745366526500815;0,8555108546670819;0,8401506590226214
2022-06-24;alle;19;20,6;19;19;20;21;22;22;23;23;24;26;93;102,3;97;99;101;104;107;108;110;112,0;115,0;122,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-23;0-60;11;12,5;11;11;12;13;14;14;15;15;17;20;41;45,8;42;43;45;46;49;50;50;52,0;54,0;57,9;8,77676887910047e-01;0,927219393333970;0,908998786086904;0,888572297480390;0,860931915314414;0,824187934812385;0,8120258869079386;0,7958842779038097;0,7717892574839381;0,7112059115771351;0,5690102883523348
2022-06-23;60+;10;11,2;10;10;10;11;12;12;13;13;14;14;33;36,0;33;34;35;36;38;38;39;39,0;41,0;42,0;8,96221161473878e-01;0,939063459583461;0,925214050974036;0,910114034847316;0,889117105997470;0,863413515945951;0,8560003392274165;0,8467136799885790;0,8347292330352720;0,8128422530410161;0,7914458200289484
2022-06-23;alle;21;23,7;21;22;23;24;26;26;27;28;29;33;74;81,7;77;78;80;83;86;87;88;90,0;93,0;98,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-06-22;0-60;11;12,6;11;11;12;13;14;14;14;15;16;17;34;37,4;34;35;36;38;40;40;41;42,0;44,0;47,0;8,75346775330538e-01;0,929190831604059;0,911462149034199;0,891457694925872;0,865321830107260;0,832659031650946;0,8234498331894227;0,8127054507892230;0,7980876296855286;0,7727448731843624;0,7467008768701363
2022-06-22;60+;6;6,7;6;6;6;7;7;7;8;8;8;9;28;30,0;28;28;29;30;31;32;32;33,0;34,0;35,0;8,99371581590389e-01;0,942283825775742;0,929173265590805;0,914023693870631;0,893850134214471;0,869691277277034;0,8626195707628261;0,8542631157858549;0,8431888758484496;0,8240804320701924;0,8055560886638425
2022-06-22;alle;17;19,2;17;17;18;19;21;21;21;22;23;24;62;67,4;63;65;66;68;71;71;72;74,0;76,0;80,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
