date;age60;reported;nowcast_est;nowcast_0.025;nowcast_0.1;nowcast_0.25;nowcast_0.5;nowcast_0.75;nowcast_0.8;nowcast_0.85;nowcast_0.9;nowcast_0.95;nowcast_0.975;reported7;nowcast7_est;nowcast7_0.025;nowcast7_0.1;nowcast7_0.25;nowcast7_0.5;nowcast7_0.75;nowcast7_0.8;nowcast7_0.85;nowcast7_0.9;nowcast7_0.95;nowcast7_0.975;F_est;F_0.025;F_0.1;F_0.25;F_0.5;F_0.75;F_0.8;F_0.85;F_0.9;F_0.95;F_0.975
2022-07-12;0-60;0;0,0;0;0;0;0;0;0;0;0;0;0;2;2,5;2;2;2;3;3;3,4;3,7;4,2;4,8;5,1;0,752667181876533;0,888407116331765;0,844998148578369;0,795304454869513;0,723262569885541;0,635419607428055;0,608689474067851;0,575261890222692;0,535032097046363;0,463759601726616;0,3845986690004782
2022-07-12;60+;1;1,9;1;1;1;2;3;3;3;4;4;5;9;11,4;9;10;11;12;14;15,0;16,0;17,8;20,6;22,1;0,517569749213127;0,707516906335979;0,644966850582103;0,582751856546938;0,507395686941868;0,430965553132873;0,410962898848203;0,389584236888787;0,360548575531801;0,318672761517272;0,2802438480203518
2022-07-12;alle;1;1,9;1;1;1;2;3;3;3;4;4;5;11;13,9;11;12;13;15;18;19,0;20,0;22,3;25,7;27,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-07-11;0-60;0;0,0;0;0;0;0;0;0;0;0;0;0;4;4,6;4;4;4;5;6;6,0;6,0;6,7;7,7;8,3;0,657346172710016;0,860874663173920;0,802399800448807;0,722642564042969;0,608358368326765;0,462150685418935;0,424164235769808;0,376118659803997;0,316773309891240;0,225200052268182;0,1280957116058564
2022-07-11;60+;0;0,0;0;0;0;0;0;0;0;0;0;0;15;17,0;15;16;16;18;20;20,0;22,0;23,0;26,6;28,5;0,496767155403566;0,765900534472774;0,678690468448794;0,582489500194805;0,454847992866374;0,316011336097802;0,281155828542987;0,240483319916035;0,191690406858755;0,126730490271396;0,0746572387286515
2022-07-11;alle;0;0,0;0;0;0;0;0;0;0;0;0;0;19;21,6;19;20;21;23;25;26,0;28,0;31,0;35,8;38,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-07-10;0-60;0;0,0;0;0;0;0;0;0;0;0;0;0;4;4,6;4;4;4;5;6;6,0;6,0;6,7;7,7;8,3;0,766099442939929;0,911257599392171;0,869765246408481;0,810435542557208;0,718337924518961;0,586692379131581;0,548452078153667;0,501408260487995;0,435687609396756;0,328453362506811;0,1981525677945915
2022-07-10;60+;0;0,0;0;0;0;0;0;0;0;0;0;0;15;17,0;15;16;16;18;20;20,0;22,0;23,0;26,6;28,5;0,675134772777404;0,864287249054748;0,805986998019472;0,737669183786220;0,635142949920338;0,504345119462730;0,465661313293543;0,421789632420142;0,359910232842192;0,265364479644572;0,1721193348428552
2022-07-10;alle;0;0,0;0;0;0;0;0;0;0;0;0;0;19;21,6;19;20;21;23;25;26,0;28,0;31,0;35,8;38,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-07-09;0-60;1;1,2;1;1;1;1;2;2;2;2;3;4;4;4,6;4;4;4;5;6;6,0;6,0;6,7;7,7;8,3;0,830176690583258;0,933273268053386;0,899557365338509;0,856925737590112;0,786818651424307;0,686380193252364;0,657187121063249;0,614606022923644;0,555162421697174;0,438332599200611;0,2736577229554688
2022-07-09;60+;1;1,3;1;1;1;1;2;2;2;3;4;6;15;17,0;15;16;16;18;20;20,0;22,0;23,0;26,6;28,5;0,766943576809353;0,894576047986525;0,851359791801171;0,801333458488870;0,721668915093885;0,613359048927371;0,577749552308871;0,532843083195827;0,460713969586291;0,306125993636291;0,1727792376580327
2022-07-09;alle;2;2,5;2;2;2;3;3;4;4;5;7;13;19;21,6;19;20;21;23;25;26,0;28,0;31,0;35,8;38,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-07-08;0-60;1;1,3;1;1;1;1;2;2;2;3;4;6;3;3,4;3;3;3;3;4;4,0;4,4;4,9;5,7;6,1;0,799880144465465;0,922726562388910;0,884644492741703;0,833683631967032;0,747978809018945;0,626183791752620;0,588117834808151;0,539957875907778;0,467118891562042;0,341318821686426;0,1813542011991464
2022-07-08;60+;2;2,7;2;2;2;3;4;4;5;6;9;22;14;15,7;14;14;15;16;18;19,0;20,0;21,0;24,3;26,0;0,733659170178853;0,875132569845800;0,825831349102066;0,767856915709044;0,678637664481414;0,554379569758237;0,514860519544256;0,459413424799895;0,380240183076964;0,219239988021913;0,0927842484079280
2022-07-08;alle;3;4,0;3;3;3;4;6;6;7;9;15;42;17;19,1;17;18;19;20;22;23,0;24,0;26,7;30,9;33,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-07-07;0-60;0;0,0;0;0;0;0;0;0;0;0;0;0;3;3,3;3;3;3;3;4;4,0;4,4;4,9;5,7;6,1;0,916528206023899;0,972815605087613;0,957467563967787;0,934012902992686;0,891076011789850;0,822996437826481;0,797892743089646;0,763686433350967;0,713722305761690;0,608505312399071;0,4565119081773693
2022-07-07;60+;2;2,3;2;2;2;2;3;3;4;4;7;15;14;15,5;14;14;15;16;18;18,0;19,0;21,0;24,3;26,0;0,881874974758427;0,950405970867084;0,926450146700676;0,896727936403701;0,844579415973676;0,746568179708731;0,705093052993246;0,634405041156463;0,511733987534709;0,278707294633814;0,1349044071409583
2022-07-07;alle;2;2,3;2;2;2;2;3;3;4;4;7;15;17;18,8;17;17;18;20;22;23,0;24,0;26,0;30,0;32,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
