"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975";"realized";"realized7"
2022-07-16;"0-60";16;42,1;29;33;38;43;49;51;53;55;60;64;131;224,5;166,803870871638;187,213477088949;207,398648648649;229;263,5;248;253;292,380592991914;271;335,002755788219;0,380433062727546;0,485771859039635;0,44864516587586;0,413263070990009;0,374438803715211;0,335156728225685;0,325493503797684;0,314953129482188;0,300745250819644;0,281152563287031;0,260212510352048;16;131
2022-07-16;"60+";53;147,9;111;122;134;150;168;174;180;188;203;216;357;652;442,271372862714;532,937878117161;592,395604395604;662;756;715;729;867,227681865132;776;1066,21403859614;0,358437144797378;0,462111420219761;0,423887725992525;0,390360929512611;0,354056876028633;0,317103992612281;0,308178658437766;0,297784091316553;0,285328833001597;0,26614115720645;0,248667956202495;53;356
2022-07-16;"alle";69;189,9;144;159;173;193;216;222;230;240;259;275,1;488;876,5;614,879651827919;701,462674418605;808,470240906944;892;1011,5;959;976;1203,85988372093;1038;1281,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;69;488
2022-07-15;"0-60";24;55,7;42;46;51;57;64;66;68;71;77;82;128;198,1;148,680284552846;162,916849451645;182,618055555556;201;227,9;216;220;260,777268195414;234;292,018853165804;0,430995666257065;0,528772055194362;0,492576257749351;0,460112767209816;0,422541048493131;0,383181373525512;0,373354200296419;0,362346989202305;0,347042835904436;0,325674792606843;0,304672200517808;24;128
2022-07-15;"60+";70;172,4;136;147;160;175;194;199;206;215;230;245;342;550,7;397,915307692308;453,860489763147;508,247579604131;558;623,3;595;605;726,141340826977;640;853,305307692308;0,405977451000174;0,500040350783333;0,465596867918685;0,434354170899601;0,399011917050977;0,362954967476441;0,353533600652561;0,343408939296251;0,329895883869625;0,309177421554324;0,289691692404609;69;341
2022-07-15;"alle";94;228,1;182;197;213;233;257;263;271;283;303;319;470;748,8;536,551115439744;620,564232317424;695,133333333333;760;847,2;808;821;993,215181138586;866;1037,4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;93;470
2022-07-14;"0-60";28;45,8;37;40;43;46;51;52;53;55;58;61;129;172,9;140,503988677303;149,290735483871;162,073406478579;175;193,1;185;188;216,064412903226;197;232,190813175502;0,610724570299968;0,69269274431807;0,663417756948362;0,635902777263365;0,602789230090876;0,568268389183337;0,55923541751594;0,548166750312129;0,533970141055793;0,513626990959638;0,493829630186506;28;129
2022-07-14;"60+";60;102,7;86;91;97;104;112;114;116;120;126;131;319;436,6;351,261126428972;381,330183559457;416,722176759411;442;479,4;462;467;536,944229848364;486;599,716074800319;0,584271282889007;0,665165027563113;0,636353056399285;0,609241039940224;0,57775900430081;0,545055030969085;0,536396698721446;0,525710189562534;0,512104756660298;0,492637568696613;0,474153803893172;60;319
2022-07-14;"alle";88;148,5;127;134;141;150;161;164;167;172;179;186,1;448;609,5;493,346985434081;534,926751452209;581,09375;617;668,5;645;651;757,184276535821;675;840,372041297691;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;88;449
2022-07-13;"0-60";26;35,2;29;31;33;35;38;38;39;40;42;43;130;160,2;137,911689970899;142,882352941176;153,040404040404;162;175,8;169;171;193,392156862745;178;207,8;0,739623927335964;0,799092833313835;0,778634038718302;0,759000060783736;0,734974608297785;0,710144401763336;0,703826681154783;0,695461380726413;0,685542434480547;0,668492631344185;0,65436501982621;26;130
