date;age60;reported;nowcast_est;nowcast_0.025;nowcast_0.1;nowcast_0.25;nowcast_0.5;nowcast_0.75;nowcast_0.8;nowcast_0.85;nowcast_0.9;nowcast_0.95;nowcast_0.975;reported7;nowcast7_est;nowcast7_0.025;nowcast7_0.1;nowcast7_0.25;nowcast7_0.5;nowcast7_0.75;nowcast7_0.8;nowcast7_0.85;nowcast7_0.9;nowcast7_0.95;nowcast7_0.975;F_est;F_0.025;F_0.1;F_0.25;F_0.5;F_0.75;F_0.8;F_0.85;F_0.9;F_0.95;F_0.975
2022-08-13;0-60;5;12,6;7;8;10;13;17;18;20;22;26,0;31,0;80;111,4;96,0;101;107;115;126;129,0;132,0;138,0;148,0;158,7;0,395319991626256;0,587986956367599;0,516888907971729;0,452759039545788;0,377667783746555;0,305396540597423;0,288960409362130;0,267862206666783;0,240982396952816;0,206137769317351;0,172727421794993
2022-08-13;60+;22;60,7;37;44;51;63;79;84;91;101;116,0;135,0;222;331,4;282,0;298;315;341;374;383,0;397,0;414,0;442,0;474,0;0,362652695099370;0,550926409298034;0,484708172274681;0,421932842453286;0,351403396999247;0,283376827144008;0,265763344196219;0,246112387006270;0,222902271997658;0,191091254689035;0,165869772054453
2022-08-13;alle;27;73,3;46;53;63;76;95;101;109;121;140,0;162,0;302;442,8;381,0;402;425;456;499;511,8;527,0;547,4;585,2;627,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-08-12;0-60;11;17,9;13;14;16;18;22;22;24;25;28,0;31,0;97;126,7;113,0;118;123;131;140;143,0;146,0;151,0;160,0;170,0;0,615406685730126;0,762517953036376;0,712872055812952;0,660058408751774;0,597761163441760;0,526077959819919;0,506361262054226;0,484547927437577;0,456138838761000;0,413514270928272;0,372893831524250
2022-08-12;60+;27;46,3;34;38;42;47;55;57;59;63;70,0;77,0;243;325,9;290,0;302;316;334;356;362,0;370,0;382,0;402,0;422,0;0,582945942565188;0,732937665352984;0,686839330601509;0,634173935528570;0,570781343607254;0,499411459346536;0,482413520762078;0,462838455475774;0,435834280425189;0,396774844738828;0,360020950351043
2022-08-12;alle;38;64,2;49;54;59;66;76;78;82;87;96,0;106,0;340;452,6;407,0;423;441;465;495;504,0;515,0;531,4;557,2;584,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-08-11;0-60;12;17,1;13;14;16;17;20;21;22;23;25,0;28,0;109;135,9;123,0;128;133;140;148;151,0;154,0;159,0;167,0;177,0;0,700220505409527;0,817151898667233;0,778937866501388;0,735664521659996;0,682436680764854;0,622052685073490;0,606002955823436;0,584481715643658;0,556041122857107;0,512905534785694;0,469455299584538
2022-08-11;60+;41;61,2;49;53;57;62;69;72;74;78;85,0;92,0;278;352,8;321,0;333;345;360;380;385,0;393,0;403,0;421,0;439,0;0,670393192549044;0,796866528713432;0,756651792192813;0,711782389608530;0,658788627022025;0,597741725732274;0,580925313837588;0,561365535281349;0,534484797867848;0,492422607216603;0,452564860523702
2022-08-11;alle;53;78,3;64;68;73;80;89;91;95;99;108,0;118,0;387;488,7;448,0;463;479;501;527;535,0;545,0;559,0;583,0;612,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-08-10;0-60;18;22,7;19;20;21;23;25;26;26;27;29,0;31,0;123;148,9;137,0;141;146;153;161;164,0;167,0;171,0;180,0;190,0;0,794150282062270;0,876444358378524;0,850817572044922;0,821250772062898;0,783901681913696;0,740513392445087;0,728454925581747;0,713607087793078;0,694153149621527;0,665200078269538;0,635913616403522
