"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975";"realized";"realized7"
2022-09-01;"0-60";1;6,4;1;3;4;7;12;14;17;21;30;44;24;50,5;24;24;38,5670886075949;55;91,5;77;84;136,5;108;181,1;0,157228809662239;0,395327248896847;0,297939013249082;0,217731646125242;0,141567564014225;0,0835540760976241;0,0725239512181608;0,0611171121459069;0,0484838522422229;0,0337805354603878;0,0233800306083148;NA;NA
2022-09-01;"60+";2;12,6;4;6;9;13;21;23;27;32;44;59;83;152,8;83;87,1550641927464;119,756666666667;159;225,2;199;212;309,2;266;417,8;0,158479004064696;0,379728998610606;0,294653873089016;0,221411565664466;0,15433410411874;0,0998863929141136;0,088193172939315;0,0765503386184233;0,0635112379952404;0,0473234606514088;0,0350021588289598;NA;NA
2022-09-01;"alle";3;19;7;10;14;21;33;37;43;52;72;97,2;107;203,2;107;118,34156226112;155,658335121219;216;320,8;276,8;295;442,8;373,1;597;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-08-31;"0-60";4;13,3;6;8;10;14;20;21;24;28;36;45;30;52,3;30;30;45,3331202046036;56;85,7;73;78;119,7;99,3;160,7;0,301080054787955;0,544442287006123;0,456019427395319;0,376460292585025;0,290642645336072;0,207786696084932;0,189980522499479;0,170979826814068;0,147813546807172;0,115543678631326;0,0920943599863265;NA;NA
2022-08-31;"60+";11;34,5;18;22;27;35;47;51;56;65;80;98;91;151,8;91;95,4401216055215;120,125440451022;157;210,2;189;199;276,2;241;365,2;0,318876960503687;0,557476573776796;0,474418170907079;0,397526983847964;0,315668080647013;0,23510918432001;0,216389409018058;0,196853449646751;0,171995206850542;0,13925131553086;0,114842540614167;NA;NA
2022-08-31;"alle";15;47,8;26;31;38;49;66;72;80;91;113;139;121;204,1;121;131,489836515043;167,289766081871;214,5;295,9;262;277;393,9;339;522,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-08-30;"0-60";9;16,5;11;12;14;17;21;22;24;26;30;34;30;43,7;30;32,5771270718232;41,0083333333333;46;64,3;56;59;86,3;75,1;117,3;0,545616856654871;0,735139180468004;0,668730692416476;0,605594093583184;0,528023727774793;0,442179772356625;0,421073789069196;0,395809893304585;0,36392704572334;0,317436803324325;0,282192260655835;NA;NA
2022-08-30;"60+";27;47,1;34;37;42;48;56;58;62;66;74;82;101;141,7;101;109,00847826087;123,840277777778;146;178,3;165;170;216,3;193;272,3;0,573235067473984;0,749396522416128;0,692798109456614;0,636661874242963;0,566603908240631;0,488978814387457;0,46898832945005;0,446330203421853;0,415121338936431;0,372374928381972;0,340848826980307;NA;NA
2022-08-30;"alle";36;63,6;46;51;57;65;76;80;84;91;101,4;112;131;185,3;131;142,784718032026;168,410483175151;193;242,7;221;230;302,7;268;389,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-08-29;"0-60";1;1,5;1;1;1;1;2;2;3;3;4;5;30;37,2;30;31,62442002442;35,1714285714286;39;50,8;45;47;64,8;58,9;89,2;0,672471584248369;0,848933178137135;0,792825841152904;0,729839063069006;0,640328233176313;0,531212544824871;0,501649139499753;0,462583580438276;0,416033014309777;0,341633030108576;0,280949788241482;NA;NA
