date;age60;reported;nowcast_est;nowcast_0.025;nowcast_0.1;nowcast_0.25;nowcast_0.5;nowcast_0.75;nowcast_0.8;nowcast_0.85;nowcast_0.9;nowcast_0.95;nowcast_0.975;reported7;nowcast7_est;nowcast7_0.025;nowcast7_0.1;nowcast7_0.25;nowcast7_0.5;nowcast7_0.75;nowcast7_0.8;nowcast7_0.85;nowcast7_0.9;nowcast7_0.95;nowcast7_0.975;F_est;F_0.025;F_0.1;F_0.25;F_0.5;F_0.75;F_0.8;F_0.85;F_0.9;F_0.95;F_0.975
2022-09-15;0-60;3;11,8;5;7;9;12;17;18;20;22;27;32,0;42;70,3;55,0;60;65;73;82;85;88;93,0;102,4;109,8;0,255175068434600;0,441515860122866;0,374025904688778;0,312090959883661;0,247408904257325;0,189858713695343;0,175055092706772;0,159320195921275;0,142684494632027;0,1179289461273623;0,0992121248651001
2022-09-15;60+;8;40,2;19;25;31;40;55;60;65;74;88;107,0;143;249,7;198,0;213;230;254;286;296;308;326,0;355,0;380,7;0,199128453931694;0,372718098673593;0,306740655943020;0,252670507483153;0,197328296089744;0,147718544319837;0,136686781270033;0,124297435812115;0,110487324839800;0,0922814382235996;0,0763492900292611
2022-09-15;alle;11;51,9;27;33;41;53;71;77;84;95;113;136,0;185;320,0;257,0;275;297;327;367;379;395;418,0;454,0;486,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-09-14;0-60;7;13,5;8;10;11;14;16;17;18;20;22;25,0;52;74,4;63,0;66;71;76;83;85;88;91,0;97,0;103,0;0,519275970199443;0,691703472436632;0,636858498642915;0,578133845162549;0,512007781173418;0,442746245468674;0,424554481315878;0,404370219320828;0,378123176408723;0,3401105292729873;0,3091213964980737
2022-09-14;60+;21;45,4;30;34;39;46;55;57;60;65;74;81,0;166;247,3;210,0;222;234;251;272;278;286;297,0;315,0;333,0;0,462649176453280;0,646241491813803;0,586917060224400;0,527222843318539;0,459611196737902;0,391021223540403;0,374827402393187;0,355506633989301;0,331720393652689;0,2945767255333401;0,2645903002635602
2022-09-14;alle;28;58,9;40;45;51;59;70;73;77;83;93;104,0;218;321,7;276,0;291;306;328;354;362;372;385,0;409,0;432,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-09-13;0-60;12;16,8;13;14;15;17;19;20;20;21;23;24,0;55;72,3;63,0;66;70;74;79;81;83;86,0;90,0;94,0;0,712348298832234;0,822393954611836;0,786489701272863;0,749773573794246;0,706259244256781;0,652934771741657;0,639816616944451;0,623301881658073;0,600790325676285;0,5671041278445902;0,5350069767252865
2022-09-13;60+;46;67,9;55;59;63;68;75;77;79;83;87;93,2;180;241,7;214,0;223;232;245;260;264;270;277,0;289,0;301,0;0,677403369907128;0,798232352102799;0,759556078275928;0,722407142528852;0,675654622591310;0,621942896665706;0,607629782960022;0,590755919465531;0,569474276884781;0,5354527026157433;0,5065311697305718
2022-09-13;alle;58;84,8;70;74;79;85;93;96;98;102;108;116,0;235;314,0;281,0;291;303;319;338;344;351;361,0;376,0;391,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-09-12;0-60;0;0,0;0;0;0;0;0;0;0;0;0;0,0;59;73,0;65,0;68;71;75;79;81;82;84,0;88,0;92,0;0,648643137756179;0,805656885185708;0,758181749572242;0,704866891205813;0,633159575295946;0,553841513894830;0,533410898923325;0,508630086332933;0,475054162923184;0,4258103374721570;0,3797993873769365
2022-09-12;60+;10;16,2;11;12;14;16;19;20;21;23;26;30,0;170;213,2;194,0;200;207;216;227;230;234;239,0;247,0;255,0;0,618952369018348;0,788177136830877;0,739759109171576;0,685488379362518;0,612739895146293;0,533926660647170;0,514493979729963;0,489113023999060;0,455622120137880;0,4072711153551632;0,3642838725428602
2022-09-12;alle;10;16,2;11;12;14;16;19;20;21;23;26;30,0;229;286,3;262,0;270;279;290;305;309;314;321,0;332,0;343,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-09-11;0-60;2;3,4;2;2;3;3;4;5;5;6;7;8,0;62;76,5;69,0;71;74;78;83;84;86;88,0;92,0;96,0;0,593625225222390;0,764753035795628;0,708744134915137;0,649432687481715;0,573620864623392;0,492919789715765;0,471053462401981;0,444540749174431;0,414021436859112;0,3655926234978528;0,3228430852978266
2022-09-11;60+;4;7,0;4;5;6;7;9;9;10;11;12;14,0;175;214,5;197,0;202;209;217;226;229;232;237,0;244,0;251,0;0,571070005756668;0,752029636932413;0,697843131937600;0,638014110584609;0,564344214573363;0,484007978527986;0,463558947442069;0,440733804319713;0,410470843187088;0,3639729864595133;0,3211551572464071
2022-09-11;alle;6;10,4;6;7;9;11;13;14;14;16;18;20,0;237;291,0;269,0;276;284;295;308;312;317;323,0;333,0;343,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-09-10;0-60;12;17,3;13;14;16;18;20;21;22;23;25;27,0;61;74,4;67,0;70;72;76;80;82;83;85,0;89,0;92,0;0,693195061262982;0,799990471274233;0,761633366436808;0,722684627716794;0,674007646258447;0,618142754294977;0,602899030312085;0,584466704962416;0,559682152339168;0,5240611063483714;0,4883205755406305
2022-09-10;60+;23;33,8;27;29;31;34;38;39;40;42;45;48,0;182;221,0;204,0;209;215;223;232;235;238;243,0;250,0;256,0;0,681379135387730;0,794250818562946;0,757957515106846;0,721398233762871;0,673815911083417;0,622551798097861;0,608420695024454;0,591199557762342;0,571245755751904;0,5385594060742842;0,5070604424439156
2022-09-10;alle;35;51,1;41;45;48;52;57;59;61;63;68;72,0;243;295,4;274,0;281;289;299;312;315;320;326,0;335,0;344,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-09-09;0-60;6;7,6;6;6;7;8;9;9;9;10;11;12,0;57;66,7;61,0;63;65;68;71;72;73;75,0;77,0;80,0;0,793430698897338;0,867198430389288;0,840332990487063;0,813093932161418;0,777117313289586;0,733104124639824;0,720672540369034;0,705622720837796;0,685155849600443;0,6549520349718532;0,6245110811146758
2022-09-09;60+;31;39,3;33;35;37;39;42;43;44;46;48;50,0;182;214,3;200,0;205;210;216;224;226;228;232,0;238,0;243,0;0,789195086211635;0,865952631525924;0,841823674360141;0,816225701386703;0,783072285785475;0,744891128595254;0,734586726383938;0,721051379568465;0,704437015119640;0,6794166105020983;0,6569891045218123
2022-09-09;alle;37;46,8;40;42;44;47;51;52;53;54;57;59,0;239;281,0;264,0;269;276;284;294;297;300;305,0;312,0;319,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-09-08;0-60;13;15,8;13;14;15;16;18;18;19;19;20;22,0;68;78,3;72,0;74;77;80;83;84;85;87,0;90,0;93,0;0,821602166259549;0,883743479260424;0,860618316238656;0,837903316424573;0,806187840202417;0,769500428762141;0,758537541172099;0,746268270023918;0,730595237089791;0,7005718237174260;0,6682667074023833
2022-09-08;60+;31;37,8;33;34;36;38;40;41;42;43;45;47,0;183;210,8;198,0;203;207;212;219;221;223;226,0;231,0;236,0;0,820707610225933;0,884137247917214;0,863465375702300;0,842985325554967;0,815612049584572;0,783584800553985;0,774383879013148;0,763833729579665;0,750388603048369;0,7293967937908481;0,7082249743694643
2022-09-08;alle;44;53,6;47;49;51;54;57;58;59;61;63;65,0;251;289,0;274,0;279;285;292;301;304;306;311,0;318,0;324,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
