date;age60;reported;nowcast_est;nowcast_0.025;nowcast_0.1;nowcast_0.25;nowcast_0.5;nowcast_0.75;nowcast_0.8;nowcast_0.85;nowcast_0.9;nowcast_0.95;nowcast_0.975;reported7;nowcast7_est;nowcast7_0.025;nowcast7_0.1;nowcast7_0.25;nowcast7_0.5;nowcast7_0.75;nowcast7_0.8;nowcast7_0.85;nowcast7_0.9;nowcast7_0.95;nowcast7_0.975;F_est;F_0.025;F_0.1;F_0.25;F_0.5;F_0.75;F_0.8;F_0.85;F_0.9;F_0.95;F_0.975
2022-10-21;0-60;15;35,4;25;28;32,0;37;44;46;48,0;52;58,0;65,0;111;171,7;150;158,0;167,0;179;193,0;197;202;209,0;223,9;240,1;0,423292750413180;0,547026959680999;0,499089086503887;0,454320185858129;0,403162246837415;0,351159000025159;0,337847208681644;0,321536172852977;0,301914510095623;0,269138039910768;0,239778333498879
2022-10-21;60+;33;89,4;64;72;80,0;91;105;109;114,0;121;132,0;145,0;384;579,2;520;542,0;565,0;593;627,0;637;649;664,0;693,0;726,0;0,369316807635318;0,488486370767763;0,445037299987944;0,405878443946804;0,361305205842451;0,316915829950945;0,305864408939004;0,293355369574235;0,277868364792965;0,254879518638004;0,232311475556469
2022-10-21;alle;48;124,8;93;103;114,0;129;148;154;161,0;170;188,0;207,0;495;750,8;678;706,0;735,0;773;819,0;832;849;872,0;917,0;966,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-20;0-60;18;34,5;26;29;32,0;36;41;43;44,0;47;52,0;57,0;123;169,5;152;160,0;166,0;176;186,0;190;194;200,0;212,0;227,4;0,522459558764126;0,635955370241077;0,591572607528852;0,550032648325852;0,500414893210433;0,450317765673737;0,435978998158709;0,419662823282927;0,399248970703346;0,365275656858975;0,331634305697325
2022-10-20;60+;39;80,2;62;67;74,0;82;91;94;98,0;102;110,0;118,0;426;580,4;534;551,0;569,0;592;620,0;628;639;652,0;677,0;703,0;0,486306461906172;0,598790276518637;0,557333882246490;0,521151412231819;0,477827393647215;0,431826686303034;0,420197930079358;0,406599525602769;0,389212039461874;0,364301490783654;0,341190730618111
2022-10-20;alle;57;114,6;91;98;107,0;118;131;135;141,0;147;158,0;170,0;549;749,9;692;716,0;738,0;769;806,0;818;832;852,0;886,0;931,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-19;0-60;28;37,6;32;34;36,0;38;41;42;43,0;44;46,0;48,0;125;159,8;146;152,0;157,0;165;174,0;177;180;185,0;195,0;209,1;0,744351051668084;0,817138477777991;0,790622669427158;0,765709868239861;0,732603614864084;0,696666486504646;0,687219079545432;0,675384506475556;0,659238369877959;0,635156462904624;0,614966491140716
2022-10-19;60+;86;117,7;103;108;113,0;119;125;128;130,0;133;137,0;142,0;469;599,6;560;575,0;590,0;611;635,0;642;651;664,0;687,0;713,0;0,730616897270171;0,803537801823824;0,778400618101772;0,754963460574035;0,724737478174788;0,692479370271218;0,684220105460227;0,673484240787052;0,660896372340632;0,641202359855032;0,622833994497755
2022-10-19;alle;114;155,3;138;144;149,5;157;166;168;171,0;175;180,0;186,0;594;759,3;712;732,0;750,0;776;808,0;818;831;848,0;883,0;924,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-18;0-60;33;39,5;35;36;38,0;40;42;43;44,0;45;46,0;48,0;118;145,9;134;139,0;144,0;150;158,0;161;164;169,0;178,0;190,9;0,836003899513718;0,885635700748668;0,866976022886825;0,848040420995899;0,824682748299433;0,796801387980437;0,789338348988509;0,780262372232347;0,768776414451688;0,748719039884474;0,727968771824831
