"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975";"realized";"realized7"
2022-11-01;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;31;36,2;31;31;33,2222222222222;36;40,6666666666667;38;39;41,9527985074627;40;45,8;0,396924581435059;0,454727123618528;0,434050837221214;0,416223386535174;0,397040104346375;0,377198519946495;0,372327958204427;0,366552072340792;0,359461181985273;0,349582390532025;0,341354789860888;NA;NA
2022-11-01;"60+";0;0;0;0;0;0;0;0;0;0;0;0;153;184,5;159,903226045537;171,041313559322;178,164484451718;185;192,645662847791;190;192;199,753177966102;196;213,37447377263;0,381651941527844;0,427587508536743;0,412190730595152;0,39776959588079;0,381974182017978;0,366167360848181;0,362280276523524;0,357301544697404;0,351846348860561;0,344062325463394;0,337372795595044;NA;NA
2022-11-01;"alle";0;0;0;0;0;0;0;0;0;0;0;0;184;220,7;196,65445936187;203,949920877947;210,873973638721;221;231,780412705272;227;228;238,60525699254;233;252,144168526786;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-31;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;62;68,3;62;63,016;65,8695652173913;68;71,4782608695652;71;71;74,2244848484848;73;76,8683870967742;0,176240835566341;0,2883613883962;0,246867760788918;0,212717668438467;0,176194299436928;0,144157094600285;0,136357791548893;0,127835517555472;0,11748491669111;0,102314264543834;0,0907318596573314;NA;NA
2022-10-31;"60+";0;0;0;0;0;0;0;0;0;0;0;0;249;284,6;261,887740628166;269,201720183486;275,369420702754;285;293,429249762583;291;292;303,645240825688;296;312,79452887538;0,177013298587326;0,288500568998066;0,246380414368589;0,212666637513103;0,177422464147601;0,145140527812126;0,13775953138121;0,129663801733065;0,118486665930281;0,104854568430935;0,0938657441895336;NA;NA
2022-10-31;"alle";0;0;0;0;0;0;0;0;0;0;0;0;311;352,9;328,517415424889;334,514882537428;342,461020552799;353;363,765060240964;360;361;373,764009704716;366;383,330977648006;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-30;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;62;68,3;62,9985433715221;63,3770491803279;65,9313063063063;68;71,3975225225225;71;71;73,8196721311475;73;75,3275122749591;0,209729302805992;0,332038833834771;0,288191059809584;0,249559799247475;0,207846205311429;0,170415891553544;0,1622826635448;0,152728266186816;0,140745662127557;0,124459394373028;0,111279933032089;NA;NA
2022-10-30;"60+";0;0;0;0;0;0;0;0;0;0;0;0;252;288,1;266,014658807744;273,619224445053;281,356206896552;288;296,159655172414;294;296;305,798725678268;300;315,295998658233;0,212191601921977;0,330066011191758;0,289250089732879;0,251750192167377;0,210766145707681;0,174026627380029;0,165650271964593;0,156301429975325;0,144769838089104;0,128562563902322;0,114703303493336;NA;NA
2022-10-30;"alle";0;0;0;0;0;0;0;0;0;0;0;0;314;356,5;333,167086544161;340,42107639516;348,666666666667;357;366,074074074074;363;365;376,362199747156;370;383,289641375222;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-29;"0-60";1;1,6;1;1;1;1;2;2;2;3;3;3;65;71,9;65,7297282608696;68,1087470449173;68,7333333333333;72;75,4;74;75;77,2600472813239;77;79,5813586956522;0,641844517498246;0,695025221376308;0,676926365789964;0,660022737657042;0,640301004752438;0,620775772646916;0,615774873742748;0,609870957420966;0,602169759763575;0,591122549619795;0,580250432577532;NA;NA
2022-10-29;"60+";21;32,7;26;28;30;33;35;36;37;38;39;41;256;293,2;272,954155404583;278,381818181818;285,54609929078;293;301,947315096251;300;301;310,909534368071;306;317,760532787883;0,641657794377866;0,687968841055251;0,671707388558567;0,656781155265006;0,640562198238102;0,623273230518387;0,618876114072788;0,613503060607899;0,607297925674735;0,597135762058322;0,588323570455469;NA;NA
