date;age60;reported;nowcast_est;nowcast_0.025;nowcast_0.1;nowcast_0.25;nowcast_0.5;nowcast_0.75;nowcast_0.8;nowcast_0.85;nowcast_0.9;nowcast_0.95;nowcast_0.975;reported7;nowcast7_est;nowcast7_0.025;nowcast7_0.1;nowcast7_0.25;nowcast7_0.5;nowcast7_0.75;nowcast7_0.8;nowcast7_0.85;nowcast7_0.9;nowcast7_0.95;nowcast7_0.975;F_est;F_0.025;F_0.1;F_0.25;F_0.5;F_0.75;F_0.8;F_0.85;F_0.9;F_0.95;F_0.975
2022-11-01;0-60;0;0,0;0;0;0;0;0;0;0;0,0;0;0;28;36,0;31;32;34;36;38;38;39;40,0;41,0;42,0;0,207391467859964;0,257765904712664;0,239494857990539;0,224172382628357;0,207317696987172;0,191614590133824;0,187687749064066;0,183320445715583;0,177687666170759;0,169461482151017;0,162929770053096
2022-11-01;60+;0;0,0;0;0;0;0;0;0;0;0,0;0;0;177;229,5;214;219;224;230;236;237;239;241,0;245,0;248,0;0,187301888680258;0,224251763328617;0,211148385952141;0,199924959991270;0,187531657908531;0,175267284442765;0,172450571720793;0,169215989891012;0,165005008695597;0,158933762469334;0,154223487227392
2022-11-01;alle;0;0,0;0;0;0;0;0;0;0;0,0;0;0;205;265,5;249;255;260;266;272;274;276;278,0;282,0;285,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-31;0-60;0;0,0;0;0;0;0;0;0;0;0,0;0;0;60;70,3;64;66;68;70;72;73;74;75,0;76,0;77,0;0,322023530404222;0,395798702880415;0,371102463780622;0,347043844109839;0,321698091241142;0,296763349840826;0,290188117291533;0,283186149297711;0,274674173465853;0,261920743652037;0,252000162854556
2022-10-31;60+;0;0,0;0;0;0;0;0;0;0;0,0;0;0;310;373,0;356;362;367;373;380;382;384;386,0;390,0;394,0;0,307773313562853;0,376758527914738;0,352517639256816;0,331024840110507;0,307392112536200;0,284553738546765;0,279327989573524;0,273305337489304;0,265435736054906;0,253568822534355;0,243347503444420
2022-10-31;alle;0;0,0;0;0;0;0;0;0;0;0,0;0;0;370;443,2;424;431;437;444;451;453;455;458,0;462,0;466,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-30;0-60;0;0,0;0;0;0;0;0;0;0;0,0;0;0;62;72,4;67;68;70;72;75;75;76;77,0;78,0;80,0;0,380267577271054;0,458866243253517;0,431450112468147;0,406065116616838;0,379171506467811;0,352214709815371;0,346154134898900;0,338162192668697;0,328548532954384;0,314886942516903;0,303300862313828
2022-10-30;60+;0;0,0;0;0;0;0;0;0;0;0,0;0;0;343;409,0;392;398;403;409;416;418;420;423,0;427,0;430,0;0,370157503695683;0,442803750934706;0,417782148036616;0,394819746780102;0,369259065126411;0,345170467633846;0,338750726027848;0,332004556673770;0,323721429433295;0,310622797397651;0,300122837960740
2022-10-30;alle;0;0,0;0;0;0;0;0;0;0;0,0;0;0;405;481,5;462;469;475;482;489;491;493;496,0;501,0;505,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-29;0-60;2;3,9;2;2;3;4;5;5;5;6,0;6;7;63;73,5;68;69;71;73;76;76;77;78,0;80,0;81,0;0,516946832958744;0,572183331395138;0,553052184895491;0,535763586516215;0,515417188547670;0,494833263997423;0,489508183739504;0,483833155428361;0,476528697438045;0,465524192413028;0,455124739756645
2022-10-29;60+;8;15,8;11;12;14;16;18;18;19;20,0;21;22;369;438,4;420;427;432;439;446;448;450;452,0;457,0;461,0;0,506420603209539;0,556327970286972;0,539505757859993;0,523794108184954;0,505517772816151;0,487436342657472;0,482842981833151;0,477252166582529;0,471413149142575;0,460343444364842;0,451636864750375
2022-10-29;alle;10;19,7;14;16;17;20;22;22;23;24,0;25;27;432;511,9;492;499;505;512;520;522;524;527,0;532,0;536,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-28;0-60;5;7,4;5;6;6;7;8;9;9;9,0;10;11;77;87,4;82;83;85;87;90;90;91;92,0;93,0;95,0;0,675797196951228;0,719544429869492;0,704947261490765;0,690733384388299;0,673624405611191;0,656453588192082;0,651928155565394;0,647020118060169;0,640225999066593;0,630423479453350;0,622187984081111
2022-10-28;60+;42;63,3;54;57;60;63;67;68;69;70,0;72;74;440;511,7;494;500;505;512;519;521;524;526,0;530,0;534,0;0,663318560001843;0,703801138288179;0,689746559430574;0,676971844765805;0,661968198172490;0,646600602847340;0,642543087162185;0,638075194054055;0,631590678109214;0,623293437494073;0,616194267728323
2022-10-28;alle;47;70,7;61;64;67;71;75;75;77;78,0;80;82;517;599,1;579;586;593;600;608;609;612;615,0;619,0;623,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-27;0-60;11;13,5;11;12;12;13;14;15;15;16,0;16;17;91;100,7;95;97;99;101;103;104;104;105,0;107,0;108,0;0,817131445290848;0,845723448585574;0,836111060221532;0,826648311835735;0,815932155141749;0,804126348468264;0,801096565216151;0,797459007047824;0,793014124059931;0,786195003500339;0,780555188648906
2022-10-27;60+;57;70,7;64;66;68;71;73;74;75;76,0;78;79;496;556,6;541;546;551;557;564;565;567;570,0;573,0;576,2;0,806160074817411;0,832725799345930;0,823545634369240;0,815384101115245;0,805590174837350;0,795025085712627;0,792301722980210;0,789209103362613;0,785253896036609;0,778918809744831;0,773007273501754
2022-10-27;alle;68;84,2;76;79;81;84;87;88;89;90,0;92;93;587;657,2;640;646;652;658;665;667;669;671,0;675,0;679,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-26;0-60;10;11,3;10;10;10;11;12;12;12;13,0;13;14;95;103,0;98;100;101;103;105;106;106;107,0;109,0;110,0;0,887611301267607;0,906367117358898;0,900283158810478;0,894231009329881;0,886788782394936;0,879099874257558;0,877012113602937;0,874601766953810;0,871591998229727;0,866493678784835;0,862167811306073
2022-10-26;60+;70;79,7;74;76;77;80;82;82;83;84,0;85;86;529;581,8;567;572;577;583;588;590;592;594,0;597,0;601,0;0,878525930629993;0,896310202701983;0,890442181332026;0,884963244602370;0,878298950547837;0,871650653382661;0,869879997212572;0,867814958185891;0,865307508088144;0,861339240105375;0,857288771539142
2022-10-26;alle;80;90,9;85;87;89;91;93;94;95;96,0;97;98;624;684,9;669;674;680;686;692;694;696;698,0;702,0;705,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-25;0-60;32;34,3;32;32;33;34;35;35;36;36,0;37;38;123;131,4;126;128;129;131;134;134;135;136,0;137,0;138,0;0,934050943089221;0,945238417764426;0,941243240812554;0,937585177404804;0,933370656139660;0,928570881485821;0,927331414877301;0,925925395176555;0,924152761881241;0,921292788475141;0,918774803986160
2022-10-25;60+;133;143,5;138;139;141;143;146;146;147;148,0;149;151;593;642,3;628;633;638;643;649;650;652;654,0;657,0;661,0;0,926930321133125;0,937085662214775;0,933581809147971;0,930424517450277;0,926687243781615;0,922674146824498;0,921677590018190;0,920530755758126;0,918985888159965;0,916667888495047;0,914541750969614
2022-10-25;alle;165;177,7;171;173;175;178;180;181;182;183,0;184;186;716;773,7;758;764;769;775;781;782;784;787,0;790,0;794,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-24;0-60;2;2,2;2;2;2;2;2;2;3;3,0;3;3;156;163,9;159;160;162;164;166;167;167;168,0;170,0;171,0;0,925204261056300;0,941415268656053;0,935707002243073;0,930496704826658;0,923877730964975;0,916598780268082;0,914728772738694;0,912571096373455;0,909751257065964;0,905188784065832;0,900716784175469
2022-10-24;60+;33;36,1;33;34;35;36;37;38;38;38,0;39;40;723;769,8;756;761;765;771;776;778;779;782,0;785,0;788,0;0,915293647232260;0,932022870265366;0,926319331851439;0,920882489295113;0,914646571415452;0,907581602897966;0,905833234439573;0,903728609734296;0,900788487711418;0,896616627337311;0,892926286320126
2022-10-24;alle;35;38,2;35;36;37;38;39;40;40;41,0;42;42;879;933,7;919;924;929;935;941;942;944;947,0;950,0;954,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-23;0-60;1;1,1;1;1;1;1;1;1;1;2,0;2;2;169;177,3;172;174;175;177;180;180;181;182,0;183,0;184,0;0,900457191958007;0,922125248138205;0,914170719563509;0,907075330801048;0,898412537673943;0,888621998508511;0,886010910357869;0,882901817359529;0,879098769239115;0,872341010093868;0,866851064149525
2022-10-23;60+;26;29,4;26;27;28;29;31;31;31;32,0;33;34;733;778,5;765;769;774;779;785;786;788;790,0;793,0;796,0;0,885658976829265;0,907595295298692;0,900310572397989;0,893029209419682;0,884293653439831;0,874893581598542;0,872269074991255;0,869435357935011;0,865434286814461;0,859495854047445;0,853962589520997
2022-10-23;alle;27;30,5;27;28;29;30;32;32;33;33,0;34;35;902;955,7;941;946;951;957;963;965;966;969,0;972,0;976,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-22;0-60;16;17,7;16;16;17;18;19;19;19;20,0;20;21;172;180,4;175;177;178;180;183;183;184;185,0;186,0;188,0;0,902012339142224;0,919889214935237;0,913419409297027;0,907070747996494;0,899578909681645;0,891245256969696;0,889054416668499;0,886207310739783;0,882548266445451;0,877076180047278;0,871787955593297
2022-10-22;60+;79;89,1;83;85;87;89;92;92;93;94,0;95;97;745;789,3;776;780;785;790;796;797;799;801,0;804,0;807,0;0,886169489632507;0,903056034984356;0,897293848759026;0,891567703765358;0,884660250140216;0,877040188190176;0,875030895031352;0,872464453016628;0,869219804660544;0,864047374411107;0,859016161321680
2022-10-22;alle;95;106,9;101;103;105;107;110;110;111;112,0;114;115;917;969,6;955;960;965;971;977;978;980;983,0;986,0;989,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-21;0-60;19;20,7;19;19;20;21;22;22;22;23,0;23;24;182;190,0;185;187;188;190;192;193;194;195,0;196,0;197,0;0,919906539285165;0,935178714132479;0,929345251815419;0,924026698595286;0,917538474686830;0,910123103018890;0,908164098734631;0,905880587566108;0,902890676313641;0,897826189972578;0,892896836125319
2022-10-21;60+;98;108,1;102;104;106;108;111;111;112;113,0;115;116;768;808,0;795;800;804;809;814;815;817;819,0;823,0;826,0;0,906154346145865;0,920655027326982;0,915649752773182;0,910519469693965;0,904531417365035;0,897726525684253;0,895795679911030;0,893561784027918;0,890440431989147;0,885015103173808;0,879322592942126
2022-10-21;alle;117;128,8;123;125;127;129;132;132;133;134,0;136;137;950;998,0;984;989;994;999;1005;1007;1008;1011,0;1014,4;1018,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-20;0-60;15;15,9;15;15;15;16;16;17;17;17,0;18;18;186;193,4;189;190;192;194;196;196;197;198,0;199,0;200,0;0,945914089690982;0,956921173410971;0,953016707576179;0,949165541250268;0,944519294839126;0,939330486048696;0,937851846276019;0,936183181861710;0,934075863668197;0,930818478148500;0,927421534659607
2022-10-20;60+;90;96,0;92;93;94;96;98;98;99;99,8;101;102;799;834,8;823;827;831;836;841;842;844;846,0;849,0;852,0;0,937894724437052;0,947828104706754;0,944219686243986;0,940915262709336;0,936907410276390;0,932607263132159;0,931414054310325;0,929960953826549;0,928119861834292;0,925131254839219;0,922159840662475
2022-10-20;alle;105;111,8;107;109;110;112;114;114;115;116,0;117;118;985;1028,2;1015;1019;1024;1029;1035;1037;1039;1041,0;1045,0;1048,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-19;0-60;38;39,6;38;38;39;39;40;41;41;41,0;42;43;210;217,7;213;214;216;218;220;221;221;222,0;224,0;225,0;0,960319211839130;0,968903490321360;0,965995500147526;0,963201760979695;0,959611485956705;0,955577907104863;0,954607171383714;0,953230302751046;0,951574149373874;0,948910008990644;0,946408075871186
2022-10-19;60+;134;140,2;136;137;138;140;142;142;143;144,0;145;146;840;873,5;862;866;870;874;879;881;882;884,0;888,0;891,0;0,955919273966388;0,963373650910861;0,960926431320432;0,958505064607103;0,955649192214884;0,952681187740497;0,951938488293993;0,950939472580507;0,949718054299245;0,947789058281189;0,946209576293011
2022-10-19;alle;172;179,7;175;176;178;180;182;182;183;184,0;185;186;1050;1091,2;1078;1083;1087;1092;1098;1100;1102;1104,0;1108,0;1112,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
