date;age60;reported;nowcast_est;nowcast_0.025;nowcast_0.1;nowcast_0.25;nowcast_0.5;nowcast_0.75;nowcast_0.8;nowcast_0.85;nowcast_0.9;nowcast_0.95;nowcast_0.975;reported7;nowcast7_est;nowcast7_0.025;nowcast7_0.1;nowcast7_0.25;nowcast7_0.5;nowcast7_0.75;nowcast7_0.8;nowcast7_0.85;nowcast7_0.9;nowcast7_0.95;nowcast7_0.975;F_est;F_0.025;F_0.1;F_0.25;F_0.5;F_0.75;F_0.8;F_0.85;F_0.9;F_0.95;F_0.975
2022-11-29;0-60;20;43,4;28;32;37;44;54;57;61;66;77;88,0;44;72,2;55;60;65;73;85;88;93,0;99,0;110,0;118,0;0,461066437470771;0,669034717021596;0,599535761125561;0,535757411652849;0,455161469139784;0,375254481708806;0,356574063051188;0,332963213056611;0,304534979324848;0,2642467585001467;0,2304202491995476
2022-11-29;60+;29;65,5;43;49;56;66;80;84;90;97;110;125,0;136;213,1;172;184;197;218;248;257;268,0;285,0;318,0;341,0;0,442417703486283;0,638254206024101;0,574916215093214;0,513277017587022;0,441901529550844;0,367718582166587;0,349517480022046;0,328516284542827;0,302785166871929;0,2657978211897216;0,2359098021613879
2022-11-29;alle;49;108,9;74;83;94;110;133;140;148;161;184;207,0;180;285,3;230;247;265;293;332;344;359,0;382,0;422,0;452,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-11-28;0-60;0;0,0;0;0;0;0;0;0;0;0;0;0,0;48;54,8;50;51;53;56;59;59;60,0;62,0;65,0;67,0;0,341542049391994;0,651021849280976;0,549060565093758;0,445182354040264;0,327983707735348;0,217230707837126;0,192654260783813;0,166251342606442;0,136070547011461;0,0972797380342207;0,0702580183169158
2022-11-28;60+;1;3,0;1;1;2;3;5;5;6;8;10;13,3;181;227,3;203;210;219;231;249;255;263,0;274,0;298,0;319,6;0,334976576013694;0,640323626986248;0,542309324666757;0,446460287369188;0,330999515060951;0,225301982364286;0,202465928863854;0,176578225131448;0,147241090018397;0,1063368847233509;0,0782103218879352
2022-11-28;alle;1;3,0;1;1;2;3;5;5;6;8;10;13,3;229;282,1;255;264;273;287;307;313;322,0;334,0;358,0;383,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-11-27;0-60;0;0,0;0;0;0;0;0;0;0;0;0;0,0;50;57,2;52;54;56;58;61;62;63,0;65,0;68,0;70,0;0,300211669048501;0,613956300153570;0,503685092275026;0,397086463796605;0,280481090508907;0,177288625279139;0,154933128487935;0,130753850007309;0,103208598918889;0,0701098662946076;0,0481930956836932
2022-11-27;60+;5;16,4;7;9;12;17;26;29;34;42;59;84,0;185;230,2;206;213;222;234;250;256;264,0;275,0;297,0;318,5;0,304717716511455;0,620023697221245;0,515081936045894;0,410858737859178;0,297347554203206;0,195715789294603;0,174462614936476;0,149781308068970;0,123159229917953;0,0849413081803690;0,0599481077161908
2022-11-27;alle;5;16,4;7;9;12;17;26;29;34;42;59;84,0;235;287,4;261;269;279;292;311;317;325,0;337,0;360,0;386,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-11-26;0-60;2;3,2;2;2;2;3;4;5;5;5;6;7,0;53;61,2;56;58;60;62;66;67;68,0;70,0;74,0;77,0;0,624625944482157;0,780151236722437;0,729047663199049;0,674093664151149;0,603989543609688;0,526185792658013;0,505791929225440;0,481151267165704;0,449595933038568;0,3977629072328941;0,3493390643636995
2022-11-26;60+;24;37,8;28;31;34;38;44;45;47;50;55;60,0;183;217,7;200;205;211;219;230;233;236,0;241,0;250,0;258,0;0,635575708986545;0,787800026176970;0,740297950407484;0,691888214524587;0,629349388590006;0,562013034481345;0,545011117510162;0,524188401548055;0,495457378260602;0,4521176427530913;0,4141166246230139
2022-11-26;alle;26;41,0;31;34;37;41;47;49;51;55;60;66,0;236;278,8;258;265;272;282;295;298;303,0;310,0;320,0;331,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-11-25;0-60;3;3,9;3;3;3;4;5;5;5;6;6;7,0;57;64,9;59;61;63;66;70;71;72,0;74,0;77,0;81,0;0,770277393317493;0,869248903888391;0,836089785509843;0,800689750233993;0,753087597358246;0,696259490102944;0,678277168948989;0,656900552585371;0,630696208170472;0,5804126587475926;0,5356583603156477
2022-11-25;60+;23;29,4;24;26;27;29;32;33;34;35;37;39,0;187;211,5;199;203;207;213;220;222;224,0;227,0;233,0;238,0;0,782566770978317;0,877303118156729;0,847964671035383;0,817409262832516;0,777947625515653;0,730278315323519;0,718693036527147;0,702968768869939;0,682602534012059;0,6482743416922211;0,6178488089711016
2022-11-25;alle;26;33,3;28;29;31;33;36;37;38;40;42;45,0;244;276,4;261;266;272;279;289;291;294,0;299,0;307,0;314,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-11-24;0-60;9;10,6;9;9;10;11;12;12;13;13;14;15,0;62;69,7;64;66;68;71;74;75;77,0;79,0;82,0;87,0;0,852010538616307;0,916351569544570;0,894415412274280;0,871162729694576;0,837700690839198;0,796537157501872;0,784499589295361;0,767991087922961;0,745305192682927;0,7068163407220681;0,6614788921076650
2022-11-24;60+;27;31,3;28;29;30;31;33;34;35;35;37;38,0;196;216,8;206;209;213;218;224;226;228,0;230,0;235,0;239,0;0,862778673556644;0,922657828963275;0,904916137239449;0,885347218002824;0,858867203132828;0,827635725833696;0,818695672719648;0,808639380043490;0,793252853828376;0,7694763649741516;0,7505453830338986
2022-11-24;alle;36;41,9;37;39;40;42;45;45;46;48;50;52,0;258;286,5;273;278;283;289;298;300;303,0;307,0;314,0;321,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-11-23;0-60;10;11,1;10;10;10;11;12;12;12;13;14;14,0;59;65,5;61;62;64;67;70;71;72,0;73,0;77,0;81,0;0,899432908100056;0,944862539486508;0,930368100564809;0,915108089585589;0,894489631914931;0,868168384890557;0,860503603814956;0,851800072140632;0,840016721547277;0,8200170404705462;0,7999205036057291
