"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975";"realized";"realized7"
2022-12-04;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;195;246,7;203,756717924821;224,338377070538;237,123103776579;250;277,3;265;269;303,3;284;339,7;0,213217770373404;0,382848448415369;0,318283111849604;0,26283483989017;0,206504637104258;0,157166680392942;0,145715076148995;0,132241050420085;0,116969975623463;0,0977086948494491;0,0820106071780694;NA;NA
2022-12-04;"60+";0;0;0;0;0;0;0;0;0;0;0;0;684;881,4;718,601073743885;787,695978457077;839,18196411093;886;946,326221859706;933;946;1036,18235137455;990;1190,80790404477;0,196173934975699;0,358329828603531;0,29697287003984;0,245593184574905;0,194329029196276;0,149389486660643;0,138936773615781;0,126882745029571;0,112759724923325;0,094615663358497;0,0802572998068738;NA;NA
2022-12-04;"alle";0;0;0;0;0;0;0;0;0;0;0;0;879;1128,1;915,760170140815;1007,437515006;1076,70930940067;1136;1220,12519014299;1195;1211;1340,22914028556;1268,4;1552,05659559853;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-12-03;"0-60";9;20,5;13;15;18;21;25;26;28;30;33;36;200;253;214,330969267139;226,566964544209;245,560129524542;256;283;272;276;311;291;349;0,439009789317271;0,580526633942207;0,532184437377122;0,484268664397851;0,430095593897298;0,373597192576865;0,359603664119479;0,342733083051724;0,321720412389479;0,291184795209214;0,26385164907976;NA;NA
2022-12-03;"60+";53;122,9;89;99;109;124;141;147;153;162;177;192;714;918,8;748,682641586808;833,35462108048;884,162881562882;924;973,340537240537;972;985;1060,42403356346;1031;1237,65633221296;0,431339316236645;0,570035797947606;0,524578953316887;0,48038866037448;0,429180366064376;0,376774756683978;0,363685000365419;0,348072629960485;0,329364274647056;0,303317892838792;0,279196119902104;NA;NA
2022-12-03;"alle";62;143,4;105;116;128;145;165;171;179;190;207;225;914;1171,8;957,634637707092;1077,85651308305;1127,79289331238;1180;1252,09868168325;1241;1257;1340,20705346985;1317;1532,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-12-02;"0-60";31;46;37;40;43;47;51;53;54;57;60;64;230;278,5;242,212977107312;261,242616033755;271,934075342466;282;305,5;295;299;329,5;313;363,5;0,673514556441313;0,775204598890284;0,740068563718105;0,706443725597032;0,664063026996987;0,616708805156696;0,604611835184409;0,589465802640593;0,569377412083417;0,53678442116214;0,510781081158088;NA;NA
2022-12-02;"60+";96;142;120;127;133;142;153;156;160;164;172;180;764;916,3;822,28808731532;870,097337900731;895,80472173532;920;949,562828659071;953;962;990,512207961148;993;1084,73052043125;0,676134613171615;0,775866219145424;0,744343829861724;0,711990613877168;0,673169209223043;0,632318758120658;0,621340655312459;0,608100362406331;0,591985747657911;0,56383583576941;0,539814284080336;NA;NA
2022-12-02;"alle";127;188;161;169;178;189;203;207;212;219;229;241;994;1194,8;1078,25338926673;1134,6024024024;1165,512;1203;1251,49511926606;1246;1258;1302,27607607608;1299;1425,41350634455;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-12-01;"0-60";38;48,1;42;44;46;49;52;53;54;56;58;61;236;273,4;243,844005376344;261,048436834483;268,645161290323;276;296,6;287;290;314,6;301;342,6;0,790210543642756;0,85851166640977;0,835264272795256;0,81057989518815;0,780542476026643;0,744250269699545;0,734495867563286;0,722931055799756;0,707009368215316;0,681171777237499;0,654680063738666;NA;NA
