"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975";"realized";"realized7"
2022-12-27;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;104;125,9;104;112,229155433557;120,513907888737;126;133,514819881441;131;132;144,668447625116;136;156,20818716485;0,399279922384829;0,472162492544193;0,446668809841192;0,42414892203759;0,398271561375568;0,373191973345804;0,367233947241359;0,359678927422107;0,350794758208137;0,336939719115732;0,325114210289791;NA;NA
2022-12-27;"60+";1;2,6;1;1;2;2;3;4;4;4;5;6;346;432,9;364,936488428412;397,373583378856;418,914221783241;434;450,780551897376;445;448;475,576387261878;457;522,231951891039;0,378421745694742;0,441653287753543;0,418971202148619;0,400166664961779;0,378532047087886;0,356348022781458;0,351338118258937;0,345152217446543;0,337536507374148;0,325654850012809;0,316446323761093;NA;NA
2022-12-27;"alle";1;2,6;1;1;2;2;3;4;4;4;5;6;450;558,7;484,318214540532;516,25703787982;543,939554140127;560;579,56821656051;574;577;614,571243920915;589;659,825798208939;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-12-26;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;159;184,2;162,220438871473;169,327616302445;177,297872340426;185;194,553191489362;190;191;205,309189764271;196;213,937053291536;0,426579128914036;0,530699567266696;0,495448805763617;0,461674758936503;0,42458256480644;0,386061221824327;0,37752961593547;0,366606451065077;0,353001530643904;0,333062648595787;0,316921768504766;NA;NA
2022-12-26;"60+";1;2,5;1;1;2;2;3;3;4;4;5;5;537;635,3;574,740380487467;597,258593185827;622,043173951082;636;652,3901251474;649;652;683,610252825361;662;713,572709804736;0,403810562018412;0,506719895420634;0,471183907802862;0,43913105332045;0,403168406510256;0,367625843681995;0,35873361071856;0,348793035729145;0,335939776790268;0,316986239948764;0,301557335450228;NA;NA
2022-12-26;"alle";1;2,5;1;1;2;2;3;3;4;4;5;5;696;819,5;749,797691653426;771,428832852169;802,499773341312;821;843,658216830768;836;840;882,36229550101;852;916,104953673321;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-12-25;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;160;185,3;165,024208529176;170,327314041561;179,878248974008;186;193,021887824897;191;192;205,976566323558;197;212,26877117964;0,445360919213461;0,549840274674231;0,513813091214225;0,478817179831192;0,440743366536567;0,402720669213162;0,39286495960431;0,382428312872227;0,368720342401426;0,348537560454165;0,33128369552442;NA;NA
2022-12-25;"60+";0;0;0;0;0;0;0;0;0;0;0;0;558;657,5;603,841952023595;618,940034847199;639,683585540143;659;681,604560739807;671;674;705,407835492874;684;725,887708205222;0,417504180189476;0,520868890687825;0,485940529766357;0,452832665796489;0,415877192526268;0,379846789696288;0,370713828183361;0,360399273278684;0,347093971651138;0,328093183640199;0,31299620976282;NA;NA
2022-12-25;"alle";0;0;0;0;0;0;0;0;0;0;0;0;718;842,8;779,752136565;796,250912041373;819,037157309686;844;874,807094235933;859;863;902,044293765526;875;929,052979838159;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-12-24;"0-60";14;22,1;17;19;20;22;24;25;26;27;28;29;163;188,8;171,69718798151;172,664917234125;182,85;189;199,85;195;196;210,629817859713;200;213,581625577812;0,633748675276661;0,691537998524064;0,67103939986671;0,651480369220967;0,628940455920129;0,605202342522582;0,599045516509197;0,591377204924205;0,582788597897817;0,569173883310715;0,555900648521434;NA;NA
2022-12-24;"60+";44;72,7;61;65;68;73;78;79;80;82;85;87,2;586;691;643,825389876923;654,176295262703;669,281588611325;692;719,957881851566;705;709;738,654206130619;719;750,875466694675;0,605129910283161;0,662652166494975;0,6437283190304;0,625575801954572;0,603536479850918;0,581715475710386;0,575927680970848;0,569597950967525;0,561626077034743;0,548622908788716;0,537242014918247;NA;NA
2022-12-24;"alle";58;94,8;81;86;90;95;101;102;104;106;110;113;749;879,9;821,282131413623;835,06021871821;851,19626933184;882;920,781070951622;897;901;938,70996439471;914;955,97043787423;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-12-23;"0-60";21;26,6;22;24;25;27;28;29;29;30;31;32;176;197,6;182,972782396601;185,304023525342;191,836866359447;198;207,352995391705;203;204;216,043964711988;208;218,690406776994;0,788744720517375;0,826798820440766;0,812990802527328;0,799758989410127;0,784224406324854;0,766832774847349;0,762326359536136;0,756802261279624;0,7499119860674;0,738876682832879;0,729584650376649;NA;NA
2022-12-23;"60+";82;107;97;100;103;107;111;112;114;115;118;120;666;761,5;720,899856709613;729,939620896902;743,711157059667;763;786,404380116466;775;778;801,204993065187;787;814,193802993906;0,76621478134684;0,806701187770987;0,792841198039838;0,780086644398607;0,76461484785869;0,748677423562673;0,744546670324191;0,739531100790411;0,733037753829882;0,723604165620441;0,715470800965935;NA;NA
2022-12-23;"alle";103;133,6;122;126;129;134;139;140;141;143;146;149;842;959,1;911,404803789387;921,140487253725;935,926279985428;961;996,006294838023;975;979;1009,22333451027;990;1024,04290554139;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-12-22;"0-60";26;29,7;27;27;28;30;31;32;32;33;33;34;183;201,6;187,167640201252;189,983186077644;195,637395459976;202;211,690561529271;207;208;216,950789825971;211;222,409449012149;0,875217294168575;0,898289315947496;0,89004168166117;0,881560788032761;0,871612540632984;0,860505356004575;0,857836108097295;0,854264554290221;0,849449052715294;0,84231967287499;0,835221862626644;NA;NA
2022-12-22;"60+";93;108,2;101;103;105;108;111;112;113;114;116;118;702;784,8;755,106626370014;759,982433826781;768,215228603899;786;807,238220124137;797;800;817,530413358883;807;825,05736232527;0,859293139912475;0,885152725644279;0,876284262763629;0,86801649960085;0,858273215643525;0,847601810954524;0,84500225936062;0,841773178605622;0,837613933167663;0,831029873019709;0,825679585978375;NA;NA
