"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975";"realized";"realized7"
2023-02-10;"0-60";6;8,3;6;6;7;8;10;10;10;11;12;13;32;37,4;32;35;36;38;40;40;41;42;44;52,6;0,727191195215448;0,828632470703914;0,795849208107337;0,760869310676299;0,716327323070743;0,666406214294272;0,653262098473935;0,637633399957062;0,616511824540345;0,583265472577341;0,553071802246228;NA;NA
2023-02-10;"60+";10;14,8;11;12;13;15;17;18;18;19;21;22;76;90,4;78,1700657894737;82,4999198075381;86,4665314401623;91;97,9391480730223;96;98;104,444587008821;102;111,656790413534;0,675053068932857;0,792285085408063;0,753681423864269;0,715081280499658;0,669584307963445;0,617872083435928;0,604818064851721;0,589442810124914;0,569180480126513;0,538161432755019;0,510025336417739;NA;NA
2023-02-10;"alle";16;23,1;18;19;21;23;26;27;28;29;31;33;108;127,8;115,281588279209;119,453113741637;121,764705882353;129;137,647058823529;136;137;142,775295934122;143;152,325867861142;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-09;"0-60";3;3,8;3;3;3;4;4;5;5;5;6;6;28;31,3;28;29;30;31;33;34;34;35;36;42,7;0,792579421897944;0,874434070473104;0,847632272439493;0,819832922800833;0,783504938955169;0,740576237202364;0,729675467613089;0,715357288895231;0,696644018443822;0,66848543490003;0,641507753301578;NA;NA
2023-02-09;"60+";15;19,5;16;17;18;20;21;22;23;24;25;26;70;80;70;74,0754860846359;76,7450980392157;80;84,8823529411765;84;85;90,3678993518872;89;102;0,77049423364152;0,859859466719562;0,831123512002025;0,801994720042356;0,765724099294153;0,723721356846927;0,712247675775812;0,699780208512756;0,68323674980935;0,655731642251441;0,628840670472068;NA;NA
2023-02-09;"alle";18;23,3;19;20;22;23;26;26;27;28;29;31;98;111,3;100,930627846454;103,579498703544;107,647058823529;112;120,7;117;118;123,973275713051;122;130,760328562134;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-08;"0-60";7;7,8;7;7;7;8;8;9;9;9;10;10;29;31,8;29;29,351724137931;31;32;33;34;34;36,1524904214559;36;42,2;0,895592843407018;0,938140496957933;0,925019420628122;0,910128112043946;0,891525284158514;0,868686959891044;0,862591651717094;0,85501857696374;0,843924600198285;0,826177508685917;0,81068285604489;NA;NA
2023-02-08;"60+";7;7,9;7;7;7;8;8;9;9;9;10;10;59;64,8;59;60,425641025641;62,201915991157;65;67,9754360108082;68;68;71,3615384615385;71;79,2;0,887682377866609;0,93272909446034;0,918818539811018;0,904292019980095;0,885775856178236;0,86255060345049;0,856396802249254;0,849103043170777;0,839066932972685;0,823852037629788;0,808035374200265;NA;NA
2023-02-08;"alle";14;15,7;14;14;15;16;17;17;17;18;19;19;88;96,7;88;90,7948494983278;94;97;101,941176470588;101;102;106,754715719064;105;111,316218181818;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-07;"0-60";11;11,9;11;11;11;12;13;13;13;13;14;14;32;34,4;32;32,356;33;35;36;36;37;38,196;38;43,6;0,923655462238557;0,953100282123246;0,943887893301;0,933281761415637;0,919443946082971;0,903003136550948;0,898537337205059;0,893051203570965;0,885492436166603;0,87202922168988;0,860390368762614;NA;NA
2023-02-07;"60+";36;39,1;36;37;38;39;41;41;41;42;43;44;65;70,5;65;66,5047095761381;68,6594387755102;71;73,5676020408163;73;74;77,6915227629513;76;85,5;0,920112768597067;0,950104924144507;0,941118653675215;0,930791190170031;0,917831320860549;0,902648735431116;0,898523038384238;0,89336077255149;0,885962986705223;0,87505330451213;0,865275291017365;NA;NA
2023-02-07;"alle";47;51;48;49;50;51;53;53;54;55;56;57;97;105;97,8720238095238;97,7927601809955;101,935574229692;105;109,596638655462;109;110;115,810859728507;112;117,830357142857;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
