"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975";"realized";"realized7"
2023-03-04;"0-60";3;10,1;5;7;8;10;12;13;14;15;16;18;65;98,2;76,3468867216804;82,5359334017562;92,4923867180334;99;107,440897694613;106;108;120,740973885278;114;129,324131032758;0,295819214868675;0,38510971664743;0,351658574337626;0,32367961057458;0,2929263322853;0,262912651518083;0,255760384158767;0,247695630885432;0,237738612770143;0,221694563257804;0,208361118699496;NA;NA
2023-03-04;"60+";9;25,6;17;20;22;26;30;31;32;33;36;38;172;245,1;208,772939492472;218,905519459035;233,567439703154;246;262,804916512059;258;261;282,069515089731;271;297,535892768785;0,351016982441465;0,437951269954197;0,407092385936626;0,380023011736161;0,349328108747438;0,319307824875435;0,311890913691422;0,303563564890736;0,292183964429419;0,27716653448053;0,264570846102425;NA;NA
2023-03-04;"alle";12;35,8;25;28;32;36;41;42;44;46;49;52;237;343,2;298,273964477434;304,374994649601;327,964191650322;346;367,709778649482;362;366;399,415372330266;379;409,050490423487;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-03-03;"0-60";9;19;13;15;17;19;22;22;23;24;26;28;70;97,5;78,4613028257064;85,8132045088567;92,425;98;105,475;104;106;113,861513687601;111;123,160852713178;0,474508067573381;0,559401281037907;0,530282467581467;0,502728122019832;0,471325624277946;0,438721568763571;0,430275832841223;0,420911182238751;0,409622202417381;0,3914587980763;0,375463570591314;NA;NA
2023-03-03;"60+";21;39,8;31;34;36;40;44;45;46;47;50;52;193;255,5;222,798900293255;233,891734052111;244,320561252024;257;271,839179708581;267;269;285,751572327044;278;301,616935483871;0,527979435055204;0,605483891712961;0,579872141627337;0,554888877653001;0,525886919333335;0,496429807049971;0,489090059398605;0,480779799886139;0,469655693002339;0,4528389819641;0,437296023632841;NA;NA
2023-03-03;"alle";30;58,7;46;50;54;59;64;66;67;70;73;76;263;353;313,960811294581;324,81580703006;338,602645426941;355;376,395701181221;368;372;393,514777394289;383;409,216431735803;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-03-02;"0-60";12;19,4;15;16;17;19;22;22;23;24;25;26;79;99,1;84,2737015503876;88,264784443381;93,323602484472;100;106,367080745342;104;106;113,132492278244;110;120,1175;0,618868829710202;0,690173930998106;0,666563556206441;0,642332109067841;0,614644998092432;0,585977076101173;0,578341435724115;0,569513484544345;0,559093397351589;0,542536836379997;0,526901474626884;NA;NA
2023-03-02;"60+";35;53,3;45;47;50;53;57;58;59;61;63;65;234;288;255,154903225806;268,73335554445;278,669905164416;289;302,928151736934;298;300;314,272696984841;308;334,369548387097;0,656403705347614;0,719277710955038;0,698496550480123;0,678036808027776;0,654815845203371;0,62949674602626;0,622468185588058;0,614824600502753;0,605289671053996;0,58990023282972;0,577337744725311;NA;NA
2023-03-02;"alle";47;72,7;62;65;69;73;78;79;80;82;85;88;313;387,1;351,049556291198;363,148712420886;374,728433514301;389;409,206569621987;400;403;423,484017009494;412;442,520831373232;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-03-01;"0-60";20;25,1;21;22;24;25;27;27;28;29;30;31;81;95,3;84,6483462846042;86,0821043771044;90,3022159959246;96;103,33991339786;100;101;106,952811447811;104;110,912697911608;0,796173562224749;0,843634636792034;0,827516943422609;0,812078311730169;0,793865696417092;0,774470508464974;0,769417397619204;0,763637893037159;0,756054760689503;0,743607606520262;0,732689299080433;NA;NA
2023-03-01;"60+";34;41,8;37;38;40;42;44;44;45;46;47;49;234;274,5;246,070541410769;258,376870774882;265,135135135135;275;288,027027027027;283;285;298,210484154586;290;312,732720171725;0,813069896884012;0,855017042647227;0,841169412209777;0,827763149234981;0,811965609352244;0,795469074645851;0,7906240859885;0,785590607155374;0,77900419456452;0,768608202203373;0,759145554841516;NA;NA
2023-03-01;"alle";54;66,9;60;62;64;67;70;71;72;73;74;76;315;369,8;339,485721526535;348,854751415985;357,188606784724;371;391,34446340943;380;382;399,278498007132;390;413,466996372491;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-28;"0-60";20;23,3;20;21;22;23;25;25;25;26;27;28;75;85,1;75;77,0954093567252;80,611320754717;85;91,2986522911051;89;89;94,6664619883041;92;98,5326292687633;0,859055472301726;0,890015401782679;0,879499517212708;0,869183774600903;0,856950842801683;0,843478392132424;0,839873251042355;0,835474068716153;0,830168857179565;0,821594166002045;0,813664063486617;NA;NA
2023-02-28;"60+";71;82,1;76;78;80;82;85;85;86;87;89;90;238;273,6;246,570666666667;252,86732809701;264,823308270677;274;289,203007518797;281;283;301,082844150475;289;313,071407407407;0,864985373566966;0,893423188149312;0,883615923616629;0,874789163449242;0,864216154879582;0,852294902187218;0,849194556558962;0,845391087553027;0,840486659442638;0,833703892284522;0,826626359527827;NA;NA
2023-02-28;"alle";91;105,4;98;100;103;105;108;109;110;112;113;115;313;358,7;327,358128591954;334,445185252804;345,096273291926;360;382,723602484472;368;370;394,457098029371;376,4;404,11373204023;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-27;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;83;91,2;83;85,4727177882107;86,1442307692308;91;97,6346153846154;94;95;99,7909233176839;97;104,27228867165;0,853460964090689;0,98044362116057;0,960151429244178;0,925667041083599;0,852824734248657;0,721933386612045;0,677806024746108;0,618506879106732;0,539241795224964;0,39768273375645;0,272009824209266;NA;NA
2023-02-27;"60+";1;1,2;1;1;1;1;1;2;2;2;3;4;223;251;227,592013888889;235,484848484848;239,977435332966;252;267,53384700055;258;259;273,164502164502;264;285,04797979798;0,852544121706616;0,980637021971816;0,960342155250377;0,926409516919315;0,854083520752567;0,722780120584142;0,677757359292724;0,619237934815353;0,537032179597755;0,39926432598026;0,276096126464246;NA;NA
2023-02-27;"alle";1;1,2;1;1;1;1;1;2;2;2;3;4;306;342,2;316,959304099665;321,688785869918;328,937984496124;344;363,671834625323;350;352;371,716137406703;358;381,095498600516;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-26;"0-60";1;1,3;1;1;1;1;1;2;2;2;2;3;83;91,2;83,24;84,1779727950856;86,5992063492063;91;97,0555555555556;94;95;101,733040807372;97;103,14;0,795198687202944;0,890210914636917;0,862485392277123;0,831722393459791;0,788770935661491;0,738822522408345;0,724670624144597;0,707643086895028;0,686442832750039;0,65258624393905;0,620544992457012;NA;NA
2023-02-26;"60+";1;1,3;1;1;1;1;2;2;2;2;2;3;223;250,9;227,267356345099;235,397402597403;238,848930481283;252;266,659090909091;257;259;273,592207792208;263;283,638799925597;0,785027222360016;0,88513570608923;0,856277068964472;0,825980512893629;0,782196657495689;0,729440352519995;0,716120972278586;0,699509727541767;0,676953662381202;0,641763460032562;0,608464723531581;NA;NA
2023-02-26;"alle";2;2,5;2;2;2;2;3;3;3;4;4;5;306;342,1;320,664607269509;322,43942244993;327,818624467438;343;366,134510042605;350;352;370,984058376029;357;373,810209080644;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-25;"0-60";8;9,5;8;8;9;9;10;11;11;11;12;12;83;91,1;83,569470046083;84,3781838316722;86,3804347826087;91;97,6174948240166;94;95;101,72480620155;97;102,764938556068;0,84592124001838;0,880943547301016;0,868401788906931;0,856011530380417;0,840879314422989;0,824412476430991;0,819863145465922;0,814332636350875;0,807102496743806;0,795646369332818;0,78459455119341;NA;NA
2023-02-25;"60+";30;36,1;32;33;34;36;38;39;39;40;41;42;224;251,9;232,132553988376;237,225402597403;238,773126734505;253;269,06591119334;258;260;271,253454545455;264,4;279,284260071149;0,831385493792076;0,867679837166565;0,855057305377797;0,843310994557698;0,829004559185937;0,812733264639971;0,808467247065881;0,803668940519241;0,796972206651251;0,787221292867135;0,776877882110981;NA;NA
2023-02-25;"alle";38;45,5;41;42;44;46;48;48;49;50;51;52;307;342,9;320,80835143435;323,982852143482;328,370588235294;344;365,625490196078;351;352;371,874365704287;358;373,896809227773;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-24;"0-60";18;20,6;18;19;19;21;22;22;22;23;24;25;86;93,4;87,5005508474576;86,7481791044776;89,375;94;100,875;96;97;102,39952238806;99;103,589957627119;0,874721862582147;0,903641464741768;0,893507567622907;0,883030797930195;0,870385677106678;0,856538910754082;0,852690990457937;0,848055729882024;0,842552984241443;0,83203990573262;0,8222930666716;NA;NA
2023-02-24;"60+";62;72,2;66;68;70;72;75;76;76;77;79;80;217;240,9;224,163148755547;224,721047877145;230,771449704142;242;258,712278106509;247;248;262,237458596808;252;263,046742555791;0,858389532471239;0,888715718615127;0,878511220060302;0,868450759180483;0,855954474347685;0,842660374181961;0,839207518578282;0,835219845486791;0,829485765744659;0,820335040085548;0,812677455898442;NA;NA
2023-02-24;"alle";80;92,8;86;88;90;93;96;97;98;99;101;102;303;334,4;312,75598744877;315,024774386819;319,821875;335;358,411029411765;342;343;362,153701554016;348;365,916720030738;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-23;"0-60";14;15,6;14;14;15;16;17;17;17;18;18;19;79;84,5;79;79,5506072874494;80,7747252747253;85;90,7087912087912;87;88;91,4291497975708;90;97,5;0,896087977213768;0,92061146994007;0,911920983650223;0,903010834227271;0,892310180904783;0,880120069104199;0,876701448475616;0,872977470541477;0,867737080683971;0,858713673073054;0,851148496434048;NA;NA
2023-02-23;"60+";35;39,8;36;37;38;40;41;42;42;43;44;45;180;195,6;181,913423076923;184,896224899598;186,452898550725;196;207,561594202899;200;201;210,492208835341;204;214,329;0,879204795594758;0,905519988698978;0,89649883682476;0,887756305090524;0,877218214320947;0,865459958185857;0,862480743198652;0,858690893074865;0,853830214408023;0,846295884511758;0,839376472449203;NA;NA
2023-02-23;"alle";49;55,4;51;52;54;55;57;58;59;59;61;62;259;280,2;262,202661064426;264,16385085317;266,907692307692;281;300,138461538462;286;287;302,18504318517;291;305,239775910364;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-22;"0-60";14;14,9;14;14;14;15;16;16;16;16;17;17;91;96,2;91;92,1636706473916;93,5227272727273;96;100,215909090909;99;99;103,171841609051;101;107,8;0,938893884053319;0,955152927825285;0,949872902032201;0,944379067678657;0,937548520620906;0,929562326133052;0,92744152668291;0,924871827546728;0,921644762661408;0,916494687553787;0,911281665338727;NA;NA
2023-02-22;"60+";38;41;38;39;40;41;42;42;43;43;44;45;207;221,7;207,645784474672;210,246218487395;212,828571428571;222;232,542857142857;226;227;237,052941176471;230;240,499794793621;0,927838388025279;0,945824002933702;0,939614146505005;0,933872700987859;0,927104236728747;0,919639628393378;0,917544180111318;0,915286646636471;0,912209933970882;0,907462554837665;0,90287362968439;NA;NA
2023-02-22;"alle";52;55,9;53;53;55;56;57;58;58;59;60;61;298;317,9;300,008972782843;302,082010508575;306,728003784295;319;333,694891201514;323;325;339,616222861108;328;344,233983881433;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-21;"0-60";28;29,4;28;28;29;29;30;30;31;31;32;32;103;108,1;103;103;105,711428571429;108;112,225714285714;110;111;115,268571428571;113;119,9;0,95172449367239;0,964238560242227;0,959802513865473;0,955526433002626;0,950092082864365;0,944043704873005;0,942369741007572;0,94045687751478;0,93786598946447;0,933545102836705;0,92964446818282;NA;NA
2023-02-21;"60+";56;59,5;56;57;58;59;61;61;62;62;63;64;193;205,5;193;194,571428571429;199,019847972973;206;214,572212837838;209;210;221,285714285714;213;225,01953125;0,941842048049918;0,955179595987377;0,950604472736055;0,946274153577015;0,941144302813115;0,935184880565017;0,933689928807978;0,931883862691356;0,92936832858776;0,926035890823467;0,922738008639616;NA;NA
2023-02-21;"alle";84;88,9;85;86;87;89;91;91;92;92;93;94;296;313,6;297,715315315315;298,733288439955;304,223180592992;314;329,46846361186;319;320;333,245297418631;324;339,517117117117;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-20;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;97;101,1;97;97,95;99,1695156695157;101;104,434472934473;103;104;106,95;106;112,9;0,943175569587287;0,992617217517911;0,984873723383542;0,971163310888358;0,941123491573131;0,883162541842639;0,860490495431457;0,830168325076842;0,786697641030442;0,696277337619592;0,596792396685978;NA;NA
2023-02-20;"60+";1;1,1;1;1;1;1;1;1;1;2;2;2;199;209,6;199;201,372984749455;205,857142857143;210;216,4;213;214;221,940522875817;217;226,4;0,930460123759782;0,991292380229832;0,981885997254775;0,966074359062599;0,930629518644853;0,861636365517133;0,836454856867989;0,80242043248587;0,747902374216842;0,650123601537951;0,546995132208557;NA;NA
2023-02-20;"alle";1;1,1;1;1;1;1;1;1;1;2;2;2;296;310,8;296;298,624761904762;301,743209876543;311;324,385185185185;315;316;329,062857142857;320;336,791229366839;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-19;"0-60";1;1,1;1;1;1;1;1;1;1;2;2;2;97;101,1;97,9670212765957;98,1923076923077;99,4355263157895;101;103,975;103;104;106,5;106;107,062765957447;0,911569646070238;0,954138958952975;0,941861795111091;0,927259828309273;0,906505798107765;0,880906970929794;0,87329336572961;0,863751467323033;0,852410996001795;0,832547793360026;0,813343340040818;NA;NA
2023-02-19;"60+";2;2,2;2;2;2;2;2;3;3;3;3;4;198;208,6;198;200,370463078849;202,815;209;213,94;212;213;220,944305381727;215;225,4;0,891264631963276;0,943797184947593;0,929092634972429;0,912408185610989;0,888538612096236;0,858730088984332;0,851081797180609;0,84086402862884;0,827323922028492;0,807501096595384;0,783557908416098;NA;NA
2023-02-19;"alle";3;3,3;3;3;3;3;4;4;4;4;5;5;295;309,7;295;298,339971139971;300,573529411765;310;320,854575163399;314;315;327,3443001443;319;332,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-18;"0-60";11;11,8;11;11;11;12;12;13;13;13;14;14;98;102,1;99;99,29;100,475;102;104,906818181818;104;105;107,318571428571;107;108;0,930905823382258;0,949439201085565;0,942246984922701;0,935331453836936;0,926606769812764;0,916676258224419;0,913835187500695;0,91039655269717;0,905772463084711;0,898354799059947;0,890452427227149;NA;NA
2023-02-18;"60+";23;25,2;23;23;24;25;26;26;27;27;28;29;199;209,5;199;199,215576073866;204,147147147147;210;214,852852852853;213;214;222,069851465275;216;227,426316023871;0,914065798043444;0,935164472605683;0,927628513020397;0,920537800143082;0,911735596547091;0,901951365389368;0,899403278524729;0,896416762460819;0,891818136819706;0,885381060191926;0,878562478930708;NA;NA
2023-02-18;"alle";34;37;34;35;36;37;38;39;39;40;41;41;297;311,6;297;300,777188328912;303,738095238095;312;321,880952380952;316;317;326,657824933687;320;334,160975609756;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-17;"0-60";11;11,7;11;11;11;12;12;12;13;13;13;14;106;109,8;107;107,9;108,813953488372;110;114,2;112;113;113,177777777778;114;115;0,942563100707911;0,957787697804229;0,952176009517583;0,946357458628833;0,938956197953725;0,930565620027826;0,928304770827162;0,925417204604102;0,921606551345884;0,915081143419405;0,908677520325203;NA;NA
2023-02-17;"60+";25;26,9;25;25;26;27;28;28;28;29;30;30;205;214,2;205;205,744;209,754521963824;214;219,857881136951;217;218;223,864;221;228,783742443671;0,928907175438175;0,946112104206234;0,940083564344181;0,934329005927236;0,926914070223671;0,918798682070371;0,916669069792041;0,914041371313189;0,910771560600689;0,905590363574029;0,900367193756258;NA;NA
2023-02-17;"alle";36;38,6;36;37;37;39;40;40;41;41;42;43;311;324;311;315,107756813417;318,595301813857;325;332;328;329;339,56142557652;333;346,090163934426;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-16;"0-60";26;27,3;26;26;27;27;28;28;29;29;30;30;104;107,4;104;105;106;107;109;109;110;111;112;113;0,951986892579426;0,964988559442916;0,960210844034288;0,955297853583307;0,948876801111409;0,941605330926821;0,939649837171455;0,937036372546409;0,933431383876589;0,927837662883668;0,921989459068277;NA;NA
2023-02-16;"60+";62;65,9;63;64;65;66;67;68;68;69;70;71;198;205,7;198;198,985784581739;202,061081081081;206;210,623243243243;209;209;213,503007107709;212;220,3;0,941246351758784;0,955613730404942;0,950720592910485;0,945656476950081;0,939530388741623;0,932535955985117;0,930643265196533;0,92836588387165;0,925464494017303;0,920663595652999;0,915987859268077;NA;NA
2023-02-16;"alle";88;93,2;89;90;92;93;95;96;96;97;98;99;302;313;302;305,304023845007;307,431818181818;314;321,352272727273;317;318;324,543964232489;321;331,650406504065;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-15;"0-60";26;26,7;26;26;26;27;27;27;28;28;29;29;90;92,3;90;91;91;92;94;94;94;95;96;99,7;0,972296699675489;0,981154236803934;0,978172658304662;0,975147084057533;0,971289897576877;0,966571981231011;0,965395480849562;0,963909858911999;0,96194410048226;0,959030547127189;0,95587928666505;NA;NA
2023-02-15;"60+";24;24,8;24;24;24;25;25;26;26;26;27;27;161;165,2;161;161,605538461538;162,56;165;169,16;167;168;171,408615384615;170;176,8;0,967446237961678;0,976712254492279;0,973666426274322;0,970615918852004;0,966915902651061;0,9628466265083;0,96168000871466;0,960427995081588;0,958714122641946;0,956067949921648;0,953674671690833;NA;NA
2023-02-15;"alle";50;51,5;50;50;51;51;52;53;53;53;54;55;251;257,5;251;251;254,008225616921;258;263,319623971798;261;261;265,967644084934;263;272,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-14;"0-60";22;22,5;22;22;22;22;23;23;23;24;24;24;74;75,6;74;74;75;76;77;77;77;78;79;82,4;0,978412190361917;0,985176406076666;0,982838170945727;0,980380652523377;0,977259965047267;0,973681815692802;0,972583306880924;0,97135157357051;0,969743782711804;0,967257289958875;0,964885959989997;NA;NA
2023-02-14;"60+";62;63,6;62;62;63;63;64;65;65;65;66;67;170;173,7;170;170;170,353125;174;176,259375;176;176;178,43;178;184,3;0,975304764806811;0,98213883862803;0,979927303260282;0,977628943052993;0,974831421869519;0,971607322828379;0,970752878507457;0,969647350151134;0,96833972526201;0,96620069489627;0,964222810127436;NA;NA
2023-02-14;"alle";84;86,1;84;84;85;86;87;87;88;88;89;89;244;249,3;244;245,459696969697;246,47;250;254,7;252;253;255,477878787879;255;262,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-13;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;75;76,3;75;75;76;76;77;78;78;78;79;83,7;0,975036570958825;0,99684527374626;0,993471810595026;0,987407682551743;0,973735524065236;0,945879449527589;0,934628427680101;0,919548782653026;0,896278271294896;0,84996099995453;0,787166249358022;NA;NA
2023-02-13;"60+";0;0;0;0;0;0;0;0;0;0;0;0;153;155,4;153;153,355425219941;153;155;158,207977207977;157;157;159,19706744868;159;164,6;0,972206106312481;0,996490194560871;0,992874713105299;0,986514191116596;0,972019895009271;0,94226108277316;0,931056198781449;0,914650426870255;0,890093285287819;0,83813106241474;0,778327556101454;NA;NA
2023-02-13;"alle";0;0;0;0;0;0;0;0;0;0;0;0;228;231,7;228,473397435897;228;230,353693181818;232;236,3;234;235;236,607419354839;236;244,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-12;"0-60";2;2,1;2;2;2;2;2;2;2;2;3;3;75;76,3;75;75,3714285714286;76;76;77;78;78;77,5142857142857;79;83,7;0,962012418767379;0,981624738044537;0,975665914028584;0,968873156763496;0,958653343792918;0,945311516490144;0,941349278123083;0,936452653103583;0,929475569772967;0,91756277291942;0,905427002504261;NA;NA
2023-02-12;"60+";3;3,1;3;3;3;3;3;3;3;4;4;4;153;155,4;153;153,627485380117;153,095833333333;155;158,033333333333;157;157;158,691812865497;159;160;0,959303693678322;0,979996900040559;0,974299010623462;0,967672201716998;0,957518888995462;0,944752173237729;0,941131679039903;0,936400647862758;0,930029093162608;0,920487796502308;0,910876149971958;NA;NA
2023-02-12;"alle";5;5,2;5;5;5;5;5;6;6;6;6;7;228;231,7;228,740545746388;228,20866359447;230,507407407407;232;236,3;234;235;235,967188940092;236;244,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-11;"0-60";19;19,6;19;19;19;19;20;20;20;21;21;22;73;74,2;73;73;73;74;75;75;76;76;77;81,8;0,971598573691611;0,981597967854993;0,978068058087801;0,974044554252043;0,96890480653678;0,962175265712898;0,960314875288444;0,957940687256746;0,954493100179612;0,948082191865089;0,939763785057679;NA;NA
2023-02-11;"60+";29;29,9;29;29;29;30;31;31;31;31;32;32;150;152,3;150;150,94347826087;150,256535947712;152;154,972222222222;154;154;157,7;156;156;0,970320853935277;0,98014012442658;0,976906987975756;0,973485114493345;0,968857542500462;0,963374572736088;0,961748069838155;0,959749732278003;0,957040412713273;0,952814563185649;0,947888489816425;NA;NA
2023-02-11;"alle";48;49,4;48;48;49;49;50;51;51;51;52;53;223;226,5;223;223,344322344322;223,969938107869;227;229,030061892131;229;229;230,917948717949;231;237,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-10;"0-60";9;9,2;9;9;9;9;9;10;10;10;10;10;65;65,8;65;65;65;66;66;67;67;67;68;70,2;0,977631133388923;0,98616096910007;0,983148838685155;0,979885915071515;0,975478205213486;0,969778002470788;0,968130862248781;0,965995945175044;0,963131243568952;0,958007655024738;0,951492886075914;NA;NA
2023-02-10;"60+";18;18,4;18;18;18;18;19;19;19;19;20;20;150;151,7;150;150;150,790998217469;152;153,388146167558;153;153;154;155;155;0,977790333745369;0,985611628760895;0,983178105959627;0,980345792085406;0,976634652980123;0,972139175308345;0,970931489486351;0,969284510095425;0,966966185342377;0,963268847341486;0,959769401608423;NA;NA
2023-02-10;"alle";27;27,6;27;27;27;27;28;28;28;29;29;30;215;217,4;215;215,680338266385;215,8;218;219,228571428571;219;220;220,593657505285;221;226,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-02-09;"0-60";12;12,2;12;12;12;12;12;13;13;13;13;14;69;69,7;69;69;69;70;70;71;71;71;72;74,3;0,982251129750212;0,989510403069155;0,986988399922692;0,984353718505151;0,980495670751077;0,975487500823321;0,973994960074625;0,972110479657622;0,969332341105494;0,964273097948504;0,958156145334014;NA;NA
