"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975";"realized";"realized7"
2023-09-07;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;18;24,8;19,1111111111111;21,9011764705882;24;26;29;30;31;41,2;37;54,6;0,208334076570403;0,324902621483446;0,275680153408139;0,234302170108337;0,190495807265131;0,146990322012504;0,137246566238713;0,124376749762828;0,107561413310951;0,0801568162428143;0,0538416942282652;NA;NA
2023-09-07;"60+";1;6,5;2;3;5;7;9;10;11;12;14;17;50;81,1;62,4060559006211;68,0185;72,9;84;102,9;95;98;122,9;110;154,9;0,155005452125956;0,259154715725334;0,218287263195062;0,184427546457017;0,150153417516364;0,119227256199276;0,112255238194735;0,10408707755659;0,0940651583279431;0,0809252530967331;0,0680505908160538;NA;NA
2023-09-07;"alle";1;6,5;2;3;5;7;9;10;11;12;14;17;68;105,9;87,6721371224672;92,9486682808717;100,583333333333;110;136,1;123;127;160,1;146;207,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-09-06;"0-60";3;5;3;3;4;5;6;7;7;7;8;9;27;35;30;32;34;37;40;42;43;46;53,1;57;0,596995308006271;0,714594349822213;0,672243726209996;0,633214299757294;0,587863838457283;0,53768204166991;0,524194366252067;0,508347148510694;0,489025219869521;0,458201676266115;0,431945387296364;NA;NA
2023-09-06;"60+";5;9,2;6;7;8;9;11;11;12;13;14;15;63;90,5;77,2136948529412;80,9639448568399;84,8125;93;111,5;103;106;129,5;118;162,5;0,544852602948709;0,656918734392337;0,618377512403304;0,582496582963162;0,540697197470022;0,495932818803125;0,485591187421576;0,47198395373581;0,454201098715015;0,428143987579137;0,407852418839016;NA;NA
2023-09-06;"alle";8;14,2;10;11;12;14;17;17;18;19;20;22;90;125,5;110,224827586207;115,758913412564;122,264705882353;131;156,5;144;149;188,5;177;254,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-09-05;"0-60";8;11,2;8;9;10;11;13;13;14;15;16;17;25;31;27;28;30;32;36;37;39;42;48,5;52;0,713725998418229;0,797738250437667;0,767144951620889;0,736401747092452;0,698068775420342;0,655384149044472;0,64411314766877;0,630371802763637;0,611645833099364;0,582846288602639;0,556300243002536;NA;NA
2023-09-05;"60+";23;33,6;27;29;31;34;37;38;39;40;42;44;78;102,7;92;94,4726443768997;98,65;105;121,3;114;117;139,3;130;139,4;0,685034191656948;0,766986820791708;0,739462277743993;0,711856444210305;0,678208472040816;0,640506100417611;0,630168762209784;0,618405686651305;0,603332158497148;0,581683202680164;0,559620595474056;NA;NA
2023-09-05;"alle";31;44,8;37;40;42;45;49;50;51;53;56;58;103;133,7;122;127;131,392857142857;139;162,3;151;156;163;183;196,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-09-04;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;20;23;20;21;22;24;27;28;29;32;37;39,6;0,417298478375744;0,621966909814167;0,54254643066122;0,460772388969561;0,369476906080158;0,274416401591701;0,250612778983582;0,222402322589409;0,183865548704103;0,128654358042053;0,0804878596235639;NA;NA
2023-09-04;"60+";4;10,2;5;6;8;11;14;16;17;19;24;30;72;87,2;77,5130844155844;80,5079796264856;83,8972431077694;89;102,8;97;99;118,8;111;150,8;0,393456155517299;0,600062279637647;0,530391590179934;0,455879738489082;0,374166574654076;0,290530636456077;0,270060938220032;0,247000665485945;0,218192111095016;0,173548666026632;0,135226377039148;NA;NA
2023-09-04;"alle";4;10,2;5;6;8;11;14;16;17;19;24;30;92;110,3;100,121673355974;103,755703211517;109;114;122;125;129;161,7;156;224,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-09-03;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;20;23;20;21;22;24;27;28;29;32;37;39,6;0,488162904799309;0,67012174454932;0,59621938525274;0,524326122437203;0,429417602157503;0,32446903577316;0,295590264763354;0,260911305671093;0,214533757958576;0,135176771653286;0,0758089189970399;NA;NA
2023-09-03;"60+";1;2,1;1;1;1;2;3;3;4;4;5;7;71;80,9;73,8829907161804;75,3159090909091;78,5869565217391;82;91,1;87;88;99,1;95;122,9;0,474575212677843;0,654557605368263;0,593323870712648;0,52782185324583;0,450840227809501;0,367260095104529;0,34657985424376;0,32247055119108;0,289944939845122;0,236360832391369;0,178686028394041;NA;NA
2023-09-03;"alle";1;2,1;1;1;1;2;3;3;4;4;5;7;91;103,9;94,9227272727273;99,1019736842105;103;107;113;115;117;142,1;142,1;200,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-09-02;"0-60";3;3,7;3;3;3;4;5;5;6;6;8;13;21;24,3;21;22;24;25;28;29;31;34;39,3;42,1;0,800338039105833;0,870850718721171;0,841360058926657;0,809385325858675;0,762138320425302;0,692522110233528;0,666894861558731;0,632433428347021;0,562982735668389;0,391654422875531;0,239186115126702;NA;NA
2023-09-02;"60+";7;8,8;7;7;8;9;10;10;11;11;13;15;72;81,4;74,9447118644068;77;79,2222222222222;83;90,6;87;88;100,6;95;122,4;0,797622638133272;0,862452735602095;0,83917681098595;0,815502651110824;0,783033413533585;0,743835078006442;0,731544796701503;0,716548909401421;0,692973752074665;0,641491684213543;0,540158313959569;NA;NA
2023-09-02;"alle";10;12,5;10;11;12;13;15;15;16;17;20;27;93;105,7;96,9742424242424;101,007046476762;104,631578947368;109;124,3;117;119;144,3;144,4;203,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-09-01;"0-60";4;4,8;4;4;4;5;6;6;7;8;10;16;25;28,2;25;26;28;29;32;34;36;39;45,1;48,3;0,832152143816944;0,89786793019372;0,871606803096069;0,83985131430353;0,795169672574465;0,723939147891549;0,698064930160796;0,656932009491033;0,589457903914497;0,410400301221178;0,257108053078344;NA;NA
2023-09-01;"60+";9;10,8;9;9;10;11;12;13;13;14;15;17;89;98,8;90,9113095238095;93,4271304347826;95,6071428571429;100;109,2;105;107;119,2;115;147,8;0,830569028525862;0,890112570572702;0,869487508782272;0,847823235296923;0,817201229684255;0,778646132539249;0,766466730735909;0,75114411241545;0,727247863239216;0,669756655417308;0,566831539612663;NA;NA
2023-09-01;"alle";13;15,6;13;14;15;16;18;19;20;21;25,8;34;114;127;118,505835380835;121,095238095238;125,160839160839;130;147;139;143;173;173,3;244,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-08-31;"0-60";9;10,2;9;9;10;11;12;13;13;15;21;35;22;24,4;22;23;24;25;28;29;31;34;39,3;42,1;0,881357260502463;0,928317926784491;0,909096159822771;0,886093372085551;0,84955664954881;0,785447944330829;0,756750711744595;0,711798574344061;0,612076022254895;0,415656469390315;0,257063645043216;NA;NA
2023-08-31;"60+";14;15,9;14;14;15;16;17;18;18;19;20;23,9;92;101;92,7754716981132;95,4957264957265;99,375;102;111;107;109;121;117;150;0,881310751830991;0,922102612812256;0,907193332918221;0,891853792894601;0,870287689087717;0,842839515900659;0,833400605759502;0,820801850484892;0,801469541273508;0,745432173401566;0,621244290644399;NA;NA
2023-08-31;"alle";23;26,1;23;24;25;27;29;30;32;34;44;58;114;125,5;117,118603411514;120,420289855072;124,686274509804;129;142,5;136;140;168,5;169,8;238,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-08-30;"0-60";1;1,1;1;1;1;1;1;1;1;1;2;2;17;18,5;17;17;18;19;21;22;23;25;28,9;31;0,943133194246226;0,96742123966999;0,959148434705926;0,949335676568476;0,935294483516777;0,915975320369824;0,910187919339836;0,90313055477492;0,89323055932613;0,876207170333433;0,857007185673769;NA;NA
2023-08-30;"60+";20;21,3;20;20;21;21;22;22;23;23;24;25;92;100;94,1981132075472;95,9745454545454;98,4281045751634;101;110;106;107;120;115;146,6;0,938048287213376;0,961838738965415;0,953705442070362;0,945309473880571;0,93395136258712;0,919846125338263;0,915677306230105;0,910511760036965;0,903380231229464;0,890844782284786;0,877320199484742;NA;NA
2023-08-30;"alle";21;22,4;21;21;22;22;23;24;24;24;25;26;109;118,5;111,14912520503;113,585858585859;118;121;126;128;131;153,5;155;213,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-08-29;"0-60";3;3,2;3;3;3;3;3;4;4;4;4;5;21;22,5;21;21;22;23;25;26;27;30;34,7;37,2;0,941647839408771;0,966665471871124;0,956884954954528;0,945919502652103;0,929774641105696;0,907290926390591;0,90066513631669;0,891740396414968;0,877494965058704;0,850387392279559;0,821858831323051;NA;NA
2023-08-29;"60+";17;18,1;17;17;17;18;19;19;20;20;21;22;97;104,5;99;99,3787878787879;102,53125;106;113,5;110;112;123,5;119;127,6;0,936797011334939;0,960864954035196;0,952272206240976;0,943646478733499;0,931617040483878;0,915846482200592;0,911086365974726;0,905463783480375;0,897300878322569;0,881770204166572;0,860989935422044;NA;NA
2023-08-29;"alle";20;21,3;20;20;21;21;22;23;23;24;24;25;118;127;120,356060606061;122,934865900383;125,393382352941;129;143;137;139;163;164;224,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-08-28;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;27;28,6;27;27;28;29;31;32;33;36;41,6;44,6;0,793296161969669;0,894737900211505;0,854863207572906;0,808923055625971;0,73855301007053;0,634449472006651;0,601986374419445;0,553730328396569;0,477466262409847;0,32618333853851;0,196359862740959;NA;NA
2023-08-28;"60+";3;3,8;3;3;3;4;5;5;5;6;7;8;103;110,1;105;106,645714285714;108,738095238095;111;119,9;116;117;127,9;125;134,1;0,782299306184986;0,884863350953352;0,850180732202101;0,81275890361763;0,760360779805792;0,690198672594396;0,669379177297815;0,641483445292443;0,606687165100397;0,533201188139301;0,438195218489146;NA;NA
2023-08-28;"alle";3;3,8;3;3;3;4;5;5;5;6;7;8;130;138,7;131,654166666667;134,620512820513;137,5625;141;153,3;148;151;175,3;177;240,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-08-27;"0-60";1;1,3;1;1;1;1;2;2;2;3;4;7;28;29,7;28;28;29;30;33;34;35;38;43,9;47,1;0,786968568790606;0,889233506924653;0,848749971460821;0,802317280903149;0,728285728422704;0,609258011994563;0,567955910837406;0,517245124114775;0,432721903232517;0,260960419508196;0,139287497493889;NA;NA
2023-08-27;"60+";2;2,6;2;2;2;3;3;3;4;4;5;6;102;108,5;104;105;106,125;110;117,5;114;115;117;123;131,9;0,777785061575749;0,874926736180339;0,842052746597068;0,804781221969849;0,754341763783834;0,685987027271011;0,665443368699588;0,636727313976921;0,594500703699668;0,518533973972205;0,389160784898504;NA;NA
2023-08-27;"alle";3;3,8;3;3;3;4;5;6;6;7;9;14;130;138,2;133;135;136,294117647059;141;153,8;148;151;156;177;189,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-08-26;"0-60";7;7,6;7;7;7;8;9;9;10;11;15;24;27;28,4;27;27;28;29;31;32;33;35;40,4;43,4;0,916578294385335;0,956153611323297;0,940705753048638;0,920416413306627;0,887003695024485;0,823062953587363;0,796148009982316;0,754536372721951;0,667721174343307;0,466717064332585;0,295226306179772;NA;NA
2023-08-26;"60+";24;26,2;24;25;25;27;28;29;29;30;33;38;103;109,3;105;105,5875;108;110;113;114,2;116;126,7;124;133;0,91458548850277;0,950194151039033;0,937619196558208;0,923519326112961;0,904147082290422;0,875327843545563;0,865814194965075;0,853147983558199;0,831581834277474;0,766495021919681;0,636703551112479;NA;NA
2023-08-26;"alle";31;33,9;31;32;33;35;37;38;39;41;49;66;130;137,7;131,544209558824;135;136,547916666667;140;152,3;147;150;155;173;233,3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-08-25;"0-60";1;1,1;1;1;1;1;1;1;2;2;3;4;23;23,9;23;23;23;24;26;26;27;29;33,5;35,9;0,923655499853712;0,961403652469399;0,94642663898788;0,927616885850428;0,894868644416047;0,831208265105659;0,802887308879031;0,760410297809405;0,675429767738101;0,467451946904361;0,292940275690576;NA;NA
2023-08-25;"60+";12;13;12;12;12;13;14;14;15;15;17;19;87;91,3;87,415625;87,9009324009324;90;92;95;95;97;104,7;102,8;129,1;0,921284463716568;0,955685283866799;0,943981692375515;0,930138057707406;0,910692257470373;0,883221646081178;0,874027596193983;0,860783387564666;0,838658048883079;0,774451074616963;0,642680345564236;NA;NA
2023-08-25;"alle";13;14,1;13;13;13;14;15;16;16;17;19;23;110;115,3;110;112;113,035714285714;117;126,7;122;124;140,7;140;184,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-08-24;"0-60";4;4,2;4;4;4;4;5;5;6;6;9;14;25;26;25;25;25;26;28;29;30;32;37;39,6;0,943086001017371;0,971737620015229;0,960399845173282;0,9456618126342;0,919141660252278;0,859392710268619;0,827632235662571;0,776034380152882;0,669568547598321;0,463666170206086;0,281056693049498;NA;NA
2023-08-24;"60+";14;14,9;14;14;14;15;16;16;16;17;18;21;80;83,5;80;80;80,6931818181818;84;88,1780303030303;87;88;96,5;93;115,9;0,942249652689854;0,966770900352039;0,958025657442006;0,948158803862349;0,933748896971731;0,913120239965585;0,905856372354956;0,895419412399817;0,876799178174942;0,811708965639004;0,668135378961816;NA;NA
2023-08-24;"alle";18;19,1;18;18;19;19;21;21;22;23;28;36;105;109,4;105;105,809022556391;108,666666666667;111;118,6;116;118;134,6;135;180,2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-08-23;"0-60";5;5,1;5;5;5;5;5;5;6;6;6;6;22;22,7;22;22;22;23;24;25;26;27;31,2;33,4;0,974906845419553;0,988331046124965;0,983903793992825;0,978355348083613;0,969760845311024;0,956829091383446;0,952510854537729;0,947120203768936;0,938568034197537;0,922455357854941;0,904334518062892;NA;NA
2023-08-23;"60+";25;25,8;25;25;25;26;26;27;27;27;28;29;75;77,8;75;75,1304347826087;76,3030303030303;78;82,2;81;82;88,2;87;108,8;0,969557233855915;0,983766015904024;0,979215823415405;0,97394932206289;0,966780479675022;0,956942272090224;0,953906462492866;0,949913601589668;0,943881411496736;0,933143775927176;0,919906901771234;NA;NA
