"date";"age60";"reported";"nowcast_est";"nowcast_0.025";"nowcast_0.1";"nowcast_0.25";"nowcast_0.5";"nowcast_0.75";"nowcast_0.8";"nowcast_0.85";"nowcast_0.9";"nowcast_0.95";"nowcast_0.975";"reported7";"nowcast7_est";"nowcast7_0.025";"nowcast7_0.1";"nowcast7_0.25";"nowcast7_0.5";"nowcast7_0.75";"nowcast7_0.8";"nowcast7_0.85";"nowcast7_0.9";"nowcast7_0.95";"nowcast7_0.975";"F_est";"F_0.025";"F_0.1";"F_0.25";"F_0.5";"F_0.75";"F_0.8";"F_0.85";"F_0.9";"F_0.95";"F_0.975";"realized";"realized7"
2023-10-10;"0-60";11;31;21;24;27;31;36;38;39;42;45;49;46;90,3;60,0471794871795;71,0270557029178;81,2222222222222;94;119,7;108;112;145,7;128;184,3;0,354290979222115;0,459687993433122;0,422631057932746;0,388312344764703;0,350376202116679;0,311648209017314;0,302440131113458;0,291295798645572;0,278894972080821;0,258055431119291;0,241991374661697;NA;NA
2023-10-10;"60+";38;117,6;87;96;106;118;132;136;141;147;157;166;150;285,9;228,279568833814;238,94418972332;262,071428571429;290;328,928571428571;317;323;363,486482213439;347,6;388,112466474283;0,32321853155578;0,415917512241392;0,381656188948097;0,353283165519668;0,322177445894377;0,290274213222618;0,282761928245885;0,274489813545906;0,263305294536969;0,247366445820728;0,23386668685459;NA;NA
2023-10-10;"alle";49;148,6;112;123;135;150;167;172;178;185;197;209;196;376,3;317,077777777778;330,782869855395;344,607142857143;386;451,7;422;431;466,139933259177;468;605,7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-10-09;"0-60";4;12,5;6;8;10;13;17;19;21;23;29;35;49;75,5;57,0735632183908;62,1269841269841;69,3076923076923;78;96,5;89;92;118,5;106;151,9;0,319299844300383;0,522418887519857;0,449123013208297;0,381651345588797;0,310984227330992;0,238177986318217;0,221356843316041;0,201516716298629;0,177922397914856;0,146005802708874;0,117701414270254;NA;NA
2023-10-09;"60+";3;10,2;4;6;8;10;14;15;17;19;22;27;185;251,5;229,547368421053;228,470588235294;240,272727272727;254;280,5;269;272,9;292;285;293,873684210526;0,293964014002481;0,49951240583209;0,424638000065208;0,361976952674058;0,293955772242413;0,226275108199517;0,209944903956463;0,192454811943025;0,172158528652812;0,143119884183723;0,120154757251609;NA;NA
2023-10-09;"alle";7;22,7;12;15;18;23;31;33;36;41;49;61;234;327;295,796754563895;305,017511520737;313,913043478261;334;375;355;362;413;385;477;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-10-08;"0-60";0;0;0;0;0;0;0;0;0;0;0;0;46;64,3;51,4374269005848;56,6754385964912;62;66;71;73;75;89,7;83;113,7;0,333012151528179;0,537121981746865;0,459354372747062;0,38936241037415;0,312245626878409;0,238825622528545;0,221731974747546;0,200151405269774;0,174985519034143;0,142291689059583;0,111120272194124;NA;NA
2023-10-08;"60+";2;6,3;2;3;5;6;9;9;10;12;14;17;191;252,2;233,01;239;246;254;264;267;271;275;281;286,21;0,319762336651249;0,525791496704205;0,451198250349834;0,386776122705122;0,315205745252476;0,245405899195219;0,230194948146335;0,213290628838725;0,190118001583334;0,160098688444577;0,135986035208235;NA;NA
2023-10-08;"alle";2;6,3;2;3;5;6;9;9;10;12;14;17;237;316,5;295,925770180437;300,763358778626;306,578947368421;321;353,5;338;342;381,5;359;425,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023-10-07;"0-60";10;19,6;14;16;18;20;24;25;26;28;32;36,3;47;65,6;51,4577777777778;60;63;67;73;74;76;79;85;116,8;0,509930702695274;0,613497412492589;0,573643249495271;0,535966394817885;0,489734574883512;0,439988610523983;0,427095723221797;0,409264808422465;0,385588687705982;0,343811993286688;0,288824004339431;NA;NA
