date;age60;reported;nowcast_est;nowcast_0.025;nowcast_0.1;nowcast_0.25;nowcast_0.5;nowcast_0.75;nowcast_0.8;nowcast_0.85;nowcast_0.9;nowcast_0.95;nowcast_0.975;reported7;nowcast7_est;nowcast7_0.025;nowcast7_0.1;nowcast7_0.25;nowcast7_0.5;nowcast7_0.75;nowcast7_0.8;nowcast7_0.85;nowcast7_0.9;nowcast7_0.95;nowcast7_0.975;F_est;F_0.025;F_0.1;F_0.25;F_0.5;F_0.75;F_0.8;F_0.85;F_0.9;F_0.95;F_0.975
2024-01-14;0-60;0;0,0;0;0;0;0;0;0;0;0;0;0;13;14,4;13;13;14;14;15;16,0;16;16,0;17,0;18,0;0,187552023733985;0,383664054095053;0,307619702375533;0,242901221315107;0,176606380799342;0,120244844222131;0,1078703807901092;0,0953026941225734;0,0805989539525769;0,0618348929081243;0,0462905571488105
2024-01-14;60+;0;0,0;0;0;0;0;0;0;0;0;0;0;75;90,7;83;85;88;91;95;96,0;97;98,0;101,0;103,0;0,156239335134712;0,338758213229588;0,269546856433359;0,211173461703645;0,154046919064073;0,105952885167773;0,0960521550335299;0,0848153650018542;0,0726823738764262;0,0562248262811207;0,0442510781942853
2024-01-14;alle;0;0,0;0;0;0;0;0;0;0;0;0;0;88;105,1;97;99;102;106;109;111,0;112;114,0;116,0;118,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2024-01-13;0-60;0;0,0;0;0;0;0;0;0;0;0;0;0;13;14,4;13;13;14;14;15;16,0;16;16,0;17,0;18,0;0,634169255804269;0,738784409759154;0,700640822757654;0,664925179220012;0,621061012137410;0,569785342986292;0,5565617351395538;0,5403489018361308;0,5189502873983215;0,4819112240589942;0,4462619104324606
2024-01-13;60+;5;8,4;5;6;7;8;10;10;11;12;13;14;78;94,5;86;89;92;95;99;100,0;101;103,0;105,0;107,0;0,595573756842234;0,705968276958564;0,670185941496514;0,634422616819395;0,592041710911504;0,546468269232024;0,5349057456323375;0,5222429598524142;0,5040831953642004;0,4770557318152167;0,4525475020917509
2024-01-13;alle;5;8,4;5;6;7;8;10;10;11;12;13;14;91;108,9;100;103;106;109;114;115,0;116;118,0;120,0;123,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2024-01-12;0-60;1;1,3;1;1;1;1;2;2;2;2;3;3;17;18,7;17;17;18;19;20;20,0;21;21,0;22,0;23,0;0,742059855113841;0,815171070521337;0,788252690835053;0,761362721870958;0,729027836445817;0,691492858174522;0,6812196990240060;0,6679699402101977;0,6508047267832726;0,6202785480548827;0,5900555754291608
2024-01-12;60+;16;22,5;18;19;21;23;25;25;26;27;28;30;88;102,3;95;97;100;103;106;107,0;108;110,0;112,0;114,0;0,710114442382437;0,786865587845501;0,760322804686202;0,736421596542039;0,706490481696661;0,673724446586726;0,6650859309574988;0,6551887720638604;0,6433067344790674;0,6238828929163829;0,6057910981841852
2024-01-12;alle;17;23,9;19;21;22;24;26;27;27;28;30;31;105;121,0;113;116;118;122;125;126,0;128;129,0;132,0;134,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2024-01-11;0-60;1;1,1;1;1;1;1;1;1;2;2;2;2;28;30,1;28;29;29;30;32;32,0;32;33,0;34,0;36,0;0,873887879353125;0,912816139215253;0,898690608371504;0,884428389932723;0,865486624905123;0,842638204862685;0,8360453755141888;0,8275609901558318;0,8165459060167793;0,7994272311793895;0,7766627983644938
