date;age60;reported;nowcast_est;nowcast_0.025;nowcast_0.1;nowcast_0.25;nowcast_0.5;nowcast_0.75;nowcast_0.8;nowcast_0.85;nowcast_0.9;nowcast_0.95;nowcast_0.975;reported7;nowcast7_est;nowcast7_0.025;nowcast7_0.1;nowcast7_0.25;nowcast7_0.5;nowcast7_0.75;nowcast7_0.8;nowcast7_0.85;nowcast7_0.9;nowcast7_0.95;nowcast7_0.975;F_est;F_0.025;F_0.1;F_0.25;F_0.5;F_0.75;F_0.8;F_0.85;F_0.9;F_0.95;F_0.975
2024-01-17;0-60;7;16,3;10;12;14;16;18;19;20;21;22,0;24,0;116;148,7;137;141,0;145;149;154,0;155;157;159;161,0;164,0;0,429912842261104;0,499117724931132;0,475623221948778;0,453649768363374;0,429547676541732;0,405185081353826;0,398790227655305;0,391895206642424;0,383313883802362;0,370665422693212;0,360264879883484
2024-01-17;60+;25;60,6;47;51;56;60;66;67;69;71;75,0;78,0;387;508,6;479;489,0;498;509;521,0;524;528;533;540,0;546,0;0,412826849269694;0,475655251434850;0,454552934614952;0,434976599965671;0,412766388178998;0,391112217019657;0,385853201070554;0,379716484043169;0,372243900016484;0,360922663416234;0,351386315772918
2024-01-17;alle;32;76,8;61;66;71;77;83;85;87;89;93,0;97,0;503;657,4;622;634,0;645;658;673,0;676;681;687;696,0;704,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2024-01-16;0-60;39;53,1;46;48;50;53;56;57;58;59;61,0;62,0;140;166,1;156;159,0;162;166;171,0;172;173;175;177,0;179,0;0,734121240893925;0,779478364320603;0,764051131472779;0,749688043878765;0,733470567598673;0,715432075943956;0,711076043108460;0,705754387949699;0,698734949763959;0,687987688532958;0,678747835052540
2024-01-16;60+;118;164,9;149;154;159;165;171;173;175;177;181,0;185,0;462;556,7;533;541,0;548;557;567,0;569;573;576;582,0;587,0;0,715794792275565;0,761814106250751;0,746001458474921;0,731956332505265;0,716001954757328;0,698535390420858;0,694355180104846;0,689483217614973;0,683026094579773;0,672671774501212;0,663663511695537
2024-01-16;alle;157;218,0;199;205;211;218;226;228;230;233;238,0;242,0;602;722,8;695;704,0;713;724;735,2;738;742;747;754,0;760,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2024-01-15;0-60;0;0,0;0;0;0;0;0;0;0;0;0,0;0,0;155;169,6;163;165,0;167;170;173,0;174;175;176;178,0;179,0;0,693738405984146;0,778248016643866;0,751832327724295;0,724552463236683;0,690919591654586;0,655085349902995;0,645711572993418;0,634739673135487;0,620344314795700;0,600390158013572;0,580567109245239
2024-01-15;60+;0;0,0;0;0;0;0;0;0;0;0;0,0;0,0;569;628,4;611;617,0;622;629;636,0;637;639;642;646,0;649,0;0,669713684794128;0,758485793095481;0,730392814221475;0,703666774959843;0,668613647851212;0,632883839539329;0,622982993308041;0,612201854933133;0,599014621838922;0,578848912793683;0,559397770309918
2024-01-15;alle;0;0,0;0;0;0;0;0;0;0;0;0,0;0,0;724;798,0;778;785,0;792;799;807,0;809;811;814;819,0;822,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2024-01-14;0-60;0;0,0;0;0;0;0;0;0;0;0;0,0;0,0;155;169,6;163;165,0;167;170;173,0;174;175;176;178,0;179,0;0,574998699292821;0,683899705836755;0,647015431122556;0,612871439046336;0,571383812138929;0,527905910187137;0,516824345016415;0,503891286422607;0,485869886741636;0,460372868864608;0,438240726465208
2024-01-14;60+;2;3,7;2;2;3;3;5;5;5;6;6,0;7,0;569;628,4;611;617,0;622;629;636,0;637;639;642;646,0;649,0;0,546005978418704;0,659892084985593;0,621615086391656;0,587887463385960;0,545825807166069;0,501903526017442;0,491236551238895;0,478582608583970;0,460370008624960;0,436673979499171;0,413630156077027
2024-01-14;alle;2;3,7;2;2;3;3;5;5;5;6;6,0;7,0;724;798,0;778;785,0;792;799;807,0;809;811;814;819,0;822,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2024-01-13;0-60;13;16,3;13;14;15;16;18;18;18;19;20,0;21,0;155;169,6;163;165,0;167;170;173,0;174;175;176;178,0;179,0;0,799112345272994;0,834861289901727;0,821760901694900;0,809958080455136;0,795713478020463;0,780362304829492;0,776646323128355;0,772073389473561;0,765927965459932;0,756619611908461;0,748551116331940
2024-01-13;60+;56;71,5;64;66;69;71;75;75;76;78;79,0;81,0;567;624,7;608;613,1;619;625;632,0;633;635;638;642,0;645,0;0,783752855667518;0,819997993357571;0,807488012637620;0,796206332493628;0,782909825442519;0,768794686942746;0,765052403792602;0,760921961599980;0,755223142562053;0,747285319947938;0,739137219960022
2024-01-13;alle;69;87,7;79;82;85;88;91;92;93;95;97,0;99,0;722;794,3;775;781,0;788;795;803,0;805;807;810;815,0;818,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2024-01-12;0-60;17;19,5;17;18;18;19;21;21;21;22;23,0;23,0;162;175,5;169;171,0;173;176;179,0;179;180;181;183,0;185,0;0,873302477153626;0,896702518831303;0,888258036299204;0,880227832402426;0,870849024586446;0,860338717179175;0,857569847916543;0,854405187651610;0,850066552246836;0,843588797832255;0,837850277706211
2024-01-12;60+;73;84,4;78;80;82;84;87;88;88;89;91,0;92,0;601;652,5;637;642,0;647;653;659,0;660;662;665;668,0;671,0;0,865019770007909;0,888539277823396;0,880400877397075;0,872977957544975;0,864335273893492;0,854846515561805;0,852553871699581;0,849659945199960;0,845878014008424;0,840273425002347;0,835712979098067
2024-01-12;alle;90;103,9;97;99;101;104;107;108;108;109;111,0;113,0;763;827,9;810;816,0;822;829;836,0;838;840;842;846,0;850,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2024-01-11;0-60;40;43,6;41;41;42;44;45;45;46;46;47,0;48,0;177;190,4;184;186,0;188;191;194,0;194;195;196;198,0;200,0;0,917355395183475;0,932594625309977;0,927144819200019;0,921939708460751;0,915588281278255;0,908716375356919;0,906792265485882;0,904695949732521;0,901858432726331;0,897746338241116;0,893569273079155
2024-01-11;60+;113;123,7;118;120;121;124;126;127;127;129;130,0;131,0;641;689,0;674;679,0;684;689;695,0;697;698;701;704,0;707,0;0,913257947706087;0,927993141513362;0,923101913225897;0,918346714268804;0,912617193316590;0,906725615215513;0,905110288216566;0,903355881480931;0,901147149639818;0,897619608762569;0,894642543669198
2024-01-11;alle;153;167,3;160;162;165;167;170;171;172;173;175,0;176,0;818;879,3;862;868,0;874;880;887,0;889;891;894;897,0;901,0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2024-01-10;0-60;31;33,6;31;32;32;33;35;35;35;36;37,0;37,0;170;181,4;175;177,0;179;182;184,0;185;186;187;189,0;190,0;0,922959511186597;0,938040253312202;0,932959128585847;0,927951545464497;0,921831444001642;0,914998636917647;0,913311237878617;0,911328275958037;0,908635510950761;0,904555724089086;0,900844071060313
